Nome: ALMENARA
Codigo Estacao: A508
Latitude: -16.16666666
Longitude: -40.68777777
Altitude: 189.11
Situacao: Operante
Data Inicial: 2003-01-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2003-01-31;27,038575;
2003-02-28;27,151637;
2003-03-31;27,683065;
2003-04-30;26,062037;
2003-05-31;23,502012;
2003-06-30;21,686111;
2003-07-31;21,487366;
2003-08-31;22,693548;
2003-09-30;23,955833;
2003-10-31;25,502016;
2003-11-30;26,31125;
2003-12-31;28,189651;
2004-01-31;26,286951;
2004-02-29;26,061863;
2004-03-31;24,804973;
2004-04-30;24,858321;
2004-05-31;23,959128;
2004-06-30;21,923267;
2004-07-31;20,81839;
2004-08-31;22,020098;
2004-09-30;23,765344;
2004-10-31;25,770569;
2004-11-30;25,754873;
2004-12-31;26,438832;
2005-01-31;27,236791;
2005-02-28;26,230132;
2005-03-31;26,796722;
2005-04-30;25,10374;
2005-05-31;23,047387;
2005-06-30;21,874288;
2005-07-31;21,391782;
2005-08-31;22,147732;
2005-09-30;24,750805;
2005-10-31;26,570711;
2005-11-30;25,321155;
2005-12-31;25,579827;
2006-01-31;25,97836;
2006-02-28;27,817951;
2006-03-31;26,038456;
2006-04-30;24,93381;
2006-05-31;22,238701;
2006-06-30;20,956747;
2006-07-31;20,24244;
2006-08-31;22,474239;
2006-09-30;23,645721;
2006-10-31;24,958172;
2006-11-30;null;
2006-12-31;null;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;null;
2007-10-31;null;
2007-11-30;25,439583;
2007-12-31;26,054704;
2008-01-31;25,806183;
2008-02-29;26,405357;
2008-03-31;25,559771;
2008-04-30;26,202778;
2008-05-31;23,720556;
2008-06-30;22,101936;
2008-07-31;null;
2008-08-31;null;
2008-09-30;24,502315;
2008-10-31;26,395565;
2008-11-30;26,316111;
2008-12-31;25,920833;
2009-01-31;26,380154;
2009-02-28;27,404464;
2009-03-31;27,636425;
2009-04-30;25,152222;
2009-05-31;23,25457;
2009-06-30;22,561528;
2009-07-31;22,289516;
2009-08-31;22,595565;
2009-09-30;25,028611;
2009-10-31;26,026437;
2009-11-30;26,841389;
2009-12-31;27,620833;
2010-01-31;28,599621;
2010-02-28;28,228571;
2010-03-31;26,423142;
2010-04-30;25,512222;
2010-05-31;24,67337;
2010-06-30;21,784191;
2010-07-31;22,254621;
2010-08-31;22,095272;
