Nome: MONTE VERDE
Codigo Estacao: A509
Latitude: -22.86166666
Longitude: -46.04333333
Altitude: 1544.89
Situacao: Operante
Data Inicial: 2004-12-18
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2004-12-31;null;
2005-01-31;17,730499;
2005-02-28;16,784114;
2005-03-31;17,413844;
2005-04-30;16,530652;
2005-05-31;13,472984;
2005-06-30;12,233889;
2005-07-31;11,425169;
2005-08-31;13,057576;
2005-09-30;14,212923;
2005-10-31;17,66557;
2005-11-30;null;
2005-12-31;16,340591;
2006-01-31;17,922312;
2006-02-28;18,059544;
2006-03-31;17,806815;
2006-04-30;15,005119;
2006-05-31;11,775955;
2006-06-30;11,272414;
2006-07-31;11,565391;
2006-08-31;13,08625;
2006-09-30;13,648422;
2006-10-31;16,1125;
2006-11-30;16,112658;
2006-12-31;17,699722;
2007-01-31;17,765591;
2007-02-28;18,183586;
2007-03-31;17,921365;
2007-04-30;16,486655;
2007-05-31;12,289591;
2007-06-30;12,052391;
2007-07-31;11,353547;
2007-08-31;13,335063;
2007-09-30;15,352868;
2007-10-31;17,237383;
2007-11-30;16,012019;
2007-12-31;17,565188;
2008-01-31;16,725134;
2008-02-29;17,268535;
2008-03-31;16,368145;
2008-04-30;15,563472;
2008-05-31;11,715784;
2008-06-30;12,192127;
2008-07-31;10,647446;
2008-08-31;13,641398;
2008-09-30;13,424167;
2008-10-31;16,561156;
2008-11-30;15,888907;
2008-12-31;16,677442;
2009-01-31;17,04311;
2009-02-28;18,105655;
2009-03-31;17,956855;
2009-04-30;14,987222;
2009-05-31;13,347715;
2009-06-30;10,218472;
2009-07-31;12,595027;
2009-08-31;12,726747;
2009-09-30;15,372639;
2009-10-31;16,175744;
2009-11-30;18,674167;
2009-12-31;17,681989;
2010-01-31;18,283113;
2010-02-28;18,445387;
2010-03-31;17,437769;
2010-04-30;15,197222;
2010-05-31;12,733468;
2010-06-30;10,727361;
2010-07-31;12,438172;
2010-08-31;11,97186;
2010-09-30;15,024028;
2010-10-31;15,010753;
2010-11-30;16,301667;
