Nome: VICOSA
Codigo Estacao: A510
Latitude: -20.762607
Longitude: -42.864013
Altitude: 697.64
Situacao: Operante
Data Inicial: 2005-09-14
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2005-09-30;null;
2005-10-31;19,689493;
2005-11-30;null;
2005-12-31;null;
2006-01-31;null;
2006-02-28;23,801738;
2006-03-31;22,75841;
2006-04-30;20,652529;
2006-05-31;null;
2006-06-30;16,049146;
2006-07-31;null;
2006-08-31;18,342639;
2006-09-30;18,825487;
2006-10-31;20,865884;
2006-11-30;21,530457;
2006-12-31;22,587496;
2007-01-31;22,648033;
2007-02-28;null;
2007-03-31;22,194758;
2007-04-30;20,612639;
2007-05-31;17,188062;
2007-06-30;16,200254;
2007-07-31;16,403991;
2007-08-31;17,411092;
2007-09-30;19,274275;
2007-10-31;21,649252;
2007-11-30;21,544231;
2007-12-31;22,12836;
2008-01-31;20,896371;
2008-02-29;21,933764;
2008-03-31;21,305511;
2008-04-30;20,695417;
2008-05-31;17,338242;
2008-06-30;16,342609;
2008-07-31;15,27621;
2008-08-31;18,049306;
2008-09-30;18,347083;
2008-10-31;20,942608;
2008-11-30;20,41192;
2008-12-31;20,554973;
2009-01-31;21,624153;
2009-02-28;22,166815;
2009-03-31;21,925672;
2009-04-30;19,847083;
2009-05-31;17,778091;
2009-06-30;16,079167;
2009-07-31;17,297984;
2009-08-31;17,367262;
2009-09-30;20,680972;
2009-10-31;21,04181;
2009-11-30;22,514861;
2009-12-31;21,773214;
2010-01-31;23,182185;
2010-02-28;23,755929;
2010-03-31;null;
2010-04-30;19,87027;
2010-05-31;16,924597;
2010-06-30;14,266964;
2010-07-31;16,3995;
2010-08-31;15,53628;
2010-09-30;18,181667;
2010-10-31;19,305376;
2010-11-30;19,911944;
2010-12-31;21,68629;
2011-01-31;21,859677;
2011-02-28;22,132589;
2011-03-31;20,395886;
2011-04-30;19,508611;
2011-05-31;16,388172;
2011-06-30;14,786806;
2011-07-31;14,561022;
2011-08-31;17,495161;
2011-09-30;17,416528;
2011-10-31;19,029167;
2011-11-30;18,339861;
2011-12-31;20,267339;
2012-01-31;20,377285;
2012-02-29;21,363075;
2012-03-31;20,591263;
2012-04-30;19,540972;
2012-05-31;16,363978;
2012-06-30;16,655556;
2012-07-31;15,375806;
2012-08-31;16,346831;
2012-09-30;19,183056;
2012-10-31;21,385484;
2012-11-30;20,814861;
2012-12-31;23,29664;
2013-01-31;22,077016;
2013-02-28;22,048214;
2013-03-31;21,743391;
2013-04-30;19,215833;
2013-05-31;17,354435;
2013-06-30;17,166263;
2013-07-31;16,30672;
2013-08-31;17,100134;
2013-09-30;18,978194;
2013-10-31;19,706048;
2013-11-30;20,923889;
2013-12-31;22,183126;
2014-01-31;23,127285;
2014-02-28;23,114286;
2014-03-31;21,621909;
2014-04-30;20,479722;
2014-05-31;17,996102;
2014-06-30;17,267361;
2014-07-31;16,852688;
2014-08-31;17,19543;
2014-09-30;19,816111;
2014-10-31;20,993011;
2014-11-30;21,81375;
2014-12-31;22,708871;
2015-01-31;23,707796;
2015-02-28;22,893899;
2015-03-31;22,326882;
2015-04-30;20,450767;
2015-05-31;17,983737;
2015-06-30;17,135972;
2015-07-31;17,281452;
