Nome: TIMOTEO
Codigo Estacao: A511
Latitude: -19.57388888
Longitude: -42.62249999
Altitude: 493.42
Situacao: Operante
Data Inicial: 2006-02-21
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-02-28;null;
2006-03-31;24,131871;
2006-04-30;22,821243;
2006-05-31;20,241692;
2006-06-30;19,072845;
2006-07-31;19,710985;
2006-08-31;21,200537;
2006-09-30;21,109381;
2006-10-31;22,446102;
2006-11-30;22,367361;
2006-12-31;23,178436;
2007-01-31;24,122312;
2007-02-28;23,623175;
2007-03-31;24,549318;
2007-04-30;23,263472;
2007-05-31;20,800749;
2007-06-30;19,865368;
2007-07-31;20,502212;
2007-08-31;21,195074;
2007-09-30;22,123647;
2007-10-31;24,504774;
2007-11-30;24,414744;
2007-12-31;24,779032;
2008-01-31;23,486694;
2008-02-29;24,208333;
2008-03-31;23,800403;
2008-04-30;23,794444;
2008-05-31;20,820564;
2008-06-30;20,253931;
2008-07-31;19,602823;
2008-08-31;22,180511;
2008-09-30;21,874028;
2008-10-31;24,459543;
2008-11-30;22,565127;
2008-12-31;22,787038;
2009-01-31;null;
2009-02-28;24,819167;
2009-03-31;24,558199;
2009-04-30;22,490833;
2009-05-31;20,957341;
2009-06-30;19,899444;
2009-07-31;20,672715;
2009-08-31;21,168817;
2009-09-30;23,595833;
2009-10-31;23,36092;
2009-11-30;24,900972;
2009-12-31;23,802957;
2010-01-31;25,760301;
2010-02-28;26,311756;
2010-03-31;24,570027;
2010-04-30;22,627917;
2010-05-31;20,908199;
2010-06-30;18,555556;
2010-07-31;20,068145;
2010-08-31;20,28006;
2010-09-30;22,17875;
2010-10-31;22,824729;
2010-11-30;23,573827;
2010-12-31;null;
2011-01-31;null;
2011-02-28;25,572149;
2011-03-31;23,115376;
2011-04-30;22,710694;
2011-05-31;20,103226;
2011-06-30;19,107917;
2011-07-31;19,16922;
2011-08-31;21,745296;
2011-09-30;21,171111;
2011-10-31;21,595833;
2011-11-30;21,181528;
2011-12-31;22,565188;
2012-01-31;23,202823;
2012-02-29;24,586925;
2012-03-31;23,616398;
2012-04-30;23,181944;
2012-05-31;20,047083;
2012-06-30;20,608833;
2012-07-31;20,353495;
2012-08-31;19,927222;
2012-09-30;22,422778;
2012-10-31;24,166398;
2012-11-30;22,52837;
2012-12-31;null;
2013-01-31;null;
2013-02-28;null;
2013-03-31;23,775;
2013-04-30;21,59125;
2013-05-31;20,308064;
2013-06-30;20,121375;
2013-07-31;20,184677;
2013-08-31;20,63414;
2013-09-30;22,08;
2013-10-31;21,698925;
2013-11-30;22,745417;
2013-12-31;23,254167;
2014-01-31;24,82164;
2014-02-28;24,85;
2014-03-31;23,466532;
2014-04-30;22,522361;
2014-05-31;20,672581;
2014-06-30;null;
2014-07-31;19,060294;
2014-08-31;20,609677;
2014-09-30;22,670417;
2014-10-31;23,28871;
2014-11-30;null;
2014-12-31;24,316667;
2015-01-31;26,282872;
2015-02-28;24,687649;
2015-03-31;24,632796;
2015-04-30;22,672917;
2015-05-31;20,100941;
2015-06-30;19,619028;
2015-07-31;20,217742;
2015-08-31;21,202419;
2015-09-30;24,47375;
2015-10-31;25,838441;
2015-11-30;26,213333;
2015-12-31;25,526776;
2016-01-31;24,106048;
2016-02-29;26,091092;
2016-03-31;24,834274;
2016-04-30;24,79625;
2016-05-31;21,667876;
2016-06-30;19,604722;
2016-07-31;20,78629;
2016-08-31;22,052922;
2016-09-30;23,200556;
2016-10-31;23,670968;
2016-11-30;23,0075;
2016-12-31;23,81371;
2017-01-31;24,957258;
2017-02-28;23,722321;
2017-03-31;23,900538;
2017-04-30;22,528889;
2017-05-31;20,333292;
2017-06-30;20,087778;
2017-07-31;17,972107;
2017-08-31;19,863306;
2017-09-30;21,608056;
2017-10-31;24,310081;
2017-11-30;22,493055;
2017-12-31;23,598387;
2018-01-31;24,746102;
2018-02-28;23,413542;
2018-03-31;24,180242;
2018-04-30;21,632639;
2018-05-31;20,081452;
2018-06-30;20,033333;
2018-07-31;19,631855;
2018-08-31;20,47836;
2018-09-30;22,318333;
2018-10-31;23,956771;
2018-11-30;23,091406;
2018-12-31;23,717742;
2019-01-31;25,759005;
2019-02-28;24,919494;
2019-03-31;24,174731;
2019-04-30;23,870833;
2019-05-31;22,213038;
2019-06-30;20,544722;
2019-07-31;19,536694;
2019-08-31;20,911559;
2019-09-30;23,260972;
2019-10-31;24,836962;
2019-11-30;24,310139;
2019-12-31;24,25121;
2020-01-31;24,893011;
2020-02-29;24,254742;
2020-03-31;22,6625;
2020-04-30;22,089722;
2020-05-31;19,590726;
2020-06-30;19,581667;
2020-07-31;19,643414;
2020-08-31;19,736828;
2020-09-30;23,568611;
2020-10-31;23,152688;
2020-11-30;22,797917;
2020-12-31;23,713441;
2021-01-31;24,368414;
2021-02-28;23,327232;
2021-03-31;23,671102;
2021-04-30;21,843472;
2021-05-31;21,028763;
2021-06-30;19,155694;
2021-07-31;18,704973;
2021-08-31;20,047043;
2021-09-30;23,827361;
2021-10-31;22,939919;
2021-11-30;22,343056;
2021-12-31;22,532258;
2022-01-31;24,222715;
2022-02-28;23,077827;
