Nome: ITUIUTABA
Codigo Estacao: A512
Latitude: -18.95277777
Longitude: -49.52499999
Altitude: 540.08
Situacao: Operante
Data Inicial: 2006-05-11
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-05-31;null;
2006-06-30;19,844109;
2006-07-31;20,681989;
2006-08-31;23,545634;
2006-09-30;23,728573;
2006-10-31;24,325806;
2006-11-30;24,569706;
2006-12-31;24,52071;
2007-01-31;24,569678;
2007-02-28;null;
2007-03-31;25,929374;
2007-04-30;null;
2007-05-31;null;
2007-06-30;null;
2007-07-31;null;
2007-08-31;22,761327;
2007-09-30;26,376944;
2007-10-31;26,413342;
2007-11-30;25,133654;
2007-12-31;24,882661;
2008-01-31;24,204704;
2008-02-29;23,86408;
2008-03-31;23,985484;
2008-04-30;23,395;
2008-05-31;20,323679;
2008-06-30;20,763801;
2008-07-31;20,060753;
2008-08-31;23,576344;
2008-09-30;24,377361;
2008-10-31;25,442339;
2008-11-30;24,704469;
2008-12-31;24,485887;
2009-01-31;24,519331;
2009-02-28;24,831548;
2009-03-31;24,614516;
2009-04-30;23,036944;
2009-05-31;21,684274;
2009-06-30;19,38375;
2009-07-31;21,623925;
2009-08-31;22,568414;
2009-09-30;24,452083;
2009-10-31;24,589961;
2009-11-30;25,611944;
2009-12-31;24,05793;
2010-01-31;25,008908;
2010-02-28;25,635268;
2010-03-31;25,026747;
2010-04-30;23,012083;
2010-05-31;20,479167;
2010-06-30;19,55;
2010-07-31;21,649597;
2010-08-31;22,041377;
2010-09-30;26,239167;
2010-10-31;25,051344;
2010-11-30;24,534861;
2010-12-31;25,259274;
2011-01-31;24,800941;
2011-02-28;24,745238;
2011-03-31;23,877467;
2011-04-30;23,545972;
2011-05-31;20,997043;
2011-06-30;19,305417;
2011-07-31;20,872849;
2011-08-31;23,136022;
2011-09-30;25,595972;
2011-10-31;24,688441;
2011-11-30;24,381806;
2011-12-31;24,706989;
2012-01-31;23,573387;
2012-02-29;24,685345;
2012-03-31;24,803592;
2012-04-30;23,577604;
2012-05-31;20,756855;
2012-06-30;21,077917;
2012-07-31;19,635618;
2012-08-31;21,991806;
2012-09-30;25,256389;
2012-10-31;27,306452;
2012-11-30;25,30375;
2012-12-31;25,702285;
2013-01-31;24,394892;
2013-02-28;24,524256;
2013-03-31;24,692411;
2013-04-30;22,429861;
2013-05-31;21,449731;
2013-06-30;21,624545;
2013-07-31;19,718011;
2013-08-31;21,45336;
2013-09-30;24,53625;
2013-10-31;25,555914;
2013-11-30;25,120278;
2013-12-31;25,151344;
2014-01-31;25,13965;
2014-02-28;25,09494;
2014-03-31;24,435753;
2014-04-30;23,917778;
2014-05-31;20,898118;
2014-06-30;21,040695;
2014-07-31;20,597312;
2014-08-31;22,611528;
2014-09-30;25,375556;
2014-10-31;26,948387;
2014-11-30;25,186667;
2014-12-31;24,516263;
2015-01-31;26,323621;
2015-02-28;24,87753;
2015-03-31;24,047312;
2015-04-30;24,194722;
2015-05-31;21,70457;
2015-06-30;21,048056;
2015-07-31;21,613844;
2015-08-31;22,983871;
2015-09-30;25,826944;
2015-10-31;28,130107;
2015-11-30;26,064583;
2015-12-31;25,506048;
2016-01-31;24,718269;
2016-02-29;null;
2016-03-31;null;
2016-04-30;24,50875;
2016-05-31;22,023253;
2016-06-30;20,079306;
2016-07-31;20,979301;
2016-08-31;22,529301;
2016-09-30;25,522083;
2016-10-31;25,718303;
2016-11-30;24,757083;
2016-12-31;25,154436;
2017-01-31;24,979436;
2017-02-28;25,444643;
2017-03-31;24,879032;
2017-04-30;24,074306;
2017-05-31;22,581989;
2017-06-30;20,292222;
2017-07-31;18,834543;
2017-08-31;21,98588;
2017-09-30;null;
2017-10-31;26,94207;
2017-11-30;24,38375;
2017-12-31;24,834677;
2018-01-31;24,742204;
2018-02-28;24,76756;
2018-03-31;25,767742;
2018-04-30;23,236944;
2018-05-31;20,920027;
2018-06-30;21,404167;
2018-07-31;20,628091;
2018-08-31;22,651882;
2018-09-30;24,4875;
2018-10-31;25,739516;
2018-11-30;24,404028;
2018-12-31;25,963639;
2019-01-31;26,053495;
2019-02-28;25,476786;
2019-03-31;24,869489;
2019-04-30;24,325556;
2019-05-31;22,475134;
2019-06-30;20,65375;
2019-07-31;20,006183;
2019-08-31;23,244758;
2019-09-30;27,568333;
2019-10-31;27,212097;
2019-11-30;25,74;
2019-12-31;25,087903;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;20,724545;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;25,077315;
2021-01-31;25,076478;
2021-02-28;24,726339;
2021-03-31;24,74543;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;25,006246;
2021-11-30;25,601908;
2021-12-31;24,809702;
2022-01-31;24,307056;
2022-02-28;25,03294;
2022-03-31;25,318372;
2022-04-30;24,057222;
2022-05-31;19,760215;
2022-06-30;20,087627;
2022-07-31;21,452757;
2022-08-31;22,993303;
2022-09-30;25,013941;
2022-10-31;25,394311;
2022-11-30;24,308076;
2022-12-31;24,343521;
2023-01-31;23,586864;
2023-02-28;null;
2023-03-31;24,533758;
2023-04-30;23,432714;
2023-05-31;20,613708;
2023-06-30;18,992083;
2023-07-31;21,065054;
2023-08-31;23,297043;
2023-09-30;26,893306;
2023-10-31;27,865283;
2023-11-30;27,639743;

