Nome: OURO BRANCO
Codigo Estacao: A513
Latitude: -20.55666666
Longitude: -43.75611111
Altitude: 1048.2
Situacao: Operante
Data Inicial: 2006-07-27
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-07-31;null;
2006-08-31;18,237917;
2006-09-30;18,04721;
2006-10-31;19,393145;
2006-11-30;19,706414;
2006-12-31;20,571105;
2007-01-31;21,07957;
2007-02-28;21,098486;
2007-03-31;22,125833;
2007-04-30;20,106165;
2007-05-31;17,465702;
2007-06-30;17,440066;
2007-07-31;17,200037;
2007-08-31;18,042923;
2007-09-30;19,368889;
2007-10-31;21,097984;
2007-11-30;20,594865;
2007-12-31;21,546505;
2008-01-31;20,286559;
2008-02-29;21,036161;
2008-03-31;20,574141;
2008-04-30;20,462778;
2008-05-31;17,770972;
2008-06-30;16,809444;
2008-07-31;16,338441;
2008-08-31;18,766602;
2008-09-30;18,52375;
2008-10-31;20,74664;
2008-11-30;19,534167;
2008-12-31;19,948387;
2009-01-31;21,42402;
2009-02-28;21,505357;
2009-03-31;21,368683;
2009-04-30;19,240833;
2009-05-31;17,907124;
2009-06-30;16,4575;
2009-07-31;17,835215;
2009-08-31;17,639516;
2009-09-30;20,713333;
2009-10-31;20,070546;
2009-11-30;21,891945;
2009-12-31;20,786828;
2010-01-31;22,195833;
2010-02-28;22,591071;
2010-03-31;21,566935;
2010-04-30;19,459375;
2010-05-31;17,926882;
2010-06-30;15,773889;
2010-07-31;17,226613;
2010-08-31;17,44446;
2010-09-30;19,137917;
2010-10-31;19,569086;
2010-11-30;20,033194;
2010-12-31;21,935215;
2011-01-31;21,914382;
2011-02-28;22,809006;
2011-03-31;20,310768;
2011-04-30;19,800694;
2011-05-31;17,250269;
2011-06-30;16,074861;
2011-07-31;16,782124;
2011-08-31;19,268215;
2011-09-30;18,551111;
2011-10-31;19,152823;
2011-11-30;18,522778;
2011-12-31;20,091234;
2012-01-31;20,473521;
2012-02-29;21,720115;
2012-03-31;20,676344;
2012-04-30;20,28;
2012-05-31;16,829435;
2012-06-30;17,575;
2012-07-31;17,150818;
2012-08-31;16,628364;
2012-09-30;19,521528;
2012-10-31;21,090323;
2012-11-30;20,088194;
2012-12-31;22,752823;
2013-01-31;20,991129;
2013-02-28;22,117113;
2013-03-31;20,911207;
2013-04-30;18,586667;
2013-05-31;17,528898;
2013-06-30;17,564318;
2013-07-31;16,783736;
2013-08-31;17,969355;
2013-09-30;23,426945;
2013-10-31;25,287639;
2013-11-30;20,224583;
2013-12-31;21,189247;
2014-01-31;22,55457;
2014-02-28;22,391369;
2014-03-31;20,665188;
2014-04-30;19,529698;
2014-05-31;17,856989;
2014-06-30;17,441806;
2014-07-31;16,209677;
2014-08-31;17,656452;
2014-09-30;20,053472;
2014-10-31;20,461682;
2014-11-30;20,533472;
2014-12-31;21,937366;
2015-01-31;23,096365;
2015-02-28;21,62381;
2015-03-31;21,174059;
2015-04-30;19,626111;
2015-05-31;17,487769;
2015-06-30;16,873194;
2015-07-31;17,832392;
2015-08-31;18,069086;
2015-09-30;21,012361;
2015-10-31;22,388441;
2015-11-30;22,340139;
2015-12-31;22,081855;
2016-01-31;21,611156;
2016-02-29;22,881034;
2016-03-31;21,715054;
2016-04-30;21,667917;
2016-05-31;18,510753;
2016-06-30;16,453472;
2016-07-31;17,395564;
2016-08-31;18,706855;
2016-09-30;20,009306;
2016-10-31;20,568011;
2016-11-30;20,245417;
2016-12-31;21,465298;
2017-01-31;22,535887;
2017-02-28;21,594643;
2017-03-31;21,102823;
2017-04-30;19,721111;
2017-05-31;17,799328;
2017-06-30;17,280417;
2017-07-31;15,078629;
2017-08-31;17,366263;
2017-09-30;19,144583;
2017-10-31;21,677016;
2017-11-30;19,961806;
2017-12-31;21,110081;
2018-01-31;22,075672;
2018-02-28;20,902976;
2018-03-31;21,632796;
2018-04-30;19,239583;
2018-05-31;17,596774;
2018-06-30;17,909167;
2018-07-31;17,398925;
2018-08-31;17,269086;
2018-09-30;19,209716;
2018-10-31;20,416667;
2018-11-30;19,975972;
2018-12-31;21,251882;
2019-01-31;23,306586;
2019-02-28;22,382143;
2019-03-31;21,367473;
2019-04-30;21,14875;
2019-05-31;19,573656;
2019-06-30;17,651944;
2019-07-31;16,600134;
2019-08-31;17,123656;
2019-09-30;20,639312;
2019-10-31;21,140323;
2019-11-30;20,828056;
2019-12-31;21,272446;
2020-01-31;21,723656;
2020-02-29;21,240661;
2020-03-31;20,096102;
2020-04-30;19,054306;
2020-05-31;16,776478;
2020-06-30;17,858611;
2020-07-31;17,987231;
2020-08-31;17,04086;
2020-09-30;21,452083;
2020-10-31;20,75;
2020-11-30;20,438472;
2020-12-31;21,476613;
2021-01-31;22,031183;
2021-02-28;20,874107;
2021-03-31;21,586425;
2021-04-30;19,216944;
2021-05-31;18,535618;
2021-06-30;16,809444;
2021-07-31;15,90914;
2021-08-31;17,724059;
2021-09-30;21,529583;
2021-10-31;19,945319;
2021-11-30;20,006528;
2021-12-31;20,083871;
2022-01-31;21,385753;
2022-02-28;20,832589;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;null;
2022-08-31;17,243279;
2022-09-30;18,698398;
2022-10-31;null;
2022-11-30;18,403402;
2022-12-31;20,12792;
2023-01-31;20,705242;
2023-02-28;null;
2023-03-31;null;
2023-04-30;null;
2023-05-31;null;
2023-06-30;null;
2023-07-31;null;
2023-08-31;null;
2023-09-30;null;
2023-10-31;null;
2023-11-30;null;

