Nome: SAO JOAO DEL REI
Codigo Estacao: A514
Latitude: -21.106502
Longitude: -44.250928
Altitude: 929.88
Situacao: Operante
Data Inicial: 2006-06-08
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-06-30;null;
2006-07-31;15,598883;
2006-08-31;18,270278;
2006-09-30;18,377311;
2006-10-31;20,167339;
2006-11-30;20,416745;
2006-12-31;21,622179;
2007-01-31;null;
2007-02-28;21,776052;
2007-03-31;22,67496;
2007-04-30;21,111648;
2007-05-31;17,784016;
2007-06-30;null;
2007-07-31;null;
2007-08-31;null;
2007-09-30;19,866201;
2007-10-31;21,789737;
2007-11-30;20,870217;
2007-12-31;22,242249;
2008-01-31;21,468599;
2008-02-29;21,757035;
2008-03-31;21,347335;
2008-04-30;20,179861;
2008-05-31;16,876667;
2008-06-30;16,416014;
2008-07-31;15,012184;
2008-08-31;18,489382;
2008-09-30;18,54125;
2008-10-31;21,245968;
2008-11-30;20,210139;
2008-12-31;20,541398;
2009-01-31;21,431019;
2009-02-28;22,160565;
2009-03-31;21,835349;
2009-04-30;19,434722;
2009-05-31;17,555108;
2009-06-30;15,621806;
2009-07-31;17,490188;
2009-08-31;17,569758;
2009-09-30;20,845555;
2009-10-31;20,703448;
2009-11-30;22,420972;
2009-12-31;21,392473;
2010-01-31;22,59875;
2010-02-28;22,759673;
2010-03-31;21,84685;
2010-04-30;19,9025;
2010-05-31;17,390972;
2010-06-30;14,695278;
2010-07-31;16,814785;
2010-08-31;16,769834;
2010-09-30;19,092222;
2010-10-31;20,018548;
2010-11-30;20,618889;
2010-12-31;22,358602;
2011-01-31;22,364785;
2011-02-28;23,29003;
2011-03-31;21,065167;
2011-04-30;20,474583;
2011-05-31;17,156826;
2011-06-30;15,471944;
2011-07-31;15,834409;
2011-08-31;18,539516;
2011-09-30;18,815694;
2011-10-31;19,813844;
2011-11-30;19,424583;
2011-12-31;20,943683;
2012-01-31;null;
2012-02-29;null;
2012-03-31;20,757289;
2012-04-30;20,490694;
2012-05-31;16,693011;
2012-06-30;17,315054;
2012-07-31;15,788306;
2012-08-31;16,52375;
2012-09-30;19,408194;
2012-10-31;21,434861;
2012-11-30;20,895694;
2012-12-31;23,245296;
2013-01-31;21,402285;
2013-02-28;22,73244;
2013-03-31;21,481753;
2013-04-30;18,869028;
2013-05-31;17,300694;
2013-06-30;17,338131;
2013-07-31;15,958439;
2013-08-31;17,107392;
2013-09-30;18,978889;
2013-10-31;19,304032;
2013-11-30;20,620139;
2013-12-31;21,57603;
2014-01-31;null;
2014-02-28;null;
2014-03-31;21,611021;
2014-04-30;20,023333;
2014-05-31;17,3;
2014-06-30;16,702083;
2014-07-31;15,916263;
2014-08-31;17,009274;
2014-09-30;19,822917;
2014-10-31;20,734812;
2014-11-30;21,283889;
2014-12-31;22,292339;
2015-01-31;23,311086;
2015-02-28;21,84256;
2015-03-31;21,37379;
2015-04-30;20,239028;
2015-05-31;17,492876;
2015-06-30;16,37;
2015-07-31;17,224731;
2015-08-31;17,640054;
2015-09-30;20,499722;
2015-10-31;22,423521;
2015-11-30;22,414722;
2015-12-31;22,418011;
2016-01-31;22,113575;
2016-02-29;23,064799;
2016-03-31;22,122446;
2016-04-30;21,230278;
2016-05-31;18,130376;
2016-06-30;15,818333;
2016-07-31;16,554435;
2016-08-31;18,078027;
2016-09-30;20,240694;
2016-10-31;20,923253;
2016-11-30;20,605;
2016-12-31;21,984005;
2017-01-31;22,854301;
2017-02-28;22,081399;
2017-03-31;21,41371;
2017-04-30;20,539035;
2017-05-31;null;
2017-06-30;16,449833;
2017-07-31;14,73293;
2017-08-31;17,102151;
2017-09-30;18,931111;
2017-10-31;21,490054;
2017-11-30;20,589306;
2017-12-31;21,83629;
2018-01-31;22,120565;
2018-02-28;21,599107;
2018-03-31;22,348118;
2018-04-30;19,776389;
2018-05-31;17,474462;
2018-06-30;17,383194;
2018-07-31;16,384409;
2018-08-31;17,224597;
2018-09-30;19,739583;
2018-10-31;21,044758;
2018-11-30;20,585278;
2018-12-31;22,063441;
2019-01-31;23,296774;
2019-02-28;22,831548;
2019-03-31;21,781317;
2019-04-30;21,258333;
2019-05-31;19,162231;
2019-06-30;16,752083;
2019-07-31;15,259005;
2019-08-31;17,204301;
2019-09-30;21,147917;
2019-10-31;21,66371;
2019-11-30;21,320417;
2019-12-31;21,954301;
2020-01-31;22,335349;
2020-02-29;21,473276;
2020-03-31;20,839516;
2020-04-30;19,582639;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
