Nome: VARGINHA
Codigo Estacao: A515
Latitude: -21.56638888
Longitude: -45.40416666
Altitude: 949.78
Situacao: Operante
Data Inicial: 2006-07-12
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-07-31;17,402315;
2006-08-31;19,145139;
2006-09-30;19,237702;
2006-10-31;20,728764;
2006-11-30;20,909064;
2006-12-31;21,903751;
2007-01-31;21,321774;
2007-02-28;22,367191;
2007-03-31;23,23293;
2007-04-30;21,185538;
2007-05-31;17,55869;
2007-06-30;17,315435;
2007-07-31;16,705259;
2007-08-31;19,100053;
2007-09-30;21,461111;
2007-10-31;22,593011;
2007-11-30;20,679006;
2007-12-31;22,175672;
2008-01-31;21,179435;
2008-02-29;21,568965;
2008-03-31;21,139247;
2008-04-30;20,065972;
2008-05-31;17,149042;
2008-06-30;16,850164;
2008-07-31;16,215323;
2008-08-31;19,009543;
2008-09-30;18,874028;
2008-10-31;21,416935;
2008-11-30;20,41218;
2008-12-31;20,879839;
2009-01-31;21,315457;
2009-02-28;22,149405;
2009-03-31;21,982796;
2009-04-30;19,629028;
2009-05-31;18,064247;
2009-06-30;15,340417;
2009-07-31;17,589919;
2009-08-31;18,112231;
2009-09-30;20,63;
2009-10-31;20,882471;
2009-11-30;22,8925;
2009-12-31;21,501613;
2010-01-31;22,706012;
2010-02-28;23,012649;
2010-03-31;22,152554;
2010-04-30;20,2375;
2010-05-31;17,911425;
2010-06-30;16,00125;
2010-07-31;17,689382;
2010-08-31;18,32372;
2010-09-30;20,358194;
2010-10-31;20,42164;
2010-11-30;21,053333;
2010-12-31;22,627285;
2011-01-31;22,245027;
2011-02-28;23,001488;
2011-03-31;21,190387;
2011-04-30;20,489722;
2011-05-31;17,335081;
2011-06-30;15,475;
2011-07-31;17,195296;
2011-08-31;19,611425;
2011-09-30;20,1375;
2011-10-31;20,525;
2011-11-30;19,930417;
2011-12-31;21,24207;
2012-01-31;20,756048;
2012-02-29;22,584483;
2012-03-31;21,483871;
2012-04-30;20,583611;
2012-05-31;16,989516;
2012-06-30;17,386667;
2012-07-31;16,698925;
2012-08-31;17,750972;
2012-09-30;20,252778;
2012-10-31;22,683468;
2012-11-30;21,331111;
2012-12-31;22,854973;
2013-01-31;21,394086;
2013-02-28;22,330357;
2013-03-31;21,170115;
2013-04-30;19,140972;
2013-05-31;17,735081;
2013-06-30;17,664015;
2013-07-31;16,511021;
2013-08-31;18,16129;
2013-09-30;19,824306;
2013-10-31;19,837097;
2013-11-30;21,049583;
2013-12-31;22,067339;
2014-01-31;23,86707;
2014-02-28;23,888839;
2014-03-31;22,138441;
2014-04-30;20,483889;
2014-05-31;17,995564;
2014-06-30;17,606528;
2014-07-31;16,679032;
2014-08-31;18,621371;
2014-09-30;20,697414;
2014-10-31;21,993952;
2014-11-30;22,020278;
2014-12-31;22,316263;
2015-01-31;24,204844;
2015-02-28;22,040774;
2015-03-31;21,122849;
2015-04-30;20,528889;
2015-05-31;17,763844;
2015-06-30;17,034028;
2015-07-31;17,980914;
2015-08-31;18,98965;
2015-09-30;21,150139;
2015-10-31;23,426479;
2015-11-30;22,352917;
2015-12-31;22,189785;
2016-01-31;22,08172;
2016-02-29;23,014368;
2016-03-31;22,147849;
2016-04-30;22,085556;
2016-05-31;null;
2016-06-30;16,251111;
2016-07-31;null;
2016-08-31;null;
2016-09-30;21,622049;
2016-10-31;21,105;
2016-11-30;21,095429;
2016-12-31;22,237858;
2017-01-31;22,490347;
2017-02-28;22,855771;
2017-03-31;21,636587;
2017-04-30;20,633563;
2017-05-31;18,237687;
2017-06-30;17,290205;
2017-07-31;15,974608;
2017-08-31;18,318323;
2017-09-30;20,917707;
2017-10-31;21,928737;
2017-11-30;20,398985;
2017-12-31;null;
2018-01-31;22,081134;
2018-02-28;21,673519;
2018-03-31;22,686045;
2018-04-30;20,381467;
2018-05-31;18,156621;
2018-06-30;18,020164;
2018-07-31;17,362535;
2018-08-31;17,607796;
2018-09-30;20,209167;
2018-10-31;21,035618;
2018-11-30;20,970815;
2018-12-31;null;
2019-01-31;null;
2019-02-28;21,680469;
2019-03-31;21,687903;
2019-04-30;21,494167;
2019-05-31;19,431452;
2019-06-30;17,626528;
2019-07-31;16,298656;
2019-08-31;17,821774;
2019-09-30;21,947917;
2019-10-31;22,509677;
2019-11-30;21,735278;
2019-12-31;22,059946;
2020-01-31;22,147849;
2020-02-29;21,65704;
2020-03-31;21,268157;
2020-04-30;20,050278;
2020-05-31;16,988979;
2020-06-30;17,852778;
2020-07-31;18,197581;
