Nome: PASSOS
Codigo Estacao: A516
Latitude: -20.745237
Longitude: -46.633916
Altitude: 781.7
Situacao: Operante
Data Inicial: 2006-07-15
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-07-31;null;
2006-08-31;20,577917;
2006-09-30;20,577109;
2006-10-31;21,803629;
2006-11-30;22,113808;
2006-12-31;22,701375;
2007-01-31;22,53535;
2007-02-28;23,062105;
2007-03-31;23,279263;
2007-04-30;21,939861;
2007-05-31;18,464727;
2007-06-30;17,759046;
2007-07-31;17,878436;
2007-08-31;19,725926;
2007-09-30;22,780278;
2007-10-31;24,101385;
2007-11-30;22,261045;
2007-12-31;23,071505;
2008-01-31;22,222609;
2008-02-29;22,27673;
2008-03-31;21,736806;
2008-04-30;20,96727;
2008-05-31;17,89984;
2008-06-30;18,265295;
2008-07-31;17,106452;
2008-08-31;20,094861;
2008-09-30;20,756389;
2008-10-31;22,866111;
2008-11-30;22,209662;
2008-12-31;22,249866;
2009-01-31;22,38871;
2009-02-28;22,761458;
2009-03-31;22,42957;
2009-04-30;20,465972;
2009-05-31;19,062903;
2009-06-30;16,417917;
2009-07-31;18,905511;
2009-08-31;19,374059;
2009-09-30;21,878194;
2009-10-31;22,289081;
2009-11-30;23,766667;
2009-12-31;22,33871;
2010-01-31;23,259812;
2010-02-28;23,557143;
2010-03-31;22,957527;
2010-04-30;20,921389;
2010-05-31;18,599731;
2010-06-30;16,629444;
2010-07-31;18,685161;
2010-08-31;20,005171;
2010-09-30;21,892979;
2010-10-31;null;
2010-11-30;22,095;
2010-12-31;23,489785;
2011-01-31;22,92621;
2011-02-28;23,142411;
2011-03-31;22,162338;
2011-04-30;20,979445;
2011-05-31;18,21129;
2011-06-30;16,491667;
2011-07-31;18,342607;
2011-08-31;20,783064;
2011-09-30;21,987639;
2011-10-31;21,898656;
2011-11-30;21,758611;
2011-12-31;22,638844;
2012-01-31;21,608871;
2012-02-29;22,765374;
2012-03-31;22,273656;
2012-04-30;21,652361;
2012-05-31;17,889113;
2012-06-30;18,474028;
2012-07-31;17,258333;
2012-08-31;18,748363;
2012-09-30;null;
2012-10-31;25,033721;
2012-11-30;23,066667;
2012-12-31;24,310887;
2013-01-31;22,838172;
2013-02-28;22,887351;
2013-03-31;22,63319;
2013-04-30;20,290972;
2013-05-31;18,922917;
2013-06-30;18,776162;
2013-07-31;17,354973;
2013-08-31;18,788306;
2013-09-30;20,917917;
2013-10-31;21,340995;
2013-11-30;22,439167;
2013-12-31;23,338306;
2014-01-31;23,708871;
2014-02-28;24,070536;
2014-03-31;23,164382;
2014-04-30;21,434306;
2014-05-31;18,764534;
2014-06-30;18,700918;
2014-07-31;18,056136;
2014-08-31;20,093204;
2014-09-30;22,545982;
2014-10-31;23,517128;
2014-11-30;23,240534;
2014-12-31;22,819355;
2015-01-31;24,816663;
2015-02-28;23,013181;
2015-03-31;22,111694;
2015-04-30;21,369722;
2015-05-31;18,689785;
2015-06-30;18,118056;
2015-07-31;19,048925;
2015-08-31;19,95346;
2015-09-30;22,413466;
2015-10-31;25,305122;
2015-11-30;23,589659;
2015-12-31;23,487248;
2016-01-31;23,301537;
2016-02-29;23,662007;
2016-03-31;23,064904;
2016-04-30;22,350742;
2016-05-31;19,622128;
2016-06-30;null;
2016-07-31;18,29831;
2016-08-31;19,886559;
2016-09-30;22,708085;
2016-10-31;23,190634;
2016-11-30;22,108477;
2016-12-31;23,245705;
2017-01-31;22,966872;
2017-02-28;23,065677;
2017-03-31;22,756162;
2017-04-30;21,83898;
2017-05-31;19,784829;
2017-06-30;18,072301;
2017-07-31;16,558602;
2017-08-31;20,143028;
2017-09-30;21,880097;
2017-10-31;23,600397;
2017-11-30;22,432881;
2017-12-31;23,273715;
2018-01-31;22,748575;
2018-02-28;null;
2018-03-31;23,791092;
2018-04-30;21,324444;
2018-05-31;18,747458;
2018-06-30;19,323611;
2018-07-31;18,255493;
2018-08-31;19,438044;
2018-09-30;22,036207;
2018-10-31;22,938756;
2018-11-30;22,1425;
2018-12-31;23,303629;
2019-01-31;24,241111;
2019-02-28;23,195933;
2019-03-31;22,425362;
2019-04-30;22,265192;
2019-05-31;20,264078;
2019-06-30;18,230766;
2019-07-31;17,194507;
2019-08-31;19,948212;
2019-09-30;23,930133;
2019-10-31;23,908468;
2019-11-30;23,291925;
2019-12-31;23,606332;
2020-01-31;23,336647;
2020-02-29;22,775156;
2020-03-31;null;
2020-04-30;21,244854;
2020-05-31;18,829552;
2020-06-30;null;
2020-07-31;null;
2020-08-31;19,823998;
2020-09-30;23,775154;
2020-10-31;24,671406;
2020-11-30;23,490344;
2020-12-31;22,590064;
2021-01-31;22,889078;
2021-02-28;22,811316;
2021-03-31;22,935021;
2021-04-30;20,842729;
2021-05-31;19,232802;
2021-06-30;18,085488;
2021-07-31;16,491129;
2021-08-31;20,834409;
2021-09-30;25,085737;
2021-10-31;22,295968;
2021-11-30;22,938364;
2021-12-31;22,222629;
2022-01-31;22,488598;
2022-02-28;22,612648;
2022-03-31;23,535794;
2022-04-30;22,21523;
2022-05-31;17,748007;
2022-06-30;17,799752;
2022-07-31;18,855078;
2022-08-31;19,8864;
2022-09-30;21,971419;
