Nome: MURIAE
Codigo Estacao: A517
Latitude: -21.105
Longitude: -42.37583332
Altitude: 282.79
Situacao: Operante
Data Inicial: 2006-08-29
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-08-31;null;
2006-09-30;21,311712;
2006-10-31;22,863306;
2006-11-30;23,534998;
2006-12-31;24,279267;
2007-01-31;24,591731;
2007-02-28;24,97106;
2007-03-31;26,071909;
2007-04-30;23,753194;
2007-05-31;20,550125;
2007-06-30;20,446407;
2007-07-31;20,738429;
2007-08-31;21,247674;
2007-09-30;22,399444;
2007-10-31;24,281235;
2007-11-30;23,842308;
2007-12-31;25,055376;
2008-01-31;23,950134;
2008-02-29;24,846589;
2008-03-31;24,379301;
2008-04-30;23,813889;
2008-05-31;20,865515;
2008-06-30;19,936463;
2008-07-31;19,265644;
2008-08-31;21,868414;
2008-09-30;21,513611;
2008-10-31;23,839785;
2008-11-30;22,805749;
2008-12-31;23,283523;
2009-01-31;24,781533;
2009-02-28;25,711161;
2009-03-31;25,410618;
2009-04-30;22,840139;
2009-05-31;21,455914;
2009-06-30;19,432639;
2009-07-31;20,670161;
2009-08-31;20,907738;
2009-09-30;23,763889;
2009-10-31;23,389024;
2009-11-30;25,957083;
2009-12-31;25,000403;
2010-01-31;26,92632;
2010-02-28;27,000298;
2010-03-31;25,441936;
2010-04-30;23,207361;
2010-05-31;21,055108;
2010-06-30;18,924722;
2010-07-31;20,378629;
2010-08-31;20,04413;
2010-09-30;22,459626;
2010-10-31;22,795565;
2010-11-30;22,964799;
2010-12-31;25,539113;
2011-01-31;26,134946;
2011-02-28;26,861012;
2011-03-31;23,278519;
2011-04-30;23,195833;
2011-05-31;20,598387;
2011-06-30;19,080556;
2011-07-31;19,573656;
2011-08-31;22,044758;
2011-09-30;21,411944;
2011-10-31;22,837097;
2011-11-30;21,949444;
2011-12-31;23,664785;
2012-01-31;24,132796;
2012-02-29;25,864942;
2012-03-31;25,040054;
2012-04-30;23,66625;
2012-05-31;20,23032;
2012-06-30;20,833056;
2012-07-31;20,422989;
2012-08-31;20,233611;
2012-09-30;22,285;
2012-10-31;25,026344;
2012-11-30;23,186389;
2012-12-31;26,984409;
2013-01-31;25,183737;
2013-02-28;26,22753;
2013-03-31;24,69454;
2013-04-30;22,26875;
2013-05-31;20,889516;
2013-06-30;20,951806;
2013-07-31;19,81371;
2013-08-31;20,809409;
2013-09-30;22,205694;
2013-10-31;22,786022;
2013-11-30;23,438472;
2013-12-31;24,393889;
2014-01-31;26,634408;
2014-02-28;26,592262;
2014-03-31;24,934005;
2014-04-30;23,4325;
2014-05-31;21,63629;
2014-06-30;21,068611;
2014-07-31;20,118817;
2014-08-31;null;
2014-09-30;null;
2014-10-31;23,75914;
2014-11-30;23,980891;
2014-12-31;25,76371;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;23,141642;
2015-05-31;20,701344;
2015-06-30;20,207778;
2015-07-31;20,749597;
2015-08-31;21,590054;
2015-09-30;23,544167;
2015-10-31;25,045565;
2015-11-30;25,760833;
2015-12-31;26,133737;
2016-01-31;25,289785;
2016-02-29;26,693534;
2016-03-31;25,544872;
2016-04-30;25,094956;
2016-05-31;21,841325;
2016-06-30;19,215417;
2016-07-31;20,569945;
2016-08-31;21,670968;
2016-09-30;23,471955;
2016-10-31;23,464861;
2016-11-30;23,803;
2016-12-31;24,924328;
2017-01-31;27,377607;
2017-02-28;null;
2017-03-31;null;
2017-04-30;null;
2017-05-31;20,873214;
2017-06-30;20,557353;
2017-07-31;18,63629;
2017-08-31;20,181452;
2017-09-30;22,2425;
2017-10-31;25,189919;
2017-11-30;23,508611;
2017-12-31;24,973522;
2018-01-31;26,028495;
2018-02-28;24,911161;
2018-03-31;25,388038;
2018-04-30;22,824306;
2018-05-31;21,031855;
2018-06-30;21,154306;
2018-07-31;20,430073;
2018-08-31;20,393952;
2018-09-30;22,455;
2018-10-31;23,64879;
2018-11-30;23,451141;
2018-12-31;25,061828;
2019-01-31;27,563306;
2019-02-28;26,010565;
2019-03-31;24,96707;
