Nome: JUIZ DE FORA
Codigo Estacao: A518
Latitude: -21.769965
Longitude: -43.364329
Altitude: 936.88
Situacao: Operante
Data Inicial: 2007-05-25
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-05-31;null;
2007-06-30;17,194009;
2007-07-31;16,492911;
2007-08-31;17,497855;
2007-09-30;18,559444;
2007-10-31;20,201379;
2007-11-30;19,649352;
2007-12-31;21,316398;
2008-01-31;20,009543;
2008-02-29;20,909226;
2008-03-31;20,492191;
2008-04-30;19,837222;
2008-05-31;17,345833;
2008-06-30;16,129819;
2008-07-31;16,411351;
2008-08-31;18,016935;
2008-09-30;17,101667;
2008-10-31;19,47621;
2008-11-30;18,429861;
2008-12-31;19,240054;
2009-01-31;20,703962;
2009-02-28;21,675893;
2009-03-31;21,511022;
2009-04-30;18,893056;
2009-05-31;17,638979;
2009-06-30;15,687083;
2009-07-31;16,777151;
2009-08-31;17,00336;
2009-09-30;19,803889;
2009-10-31;19,2875;
2009-11-30;22,108194;
2009-12-31;20,75457;
2010-01-31;22,711883;
2010-02-28;22,914583;
2010-03-31;21,632514;
2010-04-30;19,168786;
2010-05-31;17,459583;
2010-06-30;15,435833;
2010-07-31;16,814382;
2010-08-31;16,790247;
2010-09-30;18,261389;
2010-10-31;18,14543;
2010-11-30;19,136944;
2010-12-31;21,484274;
2011-01-31;21,961021;
2011-02-28;23,005357;
2011-03-31;20,125567;
2011-04-30;19,806667;
2011-05-31;16,367576;
2011-06-30;15,386806;
2011-07-31;16,22836;
2011-08-31;18,431537;
2011-09-30;null;
2011-10-31;18,942608;
2011-11-30;17,820139;
2011-12-31;19,748709;
2012-01-31;20,048656;
2012-02-29;21,828161;
2012-03-31;20,868389;
2012-04-30;20,004722;
2012-05-31;16,589247;
2012-06-30;17,348056;
2012-07-31;16,941036;
2012-08-31;16,229662;
2012-09-30;18,536806;
2012-10-31;20,708468;
2012-11-30;19,009861;
2012-12-31;22,85914;
2013-01-31;20,591936;
2013-02-28;22,548512;
2013-03-31;20,550431;
2013-04-30;18,295833;
2013-05-31;17,264247;
2013-06-30;17,307601;
2013-07-31;15,74086;
2013-08-31;17,231855;
2013-09-30;17,974861;
2013-10-31;18,280914;
2013-11-30;19,31;
2013-12-31;20,674866;
2014-01-31;23,078629;
2014-02-28;22,65997;
2014-03-31;21,079167;
2014-04-30;19,358056;
2014-05-31;17,842608;
2014-06-30;17,389306;
2014-07-31;16,021909;
2014-08-31;17,099328;
2014-09-30;19,196389;
2014-10-31;19,900269;
2014-11-30;20,100139;
2014-12-31;21,881183;
2015-01-31;23,742239;
2015-02-28;21,881696;
2015-03-31;21,080376;
2015-04-30;19,404583;
2015-05-31;17,195968;
2015-06-30;16,855833;
2015-07-31;17,456183;
2015-08-31;17,57043;
2015-09-30;20,027639;
2015-10-31;20,965726;
2015-11-30;21,512917;
2015-12-31;22,177688;
2016-01-31;21,375941;
2016-02-29;22,82227;
2016-03-31;21,640591;
2016-04-30;21,734305;
2016-05-31;17,763172;
2016-06-30;15,501111;
2016-07-31;16,739113;
2016-08-31;17,741801;
2016-09-30;18,646806;
2016-10-31;19,086559;
2016-11-30;19,460556;
2016-12-31;21,415188;
2017-01-31;22,531452;
2017-02-28;21,650893;
2017-03-31;20,847849;
2017-04-30;18,919861;
2017-05-31;17,148656;
2017-06-30;17,125139;
2017-07-31;15,00672;
2017-08-31;16,055242;
2017-09-30;18,641528;
2017-10-31;20,775806;
2017-11-30;19,149306;
2017-12-31;21,035081;
2018-01-31;21,727957;
2018-02-28;20,872619;
2018-03-31;21,771371;
2018-04-30;19,300695;
2018-05-31;17,663306;
2018-06-30;17,472917;
2018-07-31;17,443414;
2018-08-31;16,257796;
2018-09-30;18,585972;
2018-10-31;18,981855;
2018-11-30;19,356753;
2018-12-31;21,196371;
2019-01-31;null;
2019-02-28;22,574043;
2019-03-31;null;
2019-04-30;20,80465;
2019-05-31;19,477419;
2019-06-30;17,665972;
2019-07-31;16,506048;
2019-08-31;16,443817;
2019-09-30;19,408194;
2019-10-31;20,162097;
2019-11-30;19,658195;
2019-12-31;20,646774;
2020-01-31;21,212769;
2020-02-29;20,790374;
2020-03-31;19,868069;
2020-04-30;18,385972;
2020-05-31;16,850403;
2020-06-30;17,952083;
2020-07-31;17,411425;
2020-08-31;16,928898;
2020-09-30;21,301806;
2020-10-31;20,192876;
2020-11-30;19,38375;
2020-12-31;21,226613;
2021-01-31;22,220161;
2021-02-28;21,027232;
2021-03-31;21,841667;
2021-04-30;18,409722;
2021-05-31;18,006855;
2021-06-30;16,296528;
2021-07-31;15,272604;
2021-08-31;17,089113;
2021-09-30;19,904861;
2021-10-31;18,025134;
2021-11-30;18,794306;
2021-12-31;19,63078;
2022-01-31;21,609274;
2022-02-28;20,812798;
2022-03-31;22,395968;
2022-04-30;19,821528;
2022-05-31;17,268011;
2022-06-30;16,267672;
2022-07-31;null;
2022-08-31;16,428629;
2022-09-30;16,909028;
2022-10-31;19,899731;
2022-11-30;18,186944;
2022-12-31;19,626613;
2023-01-31;20,699866;
2023-02-28;22,169792;
2023-03-31;21,916532;
2023-04-30;19,191111;
2023-05-31;17,377151;
2023-06-30;17,147778;
2023-07-31;16,556183;
2023-08-31;18,269086;
2023-09-30;20,499028;
2023-10-31;20,66586;
2023-11-30;22,607639;

