Nome: CAMPINA VERDE
Codigo Estacao: A519
Latitude: -19.53921
Longitude: -49.518133
Altitude: 559.07
Situacao: Operante
Data Inicial: 2006-07-14
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-07-31;21,494853;
2006-08-31;23,489167;
2006-09-30;23,087935;
2006-10-31;24,189651;
2006-11-30;24,379058;
2006-12-31;24,534937;
2007-01-31;24,389968;
2007-02-28;24,975718;
2007-03-31;25,406966;
2007-04-30;24,659306;
2007-05-31;21,254629;
2007-06-30;21,116926;
2007-07-31;20,612165;
2007-08-31;22,740731;
2007-09-30;26,218472;
2007-10-31;26,813809;
2007-11-30;25,13791;
2007-12-31;25,070699;
2008-01-31;24,146641;
2008-02-29;23,837876;
2008-03-31;23,647788;
2008-04-30;23,175972;
2008-05-31;20,285583;
2008-06-30;20,838107;
2008-07-31;20,919624;
2008-08-31;23,527823;
2008-09-30;24,012083;
2008-10-31;25,483065;
2008-11-30;24,554982;
2008-12-31;24,566667;
2009-01-31;24,155084;
2009-02-28;24,810565;
2009-03-31;24,49207;
2009-04-30;23,033194;
2009-05-31;21,844892;
2009-06-30;19,124722;
2009-07-31;21,374328;
2009-08-31;22,146371;
2009-09-30;24,315417;
2009-10-31;26,202224;
2009-11-30;26,305139;
2009-12-31;24,563441;
2010-01-31;25,12489;
2010-02-28;25,71622;
2010-03-31;25,403495;
2010-04-30;23,542778;
2010-05-31;20,966801;
2010-06-30;20,292778;
2010-07-31;22,181183;
2010-08-31;22,57372;
2010-09-30;26,032562;
2010-10-31;null;
2010-11-30;24,487778;
2010-12-31;25,013978;
2011-01-31;24,556317;
2011-02-28;24,489583;
2011-03-31;23,354663;
2011-04-30;23,555139;
2011-05-31;20,918952;
2011-06-30;19,388194;
2011-07-31;21,234677;
2011-08-31;23,142876;
2011-09-30;25,286602;
2011-10-31;24,540591;
2011-11-30;24,034722;
2011-12-31;24,59207;
2012-01-31;23,355914;
2012-02-29;25,243103;
2012-03-31;24,686962;
2012-04-30;23,760556;
2012-05-31;20,63078;
2012-06-30;20,83375;
2012-07-31;19,962097;
2012-08-31;22,357778;
2012-09-30;25,070972;
2012-10-31;27,14207;
