Nome: CONCEICAO DAS ALAGOAS
Codigo Estacao: A520
Latitude: -19.98586
Longitude: -48.151574
Altitude: 572.54
Situacao: Operante
Data Inicial: 2006-07-17
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-07-31;null;
2006-08-31;22,706389;
2006-09-30;22,970846;
2006-10-31;23,869086;
2006-11-30;23,784379;
2006-12-31;24,179123;
2007-01-31;null;
2007-02-28;24,538857;
2007-03-31;24,867607;
2007-04-30;23,728708;
2007-05-31;20,161528;
2007-06-30;20,13452;
2007-07-31;19,948901;
2007-08-31;22,403397;
2007-09-30;25,821896;
2007-10-31;26,508474;
2007-11-30;24,430867;
2007-12-31;24,705376;
2008-01-31;23,718011;
2008-02-29;23,743899;
2008-03-31;23,425806;
2008-04-30;22,840972;
2008-05-31;19,480108;
2008-06-30;19,994543;
2008-07-31;19,572984;
2008-08-31;22,716263;
2008-09-30;23,749167;
2008-10-31;25,672715;
2008-11-30;24,521944;
2008-12-31;23,995565;
2009-01-31;23,97815;
2009-02-28;24,551042;
2009-03-31;24,252688;
2009-04-30;22,306528;
2009-05-31;21,068683;
2009-06-30;18,184722;
2009-07-31;20,649983;
2009-08-31;21,624194;
2009-09-30;24,04125;
2009-10-31;24,265805;
2009-11-30;25,502361;
2009-12-31;24,027419;
2010-01-31;24,426667;
2010-02-28;24,960565;
2010-03-31;24,611232;
2010-04-30;22,835417;
2010-05-31;20,191936;
2010-06-30;19,292917;
2010-07-31;21,485887;
2010-08-31;21,897166;
2010-09-30;24,850139;
2010-10-31;24,070833;
2010-11-30;24,186667;
2010-12-31;25,204973;
2011-01-31;24,470833;
2011-02-28;24,805357;
2011-03-31;23,032693;
2011-04-30;23,129306;
2011-05-31;20,018513;
2011-06-30;18,458068;
2011-07-31;20,317608;
2011-08-31;22,750694;
2011-09-30;24,460555;
2011-10-31;23,926601;
2011-11-30;24,007639;
2011-12-31;24,201344;
2012-01-31;22,818011;
2012-02-29;24,682902;
2012-03-31;24,219413;
2012-04-30;23,17718;
2012-05-31;19,825134;
