Nome: BELO HORIZONTE (PAMPULHA)
Codigo Estacao: A521
Latitude: -19.88388888
Longitude: -43.96944443
Altitude: 854.02
Situacao: Operante
Data Inicial: 2006-10-09
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-10-31;21,971825;
2006-11-30;21,559914;
2006-12-31;22,5252;
2007-01-31;null;
2007-02-28;22,646638;
2007-03-31;23,980108;
2007-04-30;22,43625;
2007-05-31;19,883749;
2007-06-30;19,375931;
2007-07-31;19,151267;
2007-08-31;20,02192;
2007-09-30;21,71;
2007-10-31;23,691082;
2007-11-30;23,226505;
2007-12-31;23,274603;
2008-01-31;22,218414;
2008-02-29;23,230357;
2008-03-31;22,522972;
2008-04-30;22,600972;
2008-05-31;19,905278;
2008-06-30;19,557657;
2008-07-31;18,493683;
2008-08-31;20,952688;
2008-09-30;21,312222;
2008-10-31;24,14692;
2008-11-30;22,04875;
2008-12-31;21,963306;
2009-01-31;22,988347;
2009-02-28;23,427827;
2009-03-31;23,410081;
2009-04-30;21,858333;
2009-05-31;20,177688;
2009-06-30;18,953472;
2009-07-31;20,456183;
2009-08-31;20,310314;
2009-09-30;23,157083;
2009-10-31;22,489368;
2009-11-30;24,081528;
2009-12-31;22,120296;
2010-01-31;24,052092;
2010-02-28;24,766667;
2010-03-31;23,376747;
2010-04-30;21,893611;
2010-05-31;20,227285;
2010-06-30;18,001667;
2010-07-31;19,509274;
2010-08-31;20,218287;
2010-09-30;21,69;
2010-10-31;22,34664;
2010-11-30;21,698472;
2010-12-31;23,580645;
2011-01-31;23,366532;
2011-02-28;24,915625;
2011-03-31;22,398637;
2011-04-30;22,289583;
2011-05-31;20,147849;
2011-06-30;18,762146;
2011-07-31;19,190188;
2011-08-31;21,756317;
2011-09-30;21,584861;
2011-10-31;21,382258;
2011-11-30;20,884028;
2011-12-31;21,562366;
2012-01-31;22,279301;
2012-02-29;23,365805;
2012-03-31;22,892327;
2012-04-30;22,374861;
2012-05-31;19,269606;
2012-06-30;20,135344;
2012-07-31;19,393817;
2012-08-31;18,973611;
2012-09-30;22,405833;
2012-10-31;23,716129;
2012-11-30;22,348889;
2012-12-31;24,895062;
2013-01-31;22,854704;
2013-02-28;24,049554;
2013-03-31;23,258908;
2013-04-30;20,901111;
2013-05-31;20,158468;
2013-06-30;20,129167;
2013-07-31;19,881317;
2013-08-31;20,471237;
2013-09-30;21,602083;
2013-10-31;21,41129;
2013-11-30;22,412778;
2013-12-31;22,690188;
2014-01-31;24,514382;
2014-02-28;24,373512;
2014-03-31;22,954839;
2014-04-30;21,999028;
2014-05-31;20,386694;
2014-06-30;19,900139;
2014-07-31;18,798949;
2014-08-31;20,446237;
2014-09-30;22,601806;
2014-10-31;23,064651;
2014-11-30;22,843194;
2014-12-31;23,67164;
2015-01-31;25,224842;
2015-02-28;23,398363;
2015-03-31;23,345968;
2015-04-30;22,100417;
2015-05-31;19,846505;
2015-06-30;19,179583;
2015-07-31;19,871896;
2015-08-31;20,797715;
2015-09-30;24,246111;
2015-10-31;25,746237;
2015-11-30;25,020694;
2015-12-31;24,039382;
2016-01-31;23,175134;
2016-02-29;25,013735;
2016-03-31;23,686156;
2016-04-30;23,561389;
2016-05-31;21,184005;
2016-06-30;18,963611;
2016-07-31;20,116129;
2016-08-31;21,170027;
2016-09-30;23,195139;
2016-10-31;23,580914;
2016-11-30;22,264167;
2016-12-31;23,116398;
2017-01-31;24,481048;
2017-02-28;22,957738;
2017-03-31;23,449059;
2017-04-30;22,439305;
2017-05-31;20,362366;
2017-06-30;19,686945;
2017-07-31;17,463575;
2017-08-31;20,341898;
2017-09-30;20,974306;
2017-10-31;23,830107;
2017-11-30;22,138611;
2017-12-31;23,305511;
2018-01-31;24,130242;
2018-02-28;22,680357;
2018-03-31;23,362769;
2018-04-30;21,61125;
2018-05-31;19,818011;
2018-06-30;20,099626;
2018-07-31;19,694758;
2018-08-31;20,090188;
2018-09-30;22,184167;
2018-10-31;23,319624;
2018-11-30;21,959722;
2018-12-31;23,196505;
2019-01-31;25,059005;
2019-02-28;24,097173;
2019-03-31;23,578495;
2019-04-30;23,125972;
2019-05-31;21,720027;
2019-06-30;19,755694;
2019-07-31;18,670565;
2019-08-31;20,558333;
2019-09-30;23,658195;
2019-10-31;24,493414;
2019-11-30;23,506528;
2019-12-31;23,168952;
2020-01-31;23,652016;
2020-02-29;23,037644;
2020-03-31;22,265726;
2020-04-30;21,661389;
2020-05-31;18,769624;
2020-06-30;19,409722;
2020-07-31;19,794489;
2020-08-31;19,500538;
2020-09-30;24,16721;
2020-10-31;23,561156;
2020-11-30;22,623056;
2020-12-31;23,377285;
2021-01-31;23,768683;
2021-02-28;22,462798;
2021-03-31;23,172178;
2021-04-30;21,616945;
2021-05-31;20,610484;
2021-06-30;19,2675;
2021-07-31;18,143011;
2021-08-31;20,086022;
2021-09-30;24,386389;
2021-10-31;22,548522;
2021-11-30;22,099028;
2021-12-31;21,932124;
2022-01-31;22,949866;
2022-02-28;22,181994;
2022-03-31;24,334543;
2022-04-30;22,916111;
2022-05-31;19,093011;
2022-06-30;18,886806;
2022-07-31;19,05336;
2022-08-31;20,122446;
2022-09-30;21,619028;
2022-10-31;23,186559;
2022-11-30;21,22375;
2022-12-31;21,850701;
2023-01-31;22,119758;
2023-02-28;24,004911;
2023-03-31;24,178898;
2023-04-30;22,109167;
2023-05-31;20,024731;
2023-06-30;18,712778;
2023-07-31;19,484409;
2023-08-31;21,232527;
2023-09-30;24,020139;
2023-10-31;24,763306;
2023-11-30;25,752778;

