Nome: SERRA DOS AIMORES
Codigo Estacao: A522
Latitude: -17.79888888
Longitude: -40.25
Altitude: 211.97
Situacao: Operante
Data Inicial: 2006-08-20
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-08-31;null;
2006-09-30;21,604672;
2006-10-31;22,918414;
2006-11-30;23,722222;
2006-12-31;24,66578;
2007-01-31;26,441263;
2007-02-28;24,653461;
2007-03-31;25,325251;
2007-04-30;24,372331;
2007-05-31;22,329444;
2007-06-30;21,220839;
2007-07-31;21,37836;
2007-08-31;20,694326;
2007-09-30;21,22125;
2007-10-31;23,649042;
2007-11-30;25,096474;
2007-12-31;25,37043;
2008-01-31;24,88078;
2008-02-29;25,731035;
2008-03-31;25,104167;
2008-04-30;25,459306;
2008-05-31;22,150082;
2008-06-30;21,2298;
2008-07-31;20,015457;
2008-08-31;21,471909;
2008-09-30;22,163036;
2008-10-31;24,553091;
2008-11-30;24,291517;
2008-12-31;24,712019;
2009-01-31;25,282375;
2009-02-28;26,05997;
2009-03-31;26,367473;
2009-04-30;24,124028;
2009-05-31;21,927823;
2009-06-30;21,125694;
2009-07-31;21,403764;
2009-08-31;21,469624;
2009-09-30;23,9425;
2009-10-31;24,134839;
2009-11-30;25,743472;
2009-12-31;26,643817;
2010-01-31;27,215003;
2010-02-28;26,555655;
2010-03-31;null;
2010-04-30;null;
2010-05-31;22,843429;
2010-06-30;20,545089;
2010-07-31;20,473387;
2010-08-31;20,367156;
2010-09-30;21,961111;
2010-10-31;23,17043;
2010-11-30;24,016667;
2010-12-31;25,79879;
2011-01-31;25,727688;
2011-02-28;25,831101;
2011-03-31;25,228914;
2011-04-30;23,655694;
2011-05-31;21,552443;
2011-06-30;null;
2011-07-31;null;
2011-08-31;21,635081;
2011-09-30;21,093333;
2011-10-31;22,773925;
2011-11-30;22,320694;
2011-12-31;24,58078;
2012-01-31;24,890726;
2012-02-29;24,783477;
2012-03-31;25,329435;
2012-04-30;25,077083;
2012-05-31;22,007392;
2012-06-30;22,075149;
2012-07-31;20,867607;
2012-08-31;20,473472;
2012-09-30;22,006528;
2012-10-31;23,716129;
2012-11-30;24,048889;
2012-12-31;26,616667;
2013-01-31;25,98078;
2013-02-28;26,214881;
2013-03-31;26,731896;
2013-04-30;23,596111;
2013-05-31;22,663306;
2013-06-30;22,069508;
2013-07-31;21,024059;
2013-08-31;21,019086;
2013-09-30;21,892778;
2013-10-31;22,315726;
2013-11-30;23,819106;
2013-12-31;25,290591;
2014-01-31;24,971102;
2014-02-28;24,644196;
2014-03-31;24,843145;
2014-04-30;24,196528;
2014-05-31;22,667608;
2014-06-30;21,485139;
2014-07-31;20,529032;
2014-08-31;20,598387;
2014-09-30;22,281667;
2014-10-31;22,869624;
2014-11-30;23,906389;
2014-12-31;24,81129;
2015-01-31;26,269448;
2015-02-28;26,078274;
2015-03-31;25,458602;
2015-04-30;24,305417;
2015-05-31;22,643001;
2015-06-30;21,548333;
2015-07-31;20,96371;
2015-08-31;21,137231;
2015-09-30;24,370694;
2015-10-31;24,967742;
2015-11-30;26,68276;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;26,709375;
2016-04-30;25,819306;
2016-05-31;23,941935;
2016-06-30;21,997361;
2016-07-31;21,556048;
2016-08-31;22,078091;
2016-09-30;23,325278;
2016-10-31;24,266877;
2016-11-30;24,162778;
2016-12-31;25,228226;
2017-01-31;26,178495;
2017-02-28;25,228869;
2017-03-31;25,40121;
2017-04-30;24,094583;
2017-05-31;22,426542;
2017-06-30;21,874722;
2017-07-31;19,217778;
2017-08-31;19,732124;
2017-09-30;null;
2017-10-31;null;
2017-11-30;24,532937;
2017-12-31;24,386694;
2018-01-31;25,79086;
2018-02-28;25,012202;
2018-03-31;25,577285;
2018-04-30;23,263472;
2018-05-31;22,053898;
2018-06-30;21,602778;
2018-07-31;20,675403;
2018-08-31;21,979704;
2018-09-30;23,370972;
2018-10-31;24,153763;
2018-11-30;24,249583;
2018-12-31;24,676478;
2019-01-31;26,014919;
2019-02-28;27,789435;
2019-03-31;26,390322;
2019-04-30;25,547083;
2019-05-31;23,871371;
2019-06-30;21,835417;
2019-07-31;20,441398;
2019-08-31;20,955511;
2019-09-30;22,507083;
2019-10-31;23,955645;
2019-11-30;25,259583;
2019-12-31;25,158333;
2020-01-31;26,139446;
2020-02-29;26,580891;
2020-03-31;24,39422;
2020-04-30;23,684861;
2020-05-31;22,051882;
2020-06-30;21,740489;
2020-07-31;20,774597;
2020-08-31;20,77043;
2020-09-30;23,208333;
2020-10-31;24,393011;
2020-11-30;23,359722;
2020-12-31;null;
2021-01-31;null;
2021-02-28;25,448953;
2021-03-31;25,201199;
2021-04-30;23,878218;
2021-05-31;22,774464;
2021-06-30;21,05619;
2021-07-31;20,745604;
2021-08-31;20,943146;
2021-09-30;23,559564;
2021-10-31;23,871881;
2021-11-30;23,459028;
2021-12-31;24,188844;
2022-01-31;25,839247;
2022-02-28;25,620982;
2022-03-31;24,962903;
2022-04-30;24,676111;
2022-05-31;22,448118;
2022-06-30;20,784028;
2022-07-31;20,739919;
2022-08-31;20,962149;
2022-09-30;22,024541;
2022-10-31;24,593548;
2022-11-30;23,412361;
2022-12-31;24,055645;
2023-01-31;25,331989;
2023-02-28;26,28006;
2023-03-31;25,639785;
2023-04-30;24,89375;
2023-05-31;22,383602;
2023-06-30;21,146111;
2023-07-31;21,127151;
2023-08-31;22,336638;
2023-09-30;23,651667;
2023-10-31;25,343899;
2023-11-30;26,496983;

