Nome: PATROCINIO
Codigo Estacao: A523
Latitude: -18.996684
Longitude: -46.985935
Altitude: 978.11
Situacao: Operante
Data Inicial: 2006-08-21
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-08-31;null;
2006-09-30;20,499129;
2006-10-31;20,743817;
2006-11-30;21,276654;
2006-12-31;21,181289;
2007-01-31;null;
2007-02-28;null;
2007-03-31;null;
2007-04-30;null;
2007-05-31;17,976808;
2007-06-30;17,78654;
2007-07-31;18,184226;
2007-08-31;18,905406;
2007-09-30;21,920556;
2007-10-31;23,103793;
2007-11-30;21,958333;
2007-12-31;21,846102;
2008-01-31;21,266801;
2008-02-29;21,573994;
2008-03-31;21,01129;
2008-04-30;20,918056;
2008-05-31;18,315282;
2008-06-30;17,901969;
2008-07-31;16,736559;
2008-08-31;19,825672;
2008-09-30;20,922222;
2008-10-31;22,762769;
2008-11-30;21,659354;
2008-12-31;21,072581;
2009-01-31;21,650608;
2009-02-28;22,150595;
2009-03-31;21,844892;
2009-04-30;20,259028;
2009-05-31;18,65914;
2009-06-30;17,173333;
2009-07-31;18,675941;
2009-08-31;19,064516;
2009-09-30;21,842361;
2009-10-31;21,597701;
2009-11-30;22,809305;
2009-12-31;21,655511;
2010-01-31;22,461681;
2010-02-28;22,713839;
2010-03-31;21,950134;
2010-04-30;20,292361;
2010-05-31;18,774194;
2010-06-30;16,686528;
2010-07-31;18,241936;
2010-08-31;18,835242;
2010-09-30;21,73625;
2010-10-31;22,080943;
2010-11-30;21,170278;
2010-12-31;22,552016;
2011-01-31;21,905511;
2011-02-28;22,479464;
2011-03-31;21,184417;
2011-04-30;20,613194;
2011-05-31;18,605914;
2011-06-30;16,931667;
2011-07-31;17,902688;
2011-08-31;20,359677;
2011-09-30;21,589167;
2011-10-31;20,806586;
2011-11-30;20,824861;
2011-12-31;21,040054;
2012-01-31;20,65121;
2012-02-29;22,064224;
2012-03-31;21,627419;
2012-04-30;21,158611;
2012-05-31;18,018817;
2012-06-30;18,535695;
2012-07-31;17,64328;
2012-08-31;18,220278;
2012-09-30;21,478472;
2012-10-31;23,156586;
2012-11-30;22,032083;
2012-12-31;22,729973;
2013-01-31;21,638441;
2013-02-28;22,358482;
2013-03-31;21,866667;
2013-04-30;19,667639;
2013-05-31;18,883737;
2013-06-30;18,552588;
2013-07-31;17,615591;
2013-08-31;18,588978;
2013-09-30;20,869445;
2013-10-31;21,260618;
2013-11-30;21,732083;
2013-12-31;22,195161;
2014-01-31;22,104301;
2014-02-28;22,365327;
2014-03-31;21,654973;
2014-04-30;20,869444;
2014-05-31;18,402823;
2014-06-30;17,894583;
2014-07-31;17,135753;
2014-08-31;19,210215;
2014-09-30;22,118889;
2014-10-31;22,757393;
2014-11-30;21,934583;
2014-12-31;21,68871;
2015-01-31;23,230534;
2015-02-28;21,652679;
2015-03-31;21,06586;
2015-04-30;21,005417;
2015-05-31;18,577823;
2015-06-30;17,779167;
2015-07-31;18,377151;
2015-08-31;19,181317;
2015-09-30;22,398056;
2015-10-31;24,501882;
2015-11-30;23,200139;
2015-12-31;22,560887;
2016-01-31;22,20578;
2016-02-29;22,767385;
2016-03-31;22,452688;
2016-04-30;21,499722;
2016-05-31;19,561828;
2016-06-30;17,655833;
2016-07-31;18,231048;
2016-08-31;19,64207;
2016-09-30;22,339583;
2016-10-31;22,744536;
2016-11-30;21,323611;
2016-12-31;21,403728;
2017-01-31;null;
2017-02-28;null;
2017-03-31;21,971774;
2017-04-30;21,294861;
2017-05-31;19,569853;
2017-06-30;16,994318;
2017-07-31;15,518504;
2017-08-31;null;
2017-09-30;null;
2017-10-31;23,026389;
2017-11-30;21,368472;
2017-12-31;21,725269;
2018-01-31;21,989516;
2018-02-28;21,735863;
2018-03-31;22,523656;
2018-04-30;null;
2018-05-31;17,319022;
2018-06-30;18,261111;
2018-07-31;17,580107;
2018-08-31;19,195027;
2018-09-30;21,450556;
2018-10-31;22,40578;
2018-11-30;21,185833;
2018-12-31;22,091667;
2019-01-31;22,787634;
2019-02-28;22,458185;
2019-03-31;21,713441;
2019-04-30;21,575417;
2019-05-31;19,833737;
2019-06-30;17,3225;
2019-07-31;16,715591;
2019-08-31;19,14328;
2019-09-30;23,060278;
2019-10-31;22,892876;
2019-11-30;22,366111;
2019-12-31;22,092339;
2020-01-31;22,64543;
2020-02-29;21,7875;
2020-03-31;21,391129;
2020-04-30;20,540417;
2020-05-31;16,990054;
2020-06-30;17,647639;
2020-07-31;17,615995;
2020-08-31;18,378226;
2020-09-30;22,076806;
2020-10-31;23,189113;
2020-11-30;21,655695;
