Nome: FORMIGA
Codigo Estacao: A524
Latitude: -20.455
Longitude: -45.45388888
Altitude: 878.14
Situacao: Operante
Data Inicial: 2006-08-16
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-08-31;null;
2006-09-30;20,419381;
2006-10-31;21,52836;
2006-11-30;21,818359;
2006-12-31;22,335113;
2007-01-31;22,394257;
2007-02-28;22,770808;
2007-03-31;23,81243;
2007-04-30;22,17564;
2007-05-31;18,860407;
2007-06-30;18,323092;
2007-07-31;18,316425;
2007-08-31;19,818776;
2007-09-30;22,460833;
2007-10-31;23,670255;
2007-11-30;22,033013;
2007-12-31;22,98629;
2008-01-31;22,141935;
2008-02-29;22,600287;
2008-03-31;22,173253;
2008-04-30;21,572778;
2008-05-31;18,548241;
2008-06-30;18,563967;
2008-07-31;17,313038;
2008-08-31;20,545968;
2008-09-30;20,802011;
2008-10-31;23,281726;
2008-11-30;21,995936;
2008-12-31;21,805108;
2009-01-31;22,296061;
2009-02-28;23,252381;
2009-03-31;22,981855;
2009-04-30;20,848889;
2009-05-31;19,275672;
2009-06-30;16,897778;
2009-07-31;19,454032;
2009-08-31;19,644624;
2009-09-30;22,267778;
2009-10-31;22,236882;
2009-11-30;23,998611;
2009-12-31;22,451478;
2010-01-31;23,848204;
2010-02-28;24,177976;
2010-03-31;23,309409;
2010-04-30;21,473333;
2010-05-31;18,977688;
2010-06-30;17,020139;
2010-07-31;18,699194;
2010-08-31;19,37407;
2010-09-30;21,707361;
2010-10-31;22,125269;
2010-11-30;22,0625;
2010-12-31;23,573925;
2011-01-31;23,165726;
2011-02-28;23,976935;
2011-03-31;21,993992;
2011-04-30;21,572917;
2011-05-31;18,835887;
2011-06-30;17,230278;
2011-07-31;18,364516;
2011-08-31;21,163306;
2011-09-30;21,725085;
2011-10-31;21,57836;
2011-11-30;21,172361;
2011-12-31;21,93871;
2012-01-31;21,641801;
2012-02-29;23,240948;
2012-03-31;22,620027;
2012-04-30;21,817222;
2012-05-31;18,385863;
2012-06-30;18,882222;
2012-07-31;17,768683;
2012-08-31;18,64;
2012-09-30;21,738889;
2012-10-31;24,162634;
2012-11-30;22,587639;
2012-12-31;24,178763;
2013-01-31;22,67957;
2013-02-28;23,651191;
2013-03-31;22,749569;
2013-04-30;20,351389;
2013-05-31;19,054167;
2013-06-30;18,878851;
2013-07-31;17,764025;
2013-08-31;19,328091;
2013-09-30;21,068982;
2013-10-31;21,222984;
2013-11-30;22,355833;
2013-12-31;22,996505;
2014-01-31;24,423387;
2014-02-28;24,564583;
2014-03-31;23,354032;
2014-04-30;21,661111;
2014-05-31;19,146774;
2014-06-30;18,97;
2014-07-31;18,086022;
2014-08-31;19,96828;
2014-09-30;22,60303;
2014-10-31;23,465457;
2014-11-30;23,059444;
2014-12-31;23,114785;
2015-01-31;24,850497;
2015-02-28;22,720982;
2015-03-31;22,137366;
2015-04-30;21,495833;
2015-05-31;18,999059;
2015-06-30;18,200278;
2015-07-31;19,295027;
2015-08-31;19,691865;
2015-09-30;null;
2015-10-31;25,323426;
2015-11-30;24,036449;
2015-12-31;23,385484;
2016-01-31;22,847376;
2016-02-29;null;
2016-03-31;null;
2016-04-30;22,815972;
2016-05-31;19,694893;
2016-06-30;17,413472;
2016-07-31;18,584677;
2016-08-31;20,183737;
2016-09-30;22,957361;
2016-10-31;22,823925;
2016-11-30;22,036944;
2016-12-31;23,223925;
2017-01-31;23,95;
2017-02-28;23,44494;
2017-03-31;23,144892;
2017-04-30;22,050694;
2017-05-31;null;
2017-06-30;18,092535;
2017-07-31;16,757527;
2017-08-31;20,009005;
2017-09-30;21,980139;
2017-10-31;23,608065;
2017-11-30;22,295556;
2017-12-31;22,978898;
2018-01-31;23,038979;
2018-02-28;22,75506;
2018-03-31;23,807661;
2018-04-30;21,302361;
2018-05-31;18,965322;
2018-06-30;19,163889;
2018-07-31;18,603284;
2018-08-31;19,130511;
2018-09-30;21,718056;
2018-10-31;22,914247;
2018-11-30;21,795;
2018-12-31;23,104032;
2019-01-31;24,539113;
2019-02-28;23,393601;
2019-03-31;22,640188;
2019-04-30;22,437099;
2019-05-31;20,549306;
2019-06-30;18,469583;
2019-07-31;null;
2019-08-31;19,88776;
2019-09-30;23,67;
2019-10-31;23,815188;
2019-11-30;23,098194;
2019-12-31;23,256452;
2020-01-31;23,597581;
2020-02-29;22,706322;
2020-03-31;22,309444;
2020-04-30;21,37125;
2020-05-31;18,04086;
2020-06-30;18,832639;
2020-07-31;19,405914;
2020-08-31;19,417876;
2020-09-30;23,645;
2020-10-31;23,865054;
2020-11-30;22,607083;
2020-12-31;22,721237;
2021-01-31;23,675134;
2021-02-28;22,543304;
2021-03-31;23,188172;
