Nome: SACRAMENTO
Codigo Estacao: A525
Latitude: -19.87527777
Longitude: -47.43416666
Altitude: 913.12
Situacao: Operante
Data Inicial: 2006-08-18
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-08-31;null;
2006-09-30;21,335076;
2006-10-31;22,088575;
2006-11-30;null;
2006-12-31;22,328523;
2007-01-31;22,383882;
2007-02-28;22,891764;
2007-03-31;23,488903;
2007-04-30;22,450833;
2007-05-31;19,344269;
2007-06-30;19,159574;
2007-07-31;19,037524;
2007-08-31;20,865885;
2007-09-30;23,625694;
2007-10-31;24,461752;
2007-11-30;22,650743;
2007-12-31;23,016129;
2008-01-31;22,17164;
2008-02-29;22,341667;
2008-03-31;22,055486;
2008-04-30;21,606528;
2008-05-31;18,764008;
2008-06-30;19,385641;
2008-07-31;18,585618;
2008-08-31;21,341532;
2008-09-30;21,92625;
2008-10-31;23,817473;
2008-11-30;22,65125;
2008-12-31;21,986156;
2009-01-31;22,176344;
2009-02-28;23,147322;
2009-03-31;22,613441;
2009-04-30;21,220972;
2009-05-31;19,966801;
2009-06-30;17,463194;
2009-07-31;19,842473;
2009-08-31;20,284812;
2009-09-30;22,492639;
2009-10-31;22,700287;
2009-11-30;23,743889;
2009-12-31;22,314919;
2010-01-31;23,226111;
2010-02-28;23,697768;
2010-03-31;23,082182;
2010-04-30;21,675278;
2010-05-31;19,534543;
2010-06-30;18,25;
2010-07-31;20,054435;
2010-08-31;20,652355;
2010-09-30;23,138194;
2010-10-31;22,635887;
2010-11-30;22,144306;
2010-12-31;23,635081;
2011-01-31;22,802554;
2011-02-28;23,466071;
2011-03-31;21,655731;
2011-04-30;21,820694;
2011-05-31;19,402289;
2011-06-30;17,794583;
2011-07-31;19,443484;
2011-08-31;21,70793;
2011-09-30;23,113194;
2011-10-31;22,055731;
2011-11-30;21,996806;
2011-12-31;22,530242;
2012-01-31;21,418583;
2012-02-29;23,262787;
2012-03-31;22,602092;
2012-04-30;22,063472;
2012-05-31;18,799462;
2012-06-30;19,710833;
2012-07-31;18,689382;
2012-08-31;19,598195;
2012-09-30;22,853056;
2012-10-31;24,888172;
2012-11-30;23,314028;
2012-12-31;23,939113;
2013-01-31;22,497043;
2013-02-28;22,954167;
2013-03-31;22,677679;
2013-04-30;20,590278;
2013-05-31;20,02829;
2013-06-30;19,88577;
2013-07-31;18,246289;
2013-08-31;19,877688;
2013-09-30;21,862361;
2013-10-31;22,29422;
2013-11-30;22,680139;
2013-12-31;23,001747;
2014-01-31;23,640457;
2014-02-28;23,974256;
2014-03-31;22,742339;
2014-04-30;21,926528;
2014-05-31;19,65336;
2014-06-30;19,541389;
2014-07-31;18,597581;
2014-08-31;21,392361;
2014-09-30;23,599583;
2014-10-31;24,475514;
2014-11-30;22,96;
2014-12-31;null;
2015-01-31;null;
2015-02-28;23,142763;
2015-03-31;21,802419;
2015-04-30;22,030417;
2015-05-31;19,714785;
2015-06-30;19,333889;
2015-07-31;19,967204;
2015-08-31;20,968011;
2015-09-30;23,850139;
2015-10-31;26,191532;
2015-11-30;23,780417;
2015-12-31;23,200806;
2016-01-31;23,206183;
2016-02-29;23,779023;
2016-03-31;23,288844;
2016-04-30;23,050139;
2016-05-31;20,579704;
2016-06-30;18,517639;
2016-07-31;19,517204;
2016-08-31;20,999234;
2016-09-30;23,350278;
2016-10-31;23,609543;
2016-11-30;22,33;
2016-12-31;23,291398;
2017-01-31;22,910753;
2017-02-28;23,309226;
2017-03-31;23,347043;
2017-04-30;22,553472;
2017-05-31;20,911022;
2017-06-30;19,166806;
2017-07-31;17,172312;
2017-08-31;21,222941;
2017-09-30;null;
2017-10-31;24,591667;
2017-11-30;22,82;
2017-12-31;22,968011;
2018-01-31;23,16586;
2018-02-28;22,742262;
2018-03-31;24,155376;
2018-04-30;21,572083;
2018-05-31;19,652419;
2018-06-30;20,581111;
2018-07-31;19,575806;
2018-08-31;20,338441;
2018-09-30;22,696806;
2018-10-31;23,709274;
2018-11-30;22,319722;
2018-12-31;23,495564;
2019-01-31;24,4375;
2019-02-28;23,411012;
2019-03-31;22,911425;
2019-04-30;22,682361;
2019-05-31;21,01371;
2019-06-30;19,177446;
2019-07-31;18,659812;
2019-08-31;20,990726;
2019-09-30;25,145278;
2019-10-31;24,536156;
2019-11-30;23,865139;
2019-12-31;23,167607;
2020-01-31;23,392742;
2020-02-29;22,621983;
2020-03-31;22,875134;
2020-04-30;22,149028;
2020-05-31;18,316667;
2020-06-30;19,850833;
2020-07-31;19,94086;
2020-08-31;20,692339;
2020-09-30;24,811805;
2020-10-31;25,089919;
2020-11-30;23,384444;
2020-12-31;22,857392;
2021-01-31;23,754704;
2021-02-28;22,726042;
2021-03-31;23,302823;
2021-04-30;21,514132;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;23,248016;
2021-12-31;22,951478;
2022-01-31;22,523387;
2022-02-28;22,704018;
2022-03-31;23,692473;
2022-04-30;22,675833;
2022-05-31;18,450269;
2022-06-30;18,835139;
2022-07-31;19,84207;
2022-08-31;20,670296;
2022-09-30;22,769722;
2022-10-31;23,513306;
2022-11-30;21,995833;
2022-12-31;22,557258;
2023-01-31;22,108737;
2023-02-28;23,054613;
2023-03-31;23,12801;
2023-04-30;21,604583;
2023-05-31;19,344758;
2023-06-30;18,078194;
2023-07-31;19,717876;
2023-08-31;22,060278;
2023-09-30;25,445139;
2023-10-31;25,091532;
2023-11-30;25,320694;

