Nome: MONTALVANIA
Codigo Estacao: A526
Latitude: -14.40833333
Longitude: -44.40416666
Altitude: 519.52
Situacao: Operante
Data Inicial: 2007-06-25
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-06-30;null;
2007-07-31;21,209946;
2007-08-31;22,02749;
2007-09-30;24,394583;
2007-10-31;27,452817;
2007-11-30;27,595833;
2007-12-31;24,729435;
2008-01-31;24,693817;
2008-02-29;24,476437;
2008-03-31;23,863575;
2008-04-30;23,5475;
2008-05-31;21,272084;
2008-06-30;20,154221;
2008-07-31;19,178629;
2008-08-31;21,656452;
2008-09-30;24,95;
2008-10-31;27,088844;
2008-11-30;25,362162;
2008-12-31;23,857317;
2009-01-31;24,177349;
2009-02-28;24,528125;
2009-03-31;24,941129;
2009-04-30;23,517639;
2009-05-31;21,353629;
2009-06-30;20,820972;
2009-07-31;20,889382;
2009-08-31;23,073521;
2009-09-30;26,314861;
2009-10-31;26,001868;
2009-11-30;24,97375;
2009-12-31;24,160618;
2010-01-31;24,682356;
2010-02-28;25,287351;
2010-03-31;24,396236;
2010-04-30;22,984444;
2010-05-31;23,33414;
2010-06-30;21,388813;
2010-07-31;21,320027;
2010-08-31;20,946298;
2010-09-30;24,096944;
2010-10-31;26,938844;
2010-11-30;24,815417;
2010-12-31;24,324462;
2011-01-31;23,831843;
2011-02-28;24,372917;
2011-03-31;23,686067;
2011-04-30;22,994167;
2011-05-31;20,843414;
2011-06-30;20,501667;
2011-07-31;20,087903;
2011-08-31;22,42164;
2011-09-30;23,043472;
2011-10-31;25,3919;
2011-11-30;23,327361;
2011-12-31;23,65121;
2012-01-31;23,680511;
2012-02-29;23,738937;
2012-03-31;24,397177;
2012-04-30;24,374444;
2012-05-31;23,277626;
2012-06-30;null;
2012-07-31;null;
2012-08-31;22,089167;
2012-09-30;25,095417;
2012-10-31;27,420968;
2012-11-30;24,605278;
2012-12-31;25,749462;
2013-01-31;24,989785;
2013-02-28;25,035417;
2013-03-31;25,810632;
2013-04-30;23,489861;
2013-05-31;22,703629;
2013-06-30;22,257222;
2013-07-31;21,926344;
2013-08-31;22,771505;
2013-09-30;26,189445;
2013-10-31;26,140188;
2013-11-30;25,564167;
2013-12-31;24,146102;
2014-01-31;24,831989;
2014-02-28;25,253274;
2014-03-31;25,214516;
2014-04-30;24,709306;
2014-05-31;24,05;
2014-06-30;22,658333;
2014-07-31;22,381855;
2014-08-31;22,929973;
2014-09-30;26,018333;
2014-10-31;26,98293;
2014-11-30;null;
2014-12-31;24,500543;
2015-01-31;26,350556;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;null;
2015-06-30;22,401623;
2015-07-31;22,23414;
2015-08-31;23,258065;
2015-09-30;27,284722;
2015-10-31;28,876923;
2015-11-30;28,74875;
2015-12-31;28,592349;
2016-01-31;24,962366;
2016-02-29;25,713481;
2016-03-31;25,927419;
2016-04-30;25,520278;
2016-05-31;null;
2016-06-30;null;
2016-07-31;22,171827;
2016-08-31;24,558459;
2016-09-30;26,259354;
2016-10-31;28,304764;
2016-11-30;26,907395;
2016-12-31;24,987105;
2017-01-31;null;
2017-02-28;null;
2017-03-31;25,738114;
2017-04-30;25,199016;
2017-05-31;24,864944;
2017-06-30;22,924138;
2017-07-31;21,357661;
2017-08-31;22,660843;
2017-09-30;24,721797;
2017-10-31;28,134352;
2017-11-30;25,558781;
2017-12-31;24,996425;
2018-01-31;25,752121;
2018-02-28;24,317184;
2018-03-31;24,188737;
2018-04-30;23,094553;
2018-05-31;23,104755;
2018-06-30;21,129075;
2018-07-31;20,342742;
2018-08-31;24,005779;
2018-09-30;26,064414;
2018-10-31;28,118128;
2018-11-30;24,553441;
2018-12-31;23,669244;
2019-01-31;25,4741;
2019-02-28;26,318634;
2019-03-31;25,723457;
2019-04-30;24,530972;
2019-05-31;23,809946;
2019-06-30;22,023472;
2019-07-31;21,530242;
2019-08-31;23,486842;
2019-09-30;25,767639;
2019-10-31;27,42628;
2019-11-30;27,727083;
2019-12-31;26,900882;
2020-01-31;25,07448;
2020-02-29;25,32157;
2020-03-31;24,189607;
2020-04-30;23,538056;
2020-05-31;21,443548;
2020-06-30;20,097222;
2020-07-31;19,609812;
2020-08-31;22,728629;
2020-09-30;24,8575;
2020-10-31;26,854184;
2020-11-30;24,186556;
2020-12-31;24,465188;
2021-01-31;25,627554;
2021-02-28;24,662202;
2021-03-31;23,731855;
2021-04-30;24,495694;
2021-05-31;22,317473;
2021-06-30;21,823611;
2021-07-31;21,141667;
2021-08-31;22,421371;
2021-09-30;26,006806;
2021-10-31;27,354032;
2021-11-30;24,249046;
2021-12-31;23,724537;
2022-01-31;24,18861;
2022-02-28;24,404044;
2022-03-31;24,459206;
2022-04-30;24,47875;
2022-05-31;21,63414;
2022-06-30;20,274387;
2022-07-31;20,88739;
2022-08-31;22,652912;
2022-09-30;25,101861;
2022-10-31;27,79676;
2022-11-30;24,094082;
2022-12-31;24,10903;
2023-01-31;24,457923;
2023-02-28;null;
2023-03-31;null;
2023-04-30;null;
2023-05-31;null;
2023-06-30;21,952814;
2023-07-31;22,078226;
2023-08-31;24,136425;
2023-09-30;26,539126;
2023-10-31;null;
2023-11-30;null;

