Nome: TEOFILO OTONI
Codigo Estacao: A527
Latitude: -17.89284
Longitude: -41.515423
Altitude: 467.17
Situacao: Operante
Data Inicial: 2006-08-24
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-08-31;null;
2006-09-30;20,930449;
2006-10-31;22,417608;
2006-11-30;22,579179;
2006-12-31;23,657539;
2007-01-31;25,399597;
2007-02-28;23,718006;
2007-03-31;24,637611;
2007-04-30;23,456111;
2007-05-31;21,027805;
2007-06-30;19,875694;
2007-07-31;20,591023;
2007-08-31;20,29273;
2007-09-30;21,24727;
2007-10-31;24,314599;
2007-11-30;25,066667;
2007-12-31;24,881897;
2008-01-31;24,087158;
2008-02-29;24,544397;
2008-03-31;24,237366;
2008-04-30;24,428056;
2008-05-31;21,753517;
2008-06-30;20,851957;
2008-07-31;19,519355;
2008-08-31;21,60457;
2008-09-30;21,868038;
2008-10-31;24,826479;
2008-11-30;23,588482;
2008-12-31;23,540873;
2009-01-31;24,410513;
2009-02-28;25,651637;
2009-03-31;25,632392;
2009-04-30;23,176806;
2009-05-31;21,041935;
2009-06-30;20,359028;
2009-07-31;20,452016;
2009-08-31;20,95121;
2009-09-30;24,002639;
2009-10-31;24,07956;
2009-11-30;24,888056;
2009-12-31;24,934812;
2010-01-31;26,298094;
2010-02-28;26,09628;
2010-03-31;24,930242;
2010-04-30;23,169861;
2010-05-31;21,882527;
2010-06-30;19,400694;
2010-07-31;19,841667;
2010-08-31;19,994612;
2010-09-30;21,905;
2010-10-31;22,942473;
2010-11-30;23,126389;
2010-12-31;24,93535;
2011-01-31;24,785753;
2011-02-28;25,517892;
2011-03-31;24,229;
2011-04-30;22,885417;
2011-05-31;20,932433;
2011-06-30;20,579028;
2011-07-31;19,891532;
2011-08-31;21,444758;
2011-09-30;20,886111;
2011-10-31;22,149866;
2011-11-30;21,437222;
2011-12-31;23,49328;
2012-01-31;23,88414;
2012-02-29;24,322414;
2012-03-31;24,653091;
2012-04-30;24,411111;
2012-05-31;21,19408;
2012-06-30;21,579348;
2012-07-31;20,473656;
2012-08-31;19,888611;
2012-09-30;22,07;
2012-10-31;23,738844;
2012-11-30;22,939167;
2012-12-31;26,250806;
2013-01-31;25,067204;
2013-02-28;25,470238;
2013-03-31;25,121983;
2013-04-30;22,712917;
2013-05-31;21,663844;
2013-06-30;21,033674;
2013-07-31;20,887634;
2013-08-31;21,225941;
2013-09-30;22,102222;
2013-10-31;22,154973;
2013-11-30;23,638611;
2013-12-31;24,202419;
2014-01-31;24,791935;
2014-02-28;24,678571;
2014-03-31;24,433871;
2014-04-30;23,800694;
2014-05-31;22,047446;
2014-06-30;20,780833;
2014-07-31;20,123118;
2014-08-31;20,569489;
2014-09-30;22,6625;
2014-10-31;23,401613;
2014-11-30;23,784306;
2014-12-31;24,234677;
2015-01-31;26,367608;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;21,819624;
2015-06-30;20,957639;
2015-07-31;20,947043;
2015-08-31;20,789113;
2015-09-30;24,8125;
2015-10-31;25,391129;
2015-11-30;26,858055;
2015-12-31;26,652601;
2016-01-31;25,325219;
2016-02-29;null;
2016-03-31;26,096552;
2016-04-30;25,283611;
2016-05-31;22,993817;
2016-06-30;20,936528;
2016-07-31;20,510618;
2016-08-31;21,787903;
2016-09-30;23,160833;
2016-10-31;24,038441;
2016-11-30;23,6075;
2016-12-31;24,332796;
2017-01-31;25,844086;
2017-02-28;24,193006;
2017-03-31;25,092667;
2017-04-30;null;
2017-05-31;null;
2017-06-30;null;
2017-07-31;18,917083;
2017-08-31;20,105376;
2017-09-30;21,075139;
2017-10-31;24,319624;
2017-11-30;23,209167;
2017-12-31;23,872715;
2018-01-31;25,474059;
2018-02-28;24,412946;
2018-03-31;25,254813;
2018-04-30;21,835886;
2018-05-31;null;
2018-06-30;null;
2018-07-31;20,420833;
2018-08-31;21,834543;
2018-09-30;23,355833;
2018-10-31;24,070833;
2018-11-30;23,645278;
2018-12-31;24,190323;
2019-01-31;25,786022;
2019-02-28;26,613542;
2019-03-31;25,784946;
2019-04-30;25,094167;
2019-05-31;23,310887;
2019-06-30;21,024722;
2019-07-31;19,966532;
2019-08-31;20,559005;
2019-09-30;22,700417;
2019-10-31;24,348253;
2019-11-30;24,946111;
2019-12-31;24,77379;
2020-01-31;25,457124;
2020-02-29;25,751868;
2020-03-31;23,393011;
2020-04-30;22,871111;
2020-05-31;20,866532;
2020-06-30;20,115755;
2020-07-31;19,863979;
2020-08-31;20,058737;
2020-09-30;23,172639;
2020-10-31;24,076479;
2020-11-30;22,868409;
2020-12-31;24,967546;
2021-01-31;25,299462;
2021-02-28;24,267857;
2021-03-31;24,285081;
2021-04-30;22,89401;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;22,559861;
2021-12-31;23,180107;
2022-01-31;25,150403;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;20,016806;
2022-07-31;20,538172;
2022-08-31;21,072446;
2022-09-30;22,082222;
2022-10-31;24,789516;
2022-11-30;22,777639;
2022-12-31;23,011425;
2023-01-31;24,354301;
2023-02-28;25,948065;
2023-03-31;25,50793;
2023-04-30;23,747083;
2023-05-31;21,515188;
2023-06-30;20,499306;
2023-07-31;20,120968;
2023-08-31;22,039247;
2023-09-30;23,138611;
2023-10-31;25,198118;
2023-11-30;27,203472;

