Nome: TRES MARIAS
Codigo Estacao: A528
Latitude: -18.200855
Longitude: -45.459836
Altitude: 931.01
Situacao: Operante
Data Inicial: 2006-08-24
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-08-31;null;
2006-09-30;21,814179;
2006-10-31;21,417742;
2006-11-30;21,454813;
2006-12-31;21,803034;
2007-01-31;22,392339;
2007-02-28;22,231056;
2007-03-31;23,659677;
2007-04-30;22,270694;
2007-05-31;20,3349;
2007-06-30;19,871582;
2007-07-31;20,104307;
2007-08-31;20,636606;
2007-09-30;22,9593;
2007-10-31;24,631867;
2007-11-30;23,572115;
2007-12-31;23,18629;
2008-01-31;22,487097;
2008-02-29;23,092816;
2008-03-31;21,989919;
2008-04-30;22,802639;
2008-05-31;20,468496;
2008-06-30;20,113169;
2008-07-31;19,047043;
2008-08-31;21,870027;
2008-09-30;22,758889;
2008-10-31;25,038038;
2008-11-30;22,314046;
2008-12-31;21,958871;
2009-01-31;22,762307;
2009-02-28;23,36994;
2009-03-31;23,323387;
2009-04-30;21,354444;
2009-05-31;20,397312;
2009-06-30;18,928569;
2009-07-31;20,912231;
2009-08-31;20,617204;
2009-09-30;23,51375;
2009-10-31;22,513506;
2009-11-30;23,862222;
2009-12-31;22,167204;
2010-01-31;23,710655;
2010-02-28;24,340625;
2010-03-31;23,118683;
2010-04-30;21,705417;
2010-05-31;20,774328;
2010-06-30;18,395417;
2010-07-31;19,568548;
2010-08-31;20,560821;
2010-09-30;22,884583;
2010-10-31;23,285349;
2010-11-30;21,69;
2010-12-31;23,403495;
2011-01-31;22,924731;
2011-02-28;24,440327;
2011-03-31;21,809649;
2011-04-30;21,631667;
2011-05-31;20,179167;
2011-06-30;19,090417;
2011-07-31;19,765726;
2011-08-31;22,640208;
2011-09-30;22,92809;
2011-10-31;21,504032;
2011-11-30;21,136389;
2011-12-31;21,308602;
2012-01-31;21,683602;
2012-02-29;23,023707;
2012-03-31;22,625807;
2012-04-30;22,562222;
2012-05-31;19,414247;
2012-06-30;20,509306;
2012-07-31;19,898925;
2012-08-31;19,464722;
2012-09-30;23,208611;
2012-10-31;24,677688;
2012-11-30;22,23125;
2012-12-31;24,744624;
2013-01-31;22,399328;
2013-02-28;23,771875;
2013-03-31;22,927299;
