Nome: PASSA QUATRO
Codigo Estacao: A529
Latitude: -22.39583333
Longitude: -44.96194444
Altitude: 1017.1
Situacao: Operante
Data Inicial: 2007-05-29
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-05-31;null;
2007-06-30;15,946196;
2007-07-31;15,115124;
2007-08-31;16,809198;
2007-09-30;19,050695;
2007-10-31;20,677016;
2007-11-30;null;
2007-12-31;null;
2008-01-31;null;
2008-02-29;null;
2008-03-31;null;
2008-04-30;18,943056;
2008-05-31;15,975694;
2008-06-30;15,222482;
2008-07-31;14,593011;
2008-08-31;17,230511;
2008-09-30;16,924445;
2008-10-31;19,475134;
2008-11-30;18,8725;
2008-12-31;19,493683;
2009-01-31;20,078518;
2009-02-28;20,954018;
2009-03-31;21,094624;
2009-04-30;18,777639;
2009-05-31;16,596909;
2009-06-30;14,2825;
2009-07-31;15,84879;
2009-08-31;16,233199;
2009-09-30;18,776111;
2009-10-31;19,381897;
2009-11-30;21,686806;
2009-12-31;20,447312;
2010-01-31;21,480556;
2010-02-28;21,406697;
2010-03-31;20,606855;
2010-04-30;18,688056;
2010-05-31;16,769489;
2010-06-30;14,398194;
2010-07-31;15,946909;
2010-08-31;16,007661;
2010-09-30;18,285417;
2010-10-31;18,549866;
2010-11-30;19,504028;
2010-12-31;21,388575;
2011-01-31;21,306183;
2011-02-28;21,787054;
2011-03-31;20,564838;
2011-04-30;19,596111;
2011-05-31;16,280731;
2011-06-30;14,422917;
2011-07-31;15,650269;
2011-08-31;17,686022;
2011-09-30;18,073472;
2011-10-31;19,368548;
2011-11-30;18,577592;
2011-12-31;null;
2012-01-31;null;
2012-02-29;null;
2012-03-31;19,957399;
2012-04-30;19,450278;
2012-05-31;15,874194;
2012-06-30;16,215;
2012-07-31;15,236022;
2012-08-31;16,155278;
2012-09-30;18,428472;
2012-10-31;21,058736;
2012-11-30;19,742222;
2012-12-31;22,107661;
2013-01-31;20,178091;
2013-02-28;21,276637;
2013-03-31;20,375287;
2013-04-30;18,215556;
2013-05-31;16,524861;
2013-06-30;16,526604;
2013-07-31;15,118548;
2013-08-31;16,379704;
2013-09-30;18,137639;
2013-10-31;18,336425;
2013-11-30;19,754722;
2013-12-31;21,128763;
2014-01-31;22,568011;
2014-02-28;22,663393;
2014-03-31;21,163306;
2014-04-30;19,559861;
2014-05-31;17,043548;
2014-06-30;16,654583;
2014-07-31;15,410081;
2014-08-31;16,686828;
2014-09-30;19,163333;
2014-10-31;20,182661;
2014-11-30;20,570833;
2014-12-31;21,493548;
2015-01-31;22,792876;
2015-02-28;21,128571;
2015-03-31;20,293817;
2015-04-30;19,517361;
2015-05-31;16,68078;
2015-06-30;15,923889;
2015-07-31;16,536694;
2015-08-31;17,26828;
2015-09-30;19,317144;
2015-10-31;21,404167;
2015-11-30;21,411494;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;null;
2016-04-30;20,444298;
2016-05-31;17,132527;
2016-06-30;14,911945;
2016-07-31;16,082527;
2016-08-31;17,069086;
2016-09-30;19,021667;
2016-10-31;19,775538;
2016-11-30;19,786389;
2016-12-31;21,50793;
2017-01-31;21,769624;
2017-02-28;21,986607;
2017-03-31;20,543817;
2017-04-30;19,124861;
2017-05-31;17,143548;
2017-06-30;16,161389;
2017-07-31;14,306855;
2017-08-31;16,336905;
2017-09-30;19,1775;
2017-10-31;20,480376;
2017-11-30;19,625417;
2017-12-31;20,978898;
2018-01-31;20,766667;
2018-02-28;20,888807;
2018-03-31;21,641714;
2018-04-30;19,275278;
2018-05-31;17,027151;
2018-06-30;16,768116;
2018-07-31;15,891263;
2018-08-31;16,194892;
2018-09-30;18,789028;
2018-10-31;19,584677;
2018-11-30;19,840139;
2018-12-31;21,243011;
2019-01-31;22,790726;
2019-02-28;21,188095;
2019-03-31;20,924059;
2019-04-30;20,535;
2019-05-31;18,558468;
2019-06-30;16,529861;
2019-07-31;15,138441;
2019-08-31;16,14879;
2019-09-30;19,386528;
2019-10-31;20,71371;
2019-11-30;20,4775;
2019-12-31;20,914247;
2020-01-31;21,31129;
2020-02-29;20,690948;
2020-03-31;19,976245;
2020-04-30;18,630417;
2020-05-31;15,700941;
2020-06-30;17,018056;
2020-07-31;16,610887;
2020-08-31;16,490054;
2020-09-30;20,885417;
2020-10-31;20,616667;
2020-11-30;19,774445;
2020-12-31;20,879704;
2021-01-31;22,143817;
2021-02-28;20,722768;
2021-03-31;21,150403;
2021-04-30;18,652361;
2021-05-31;16,99543;
2021-06-30;15,994861;
2021-07-31;14,12957;
2021-08-31;16,992876;
2021-09-30;20,928195;
2021-10-31;18,826478;
2021-11-30;19,515972;
2021-12-31;19,946774;
2022-01-31;20,922177;
2022-02-28;21,188839;
2022-03-31;21,8125;
2022-04-30;19,990556;
2022-05-31;16,139919;
2022-06-30;15,811667;
2022-07-31;16,696102;
2022-08-31;16,281183;
2022-09-30;17,299861;
2022-10-31;20,107649;
2022-11-30;18,407639;
2022-12-31;19,727285;
2023-01-31;20,499194;
2023-02-28;21,320536;
2023-03-31;21,14664;
2023-04-30;19,154167;
2023-05-31;17,130165;
2023-06-30;15,437612;
2023-07-31;15,895161;
2023-08-31;18,04879;
2023-09-30;21,343194;
2023-10-31;21,434946;
2023-11-30;22,018055;

