Nome: CALDAS
Codigo Estacao: A530
Latitude: -21.918066
Longitude: -46.382996
Altitude: 1077.34
Situacao: Operante
Data Inicial: 2006-11-27
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-11-30;null;
2006-12-31;20,64749;
2007-01-31;20,494624;
2007-02-28;20,614881;
2007-03-31;20,49418;
2007-04-30;19,120556;
2007-05-31;14,811896;
2007-06-30;13,467234;
2007-07-31;13,28161;
2007-08-31;15,070658;
2007-09-30;18,259167;
2007-10-31;20,557848;
2007-11-30;19,70434;
2007-12-31;20,705745;
2008-01-31;null;
2008-02-29;null;
2008-03-31;19,144032;
2008-04-30;18,347639;
2008-05-31;14,625862;
2008-06-30;14,463889;
2008-07-31;12,415726;
2008-08-31;16,19543;
2008-09-30;16,665972;
2008-10-31;19,511559;
2008-11-30;19,29625;
2008-12-31;19,730914;
2009-01-31;20,142204;
2009-02-28;20,576339;
2009-03-31;20,606183;
2009-04-30;17,654583;
2009-05-31;15,69879;
2009-06-30;12,694444;
2009-07-31;14,725672;
2009-08-31;15,034543;
2009-09-30;18,3025;
2009-10-31;19,378305;
2009-11-30;21,385556;
2009-12-31;20,581855;
2010-01-31;20,993072;
2010-02-28;21,075595;
2010-03-31;20,572849;
2010-04-30;17,882639;
2010-05-31;14,851527;
2010-06-30;12,590278;
2010-07-31;14,175538;
2010-08-31;14,38629;
2010-09-30;17,757222;
2010-10-31;18,441129;
2010-11-30;19,390278;
2010-12-31;21,16586;
2011-01-31;21,047984;
2011-02-28;21,172024;
2011-03-31;20,042235;
2011-04-30;18,303333;
2011-05-31;14,477339;
2011-06-30;12,034028;
2011-07-31;14,169355;
2011-08-31;16,09543;
2011-09-30;17,193611;
2011-10-31;19,122639;
2011-11-30;18,409028;
2011-12-31;20,077016;
2012-01-31;19,283839;
2012-02-29;20,762669;
2012-03-31;19,757228;
2012-04-30;18,801667;
2012-05-31;14,425941;
2012-06-30;15,013496;
2012-07-31;13,429435;
2012-08-31;14,3125;
2012-09-30;17,399722;
2012-10-31;20,298522;
2012-11-30;20,1;
2012-12-31;21,490323;
2013-01-31;20,241667;
2013-02-28;20,7875;
2013-03-31;20,018965;
2013-04-30;17,263889;
2013-05-31;15,379445;
2013-06-30;14,97221;
2013-07-31;13,62216;
2013-08-31;14,450941;
2013-09-30;16,904028;
2013-10-31;18,288038;
2013-11-30;19,332083;
2013-12-31;20,75457;
2014-01-31;21,669624;
2014-02-28;21,349851;
2014-03-31;20,482527;
2014-04-30;18,185417;
2014-05-31;14,909274;
2014-06-30;14,18;
2014-07-31;13,447715;
2014-08-31;14,954301;
2014-09-30;18,014807;
2014-10-31;19,511425;
2014-11-30;20,132917;
2014-12-31;20,54543;
2015-01-31;22,105511;
2015-02-28;20,412054;
2015-03-31;19,67164;
2015-04-30;18,66125;
2015-05-31;15,519758;
2015-06-30;14,515833;
2015-07-31;15,055645;
2015-08-31;15,052151;
2015-09-30;18,760833;
2015-10-31;21,09328;
2015-11-30;21,010833;
2015-12-31;20,974194;
2016-01-31;21,093952;
2016-02-29;21,426293;
2016-03-31;20,571909;
2016-04-30;19,133472;
2016-05-31;15,611528;
2016-06-30;11,86627;
2016-07-31;13,351042;
2016-08-31;15,218322;
2016-09-30;18,299722;
2016-10-31;19,569253;
2016-11-30;19,48125;
2016-12-31;20,755107;
2017-01-31;20,832258;
2017-02-28;20,923065;
2017-03-31;19,966263;
2017-04-30;18,495278;
2017-05-31;15,972177;
2017-06-30;14,078333;
2017-07-31;12,510081;
2017-08-31;15,08871;
2017-09-30;17,163056;
2017-10-31;19,620161;
2017-11-30;19,586389;
2017-12-31;20,781183;
2018-01-31;20,839516;
2018-02-28;20,195426;
2018-03-31;20,934543;
2018-04-30;17,855972;
2018-05-31;14,970296;
2018-06-30;15,463272;
2018-07-31;13,361694;
2018-08-31;15,125403;
2018-09-30;17,704583;
2018-10-31;20,120161;
2018-11-30;19,673195;
2018-12-31;20,662097;
2019-01-31;21,416532;
2019-02-28;20,943317;
2019-03-31;20,326479;
2019-04-30;19,295139;
2019-05-31;16,893683;
2019-06-30;14,001111;
2019-07-31;12,346649;
2019-08-31;15,209061;
2019-09-30;18,929028;
2019-10-31;20,320968;
2019-11-30;20,7525;
2019-12-31;20,789113;
2020-01-31;21,123253;
2020-02-29;20,602443;
2020-03-31;19,479704;
2020-04-30;17,416806;
2020-05-31;13,870833;
2020-06-30;15,091945;
2020-07-31;14,395161;
2020-08-31;14,731855;
2020-09-30;19,095694;
2020-10-31;20,56586;
2020-11-30;19,841528;
2020-12-31;20,686021;
2021-01-31;21,38629;
2021-02-28;20,44628;
2021-03-31;20,504973;
2021-04-30;17,025556;
2021-05-31;15,292608;
2021-06-30;14,027917;
2021-07-31;11,490227;
2021-08-31;15,82836;
2021-09-30;20,519583;
2021-10-31;19,192876;
2021-11-30;20,015972;
2021-12-31;19,84422;
2022-01-31;20,654436;
2022-02-28;20,789177;
2022-03-31;20,821102;
2022-04-30;18,363472;
2022-05-31;13,861425;
2022-06-30;13,90273;
2022-07-31;13,844892;
2022-08-31;14,939706;
2022-09-30;18,132;
2022-10-31;19,458468;
2022-11-30;18,376111;
2022-12-31;19,94422;
2023-01-31;20,227016;
2023-02-28;20,690327;
2023-03-31;20,17957;
2023-04-30;18,152361;
2023-05-31;14,763172;
2023-06-30;12,849028;
2023-07-31;13,834946;
2023-08-31;16,568817;
2023-09-30;20,160833;
2023-10-31;21,432796;
2023-11-30;21,57625;

