Nome: MARIA DA FE
Codigo Estacao: A531
Latitude: -22.31444444
Longitude: -45.37305554
Altitude: 1281.43
Situacao: Operante
Data Inicial: 2006-11-30
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-11-30;null;
2006-12-31;19,473062;
2007-01-31;18,992558;
2007-02-28;19,480354;
2007-03-31;null;
2007-04-30;null;
2007-05-31;null;
2007-06-30;12,629004;
2007-07-31;12,563331;
2007-08-31;14,228027;
2007-09-30;17,331667;
2007-10-31;19,007626;
2007-11-30;18,120778;
2007-12-31;19,276747;
2008-01-31;18,632258;
2008-02-29;18,87128;
2008-03-31;18,044624;
2008-04-30;17,112639;
2008-05-31;13,318092;
2008-06-30;13,452381;
2008-07-31;11,577419;
2008-08-31;15,029167;
2008-09-30;15,060139;
2008-10-31;18,290995;
2008-11-30;17,443744;
2008-12-31;18,27164;
2009-01-31;18,731592;
2009-02-28;19,416816;
2009-03-31;19,198387;
2009-04-30;16,232639;
2009-05-31;14,383649;
2009-06-30;11,58375;
2009-07-31;13,977016;
2009-08-31;14,396371;
2009-09-30;17,09;
2009-10-31;18,159914;
2009-11-30;19,89;
2009-12-31;19,356855;
2010-01-31;19,975833;
2010-02-28;20,142857;
2010-03-31;19,090188;
2010-04-30;16,607778;
2010-05-31;14,011022;
2010-06-30;11,766667;
2010-07-31;13,63871;
2010-08-31;13,551747;
2010-09-30;16,797778;
2010-10-31;17,111425;
2010-11-30;18,163056;
2010-12-31;19,880376;
2011-01-31;19,674866;
2011-02-28;19,845982;
2011-03-31;18,775403;
2011-04-30;17,171667;
2011-05-31;13,378702;
2011-06-30;11,358333;
2011-07-31;13,283737;
2011-08-31;15,374328;
2011-09-30;16,024861;
2011-10-31;17,495968;
2011-11-30;16,965556;
2011-12-31;18,643011;
2012-01-31;18,195161;
2012-02-29;19,453736;
2012-03-31;18,323644;
2012-04-30;17,491389;
2012-05-31;13,401075;
2012-06-30;14,126667;
2012-07-31;12,365591;
2012-08-31;13,337639;
2012-09-30;16,22875;
2012-10-31;19,207661;
2012-11-30;18,305417;
2012-12-31;20,347715;
2013-01-31;18,860712;
2013-02-28;19,50744;
2013-03-31;18,747845;
2013-04-30;15,972083;
2013-05-31;14,045278;
2013-06-30;14,132727;
2013-07-31;12,630329;
2013-08-31;13,409946;
2013-09-30;15,992361;
2013-10-31;16,761962;
2013-11-30;18,119306;
2013-12-31;19,330645;
2014-01-31;20,106586;
2014-02-28;20,502679;
2014-03-31;19,34879;
2014-04-30;16,903611;
2014-05-31;13,86191;
2014-06-30;13,382778;
2014-07-31;12,497177;
2014-08-31;13,870027;
2014-09-30;16,750972;
2014-10-31;18,254301;
2014-11-30;18,774028;
2014-12-31;19,516398;
2015-01-31;20,549591;
2015-02-28;19,258333;
2015-03-31;18,444086;
2015-04-30;17,260423;
2015-05-31;14,310484;
2015-06-30;13,463194;
2015-07-31;14,105645;
2015-08-31;14,203091;
2015-09-30;17,449861;
2015-10-31;19,870564;
2015-11-30;19,912083;
2015-12-31;20,013844;
2016-01-31;19,735753;
2016-02-29;20,048669;
2016-03-31;19,236694;
2016-04-30;17,95849;
2016-05-31;14,426478;
2016-06-30;12,147222;
2016-07-31;13,086021;
2016-08-31;14,385484;
2016-09-30;17,034028;
2016-10-31;18,175941;
2016-11-30;18,253472;
2016-12-31;19,588978;
2017-01-31;19,64664;
2017-02-28;19,950298;
2017-03-31;18,302688;
2017-04-30;17,040695;
2017-05-31;14,583468;
2017-06-30;13,090972;
2017-07-31;10,940054;
2017-08-31;14,090054;
2017-09-30;16,799722;
2017-10-31;18,578629;
2017-11-30;18,052222;
2017-12-31;19,181452;
2018-01-31;19,349059;
2018-02-28;18,947024;
2018-03-31;19,781183;
2018-04-30;16,59892;
2018-05-31;13,805891;
2018-06-30;13,817637;
2018-07-31;12,516801;
2018-08-31;13,754167;
2018-09-30;16,423611;
2018-10-31;18,49491;
2018-11-30;18,492917;
2018-12-31;19,511425;
2019-01-31;20,464919;
2019-02-28;19,623661;
2019-03-31;19,152957;
2019-04-30;17,934305;
2019-05-31;15,56371;
2019-06-30;13,015;
2019-07-31;11,791935;
2019-08-31;13,703495;
2019-09-30;17,313611;
2019-10-31;18,768414;
2019-11-30;19,122639;
2019-12-31;19,350538;
2020-01-31;19,712634;
2020-02-29;19,228736;
2020-03-31;17,819086;
2020-04-30;15,975417;
2020-05-31;12,665188;
2020-06-30;14,169028;
2020-07-31;13,30672;
2020-08-31;13,736962;
2020-09-30;18,230556;
2020-10-31;18,835484;
2020-11-30;18,158472;
2020-12-31;19,295161;
2021-01-31;20,106586;
2021-02-28;18,715774;
2021-03-31;18,839382;
2021-04-30;15,135139;
2021-05-31;13,794489;
2021-06-30;12,648195;
2021-07-31;10,156389;
2021-08-31;14,408871;
2021-09-30;18,565;
2021-10-31;17,651747;
2021-11-30;17,894583;
2021-12-31;18,20672;
2022-01-31;19,323656;
2022-02-28;19,207711;
2022-03-31;19,566801;
2022-04-30;17,038194;
2022-05-31;12,638038;
2022-06-30;12,583056;
2022-07-31;12,893952;
2022-08-31;13,981855;
2022-09-30;15,890248;
2022-10-31;18,207258;
2022-11-30;16,703611;
2022-12-31;18,347446;
2023-01-31;18,889247;
2023-02-28;19,379316;
2023-03-31;18,961425;
2023-04-30;16,685694;
2023-05-31;13,391264;
2023-06-30;11,880694;
2023-07-31;12,95121;
2023-08-31;15,113575;
2023-09-30;18,617083;
2023-10-31;19,926613;
2023-11-30;20,45625;

