Nome: GOVERNADOR VALADARES
Codigo Estacao: A532
Latitude: -18.830354
Longitude: -41.977007
Altitude: 198.24
Situacao: Operante
Data Inicial: 2007-05-26
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-05-31;null;
2007-06-30;20,542187;
2007-07-31;21,133956;
2007-08-31;21,681522;
2007-09-30;23,023333;
2007-10-31;26,026105;
2007-11-30;26,809455;
2007-12-31;26,354435;
2008-01-31;25,275403;
2008-02-29;25,292385;
2008-03-31;25,158468;
2008-04-30;24,920972;
2008-05-31;21,635846;
2008-06-30;21,280018;
2008-07-31;19,917608;
2008-08-31;23,123656;
2008-09-30;23,513333;
2008-10-31;26,237366;
2008-11-30;24,64102;
2008-12-31;24,417473;
2009-01-31;24,841129;
2009-02-28;26,248066;
2009-03-31;26,155914;
2009-04-30;23,778333;
2009-05-31;21,552151;
2009-06-30;21,140972;
2009-07-31;21,008602;
2009-08-31;22,168011;
2009-09-30;24,875555;
2009-10-31;25,205891;
2009-11-30;26,153333;
2009-12-31;25,401344;
2010-01-31;27,32478;
2010-02-28;27,53497;
2010-03-31;26,052016;
2010-04-30;24,076528;
2010-05-31;22,25;
2010-06-30;19,403611;
2010-07-31;21,083602;
2010-08-31;21,247971;
2010-09-30;23,513333;
2010-10-31;24,37379;
2010-11-30;24,802462;
2010-12-31;25,72521;
2011-01-31;25,957527;
2011-02-28;26,943006;
2011-03-31;24,7973;
2011-04-30;23,940972;
2011-05-31;21,262097;
2011-06-30;20,51625;
2011-07-31;20,291801;
2011-08-31;22,911425;
2011-09-30;22,757083;
2011-10-31;23,55336;
2011-11-30;22,815;
2011-12-31;24,274328;
2012-01-31;24,924597;
2012-02-29;26,06408;
2012-03-31;25,740457;
2012-04-30;25,166806;
2012-05-31;21,854839;
2012-06-30;21,65548;
2012-07-31;21,278898;
2012-08-31;21,154722;
2012-09-30;23,738426;
2012-10-31;25,954704;
2012-11-30;24,595972;
2012-12-31;27,463844;
2013-01-31;26,457258;
2013-02-28;26,136012;
2013-03-31;26,168103;
2013-04-30;23,86125;
2013-05-31;22,30457;
2013-06-30;21,471111;
2013-07-31;21,500742;
2013-08-31;21,856586;
2013-09-30;25,209804;
2013-10-31;23,767742;
2013-11-30;25,705821;
2013-12-31;25,875676;
2014-01-31;26,553977;
2014-02-28;26,704924;
2014-03-31;25,992876;
2014-04-30;24,9725;
2014-05-31;22,520161;
2014-06-30;21,551389;
2014-07-31;21,037903;
2014-08-31;21,998438;
2014-09-30;24,310417;
2014-10-31;25,378629;
2014-11-30;null;
2014-12-31;25,671615;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;22,175134;
2015-06-30;21,509722;
2015-07-31;21,61828;
2015-08-31;22,419355;
2015-09-30;26,721944;
2015-10-31;27,650269;
2015-11-30;28,62375;
2015-12-31;27,487594;
2016-01-31;25,969355;
2016-02-29;27,65;
2016-03-31;27,089651;
2016-04-30;26,306667;
2016-05-31;22,600538;
2016-06-30;21,035278;
2016-07-31;21,352419;
2016-08-31;22,964773;
2016-09-30;24,737083;
2016-10-31;25,787366;
2016-11-30;25,167778;
2016-12-31;25,384274;
2017-01-31;26,852957;
2017-02-28;25,512798;
2017-03-31;26,234409;
2017-04-30;25,061981;
2017-05-31;23,060484;
2017-06-30;22,1575;
2017-07-31;19,772984;
2017-08-31;21,329167;
2017-09-30;23,2925;
2017-10-31;26,446102;
2017-11-30;24,358333;
2017-12-31;25,183199;
2018-01-31;26,522177;
2018-02-28;25,73244;
2018-03-31;25,930914;
2018-04-30;23,501136;
2018-05-31;21,694086;
2018-06-30;21,269028;
2018-07-31;20,813307;
2018-08-31;22,731317;
2018-09-30;24,731389;
2018-10-31;26,08078;
2018-11-30;25,0175;
2018-12-31;25,343683;
2019-01-31;27,021774;
2019-02-28;26,973661;
2019-03-31;26,841263;
2019-04-30;26,304028;
2019-05-31;24,349194;
2019-06-30;22,392639;
2019-07-31;21,022715;
2019-08-31;22,509005;
2019-09-30;24,883194;
2019-10-31;26,137097;
2019-11-30;25,850972;
2019-12-31;25,849597;
2020-01-31;26,514732;
2020-02-29;26,248707;
2020-03-31;24,511425;
2020-04-30;23,975278;
2020-05-31;21,372715;
2020-06-30;20,459583;
2020-07-31;20,579436;
2020-08-31;20,815009;
2020-09-30;null;
2020-10-31;null;
2020-11-30;24,576111;
2020-12-31;26,278746;
2021-01-31;26,689113;
2021-02-28;25,589881;
2021-03-31;25,19207;
2021-04-30;23,830972;
2021-05-31;null;
2021-06-30;20,571805;
2021-07-31;null;
2021-08-31;21,60304;
2021-09-30;null;
2021-10-31;24,801974;
2021-11-30;24,040278;
2021-12-31;24,65578;
2022-01-31;26,473521;
2022-02-28;25,534524;
2022-03-31;26,271483;
2022-04-30;null;
2022-05-31;null;
2022-06-30;20,26125;
2022-07-31;21,406586;
2022-08-31;22,008333;
2022-09-30;23,459861;
2022-10-31;26,158064;
2022-11-30;24,399583;
2022-12-31;24,391667;
2023-01-31;25,404301;
2023-02-28;26,822917;
2023-03-31;27,106393;
2023-04-30;24,821944;
2023-05-31;21,907124;
2023-06-30;20,784583;
2023-07-31;20,998478;
2023-08-31;22,339802;
2023-09-30;24,680379;
2023-10-31;27,016129;
2023-11-30;28,25375;

