Nome: GUANHAES
Codigo Estacao: A533
Latitude: -18.78694444
Longitude: -42.94305555
Altitude: 852.68
Situacao: Operante
Data Inicial: 2007-06-01
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-06-30;17,696142;
2007-07-31;17,776478;
2007-08-31;18,072312;
2007-09-30;19,716787;
2007-10-31;22,579599;
2007-11-30;22,890001;
2007-12-31;22,618987;
2008-01-31;21,628705;
2008-02-29;22,199405;
2008-03-31;21,745237;
2008-04-30;21,628472;
2008-05-31;18,171806;
2008-06-30;17,649988;
2008-07-31;16,432781;
2008-08-31;19,005867;
2008-09-30;19,980694;
2008-10-31;22,203495;
2008-11-30;21,106111;
2008-12-31;21,161209;
2009-01-31;22,122306;
2009-02-28;22,618252;
2009-03-31;22,684543;
2009-04-30;20,65997;
2009-05-31;18,667672;
2009-06-30;17,752724;
2009-07-31;18,260982;
2009-08-31;18,411688;
2009-09-30;21,354547;
2009-10-31;21,3992;
2009-11-30;22,804438;
2009-12-31;22,034023;
2010-01-31;23,51808;
2010-02-28;23,800595;
2010-03-31;22,849983;
2010-04-30;20,571976;
2010-05-31;19,365815;
2010-06-30;16,270054;
2010-07-31;17,577372;
2010-08-31;17,648492;
2010-09-30;19,882397;
2010-10-31;21,040188;
2010-11-30;21,195972;
2010-12-31;22,700672;
2011-01-31;22,382258;
2011-02-28;23,069792;
2011-03-31;21,628018;
2011-04-30;20,717301;
2011-05-31;18,151134;
2011-06-30;17,269076;
2011-07-31;17,058935;
2011-08-31;19,46953;
2011-09-30;19,363792;
2011-10-31;19,921237;
2011-11-30;19,612216;
2011-12-31;21,296774;
2012-01-31;21,574264;
2012-02-29;22,184995;
2012-03-31;21,797598;
2012-04-30;21,431709;
2012-05-31;18,464101;
2012-06-30;18,508635;
2012-07-31;17,83047;
2012-08-31;17,38599;
2012-09-30;20,357222;
2012-10-31;22,025941;
2012-11-30;21,212047;
2012-12-31;23,551613;
2013-01-31;22,617608;
2013-02-28;22,542857;
2013-03-31;22,549019;
2013-04-30;20,129985;
2013-05-31;18,730499;
2013-06-30;18,141627;
2013-07-31;18,067753;
2013-08-31;18,653721;
2013-09-30;20,130157;
2013-10-31;20,351005;
2013-11-30;21,975918;
2013-12-31;22,3062;
2014-01-31;22,98362;
2014-02-28;22,857589;
2014-03-31;21,787103;
2014-04-30;21,297736;
2014-05-31;19,024094;
2014-06-30;17,868886;
2014-07-31;17,391181;
2014-08-31;18,398147;
2014-09-30;20,698193;
2014-10-31;21,41025;
2014-11-30;21,440139;
2014-12-31;22,243811;
2015-01-31;24,242105;
2015-02-28;22,65119;
2015-03-31;22,619074;
2015-04-30;20,948563;
2015-05-31;18,564755;
2015-06-30;17,661443;
2015-07-31;17,812644;
2015-08-31;18,505777;
2015-09-30;22,900948;
2015-10-31;23,826613;
2015-11-30;24,501528;
2015-12-31;23,5125;
2016-01-31;22,624065;
2016-02-29;23,99569;
2016-03-31;22,696944;
2016-04-30;22,111564;
2016-05-31;19,462921;
2016-06-30;17,947868;
2016-07-31;18,178761;
2016-08-31;19,419127;
2016-09-30;21,302542;
2016-10-31;22,070296;
2016-11-30;21,447428;
2016-12-31;22,33092;
2017-01-31;23,296079;
2017-02-28;21,865056;
2017-03-31;22,021102;
2017-04-30;20,823587;
2017-05-31;19,003091;
2017-06-30;18,210676;
2017-07-31;16,09618;
2017-08-31;17,841858;
2017-09-30;19,305296;
2017-10-31;22,741725;
2017-11-30;21,223762;
2017-12-31;22,235554;
2018-01-31;23,537816;
2018-02-28;22,415295;
2018-03-31;22,440749;
2018-04-30;20,067159;
2018-05-31;18,419478;
2018-06-30;18,202458;
2018-07-31;17,467719;
2018-08-31;18,908086;
2018-09-30;20,763149;
2018-10-31;22,229387;
2018-11-30;21,553955;
2018-12-31;22,330125;
2019-01-31;23,955639;
2019-02-28;23,526786;
2019-03-31;22,890802;
2019-04-30;22,49474;
2019-05-31;20,780732;
2019-06-30;null;
2019-07-31;null;
2019-08-31;18,710772;
2019-09-30;21,604746;
2019-10-31;22,601257;
2019-11-30;23,027838;
2019-12-31;22,875491;
2020-01-31;23,515591;
2020-02-29;23,007453;
2020-03-31;21,383065;
2020-04-30;20,780501;
2020-05-31;18,414233;
2020-06-30;17,841809;
2020-07-31;17,733966;
2020-08-31;17,85709;
2020-09-30;21,358701;
2020-10-31;22,07953;
2020-11-30;21,288919;
2020-12-31;22,561892;
2021-01-31;22,930131;
2021-02-28;22,119332;
2021-03-31;22,184243;
2021-04-30;20,634221;
2021-05-31;19,344634;
2021-06-30;17,59754;
2021-07-31;16,924371;
2021-08-31;18,00287;
2021-09-30;22,0775;
2021-10-31;21,794004;
2021-11-30;21,367663;
2021-12-31;21,462903;
2022-01-31;22,963605;
2022-02-28;22,080208;
2022-03-31;22,742765;
2022-04-30;21,915121;
2022-05-31;18,863361;
2022-06-30;17,662153;
2022-07-31;17,888731;
2022-08-31;19,1375;
2022-09-30;20,063092;
2022-10-31;22,348656;
2022-11-30;20,993802;
2022-12-31;21,51025;
2023-01-31;21,933602;
2023-02-28;23,362798;
2023-03-31;23,141264;
2023-04-30;21,415972;
2023-05-31;19,002361;
2023-06-30;17,473056;
2023-07-31;18,073001;
2023-08-31;19,525134;
2023-09-30;21,574583;
2023-10-31;23,456855;
2023-11-30;24,67625;

