Nome: AIMORES
Codigo Estacao: A534
Latitude: -19.53277777
Longitude: -41.09083333
Altitude: 287.74
Situacao: Operante
Data Inicial: 2007-08-04
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-08-31;null;
2007-09-30;22,87408;
2007-10-31;25,16205;
2007-11-30;26,41535;
2007-12-31;26,413844;
2008-01-31;25,552554;
2008-02-29;26,255655;
2008-03-31;25,90021;
2008-04-30;26,146667;
2008-05-31;23,322917;
2008-06-30;22,334997;
2008-07-31;21,21922;
2008-08-31;23,353629;
2008-09-30;23,541528;
2008-10-31;25,979301;
2008-11-30;24,440833;
2008-12-31;24,715556;
2009-01-31;25,366994;
2009-02-28;26,960119;
2009-03-31;27,340323;
2009-04-30;24,562222;
2009-05-31;22,658737;
2009-06-30;21,581667;
2009-07-31;22,020833;
2009-08-31;22,702197;
2009-09-30;25,206141;
2009-10-31;25,368238;
2009-11-30;26,417361;
2009-12-31;26,121371;
2010-01-31;27,773333;
2010-02-28;28,049902;
2010-03-31;27,527307;
2010-04-30;null;
2010-05-31;23,251389;
2010-06-30;20,997409;
2010-07-31;21,986688;
2010-08-31;22,259926;
2010-09-30;23,646602;
2010-10-31;24,589285;
2010-11-30;24,58497;
2010-12-31;25,716935;
2011-01-31;26,094892;
2011-02-28;27,093569;
2011-03-31;25,031805;
2011-04-30;24,350833;
2011-05-31;23,545327;
2011-06-30;21,883704;
2011-07-31;21,454189;
2011-08-31;23,383768;
2011-09-30;23,560109;
2011-10-31;23,383731;
2011-11-30;22,837482;
2011-12-31;24,345296;
2012-01-31;25,056855;
2012-02-29;26,320873;
2012-03-31;26,840059;
2012-04-30;null;
2012-05-31;null;
2012-06-30;null;
2012-07-31;null;
2012-08-31;null;
2012-09-30;null;
2012-10-31;null;
2012-11-30;23,523472;
2012-12-31;26,800134;
2013-01-31;25,525672;
2013-02-28;26,132887;
2013-03-31;25,483333;
2013-04-30;23,040972;
2013-05-31;22,257258;
2013-06-30;21,92404;
2013-07-31;21,670968;
2013-08-31;21,812231;
2013-09-30;22,550278;
2013-10-31;22,453898;
2013-11-30;23,82125;
2013-12-31;24,62379;
2014-01-31;25,769624;
2014-02-28;25,450149;
2014-03-31;25,073118;
2014-04-30;24,507639;
2014-05-31;22,755914;
2014-06-30;21,817639;
2014-07-31;20,817827;
2014-08-31;21,598253;
2014-09-30;22,951111;
2014-10-31;23,287231;
2014-11-30;24,394306;
2014-12-31;25,173253;
2015-01-31;27,183766;
2015-02-28;26,044345;
2015-03-31;26,149194;
2015-04-30;24,470417;
2015-05-31;22,110618;
2015-06-30;22,090139;
2015-07-31;22,144489;
2015-08-31;22,111962;
2015-09-30;25,297639;
2015-10-31;25,601344;
2015-11-30;27,157639;
2015-12-31;27,413038;
2016-01-31;25,760753;
2016-02-29;27,979167;
2016-03-31;27,087903;
2016-04-30;26,585972;
2016-05-31;23,649778;
2016-06-30;21,867361;
2016-07-31;21,931317;
2016-08-31;23,007124;
2016-09-30;23,689306;
2016-10-31;24,03712;
2016-11-30;24,119028;
2016-12-31;25,303495;
2017-01-31;26,596774;
2017-02-28;25,336161;
2017-03-31;25,765007;
2017-04-30;24,335972;
2017-05-31;22,339757;
2017-06-30;21,760796;
2017-07-31;19,656586;
2017-08-31;20,781183;
2017-09-30;21,767222;
2017-10-31;24,850538;
2017-11-30;23,542083;
2017-12-31;24,393683;
2018-01-31;26,161156;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;21,886694;
2018-08-31;22,245968;
2018-09-30;23,372083;
2018-10-31;24,40914;
2018-11-30;24,079028;
2018-12-31;24,915417;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;26,179167;
2019-05-31;24,38871;
2019-06-30;22,680972;
2019-07-31;21,825134;
2019-08-31;22,098994;
2019-09-30;23,983173;
2019-10-31;25,015774;
2019-11-30;24,985345;
2019-12-31;24,989773;
2020-01-31;25,895701;
2020-02-29;25,93631;
2020-03-31;25,074262;
2020-04-30;22,651279;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;26,260833;
2021-01-31;25,903495;
2021-02-28;25,026191;
2021-03-31;25,606989;
2021-04-30;23,920278;
2021-05-31;23,291129;
2021-06-30;21,572639;
2021-07-31;21,079839;
2021-08-31;21,900806;
2021-09-30;24,410694;
2021-10-31;23,808871;
2021-11-30;23,226528;
2021-12-31;23,855645;
2022-01-31;26,086021;
2022-02-28;25,316369;
2022-03-31;26,301075;
2022-04-30;25,448194;
2022-05-31;22,854348;
2022-06-30;21,594444;
2022-07-31;21,878986;
2022-08-31;null;
2022-09-30;null;
2022-10-31;24,8;
2022-11-30;23,187;
2022-12-31;23,960484;
2023-01-31;25,097446;
2023-02-28;26,741964;
2023-03-31;26,320833;
2023-04-30;24,856798;
2023-05-31;22,547446;
2023-06-30;22,139583;
2023-07-31;21,684812;
2023-08-31;22,867473;
2023-09-30;23,9575;
2023-10-31;25,495968;
2023-11-30;27,005;

