Nome: FLORESTAL
Codigo Estacao: A535
Latitude: -19.88527777
Longitude: -44.41694443
Altitude: 753.5
Situacao: Operante
Data Inicial: 2008-06-26
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2008-06-30;null;
2008-07-31;14,844489;
2008-08-31;17,984409;
2008-09-30;19,414722;
2008-10-31;22,459543;
2008-11-30;22,169722;
2008-12-31;21,83629;
2009-01-31;22,808211;
2009-02-28;22,999554;
2009-03-31;22,906989;
2009-04-30;20,462361;
2009-05-31;18,164382;
2009-06-30;16,516944;
2009-07-31;17,603226;
2009-08-31;18,123253;
2009-09-30;22,060694;
2009-10-31;22,383046;
2009-11-30;23,595;
2009-12-31;22,254167;
2010-01-31;23,434722;
2010-02-28;23,785863;
2010-03-31;22,875941;
2010-04-30;20,378889;
2010-05-31;17,84543;
2010-06-30;14,969167;
2010-07-31;16,478763;
2010-08-31;16,302548;
2010-09-30;19,616111;
2010-10-31;21,949193;
2010-11-30;21,714028;
2010-12-31;23,399059;
2011-01-31;22,932527;
2011-02-28;23,926339;
2011-03-31;22,307589;
2011-04-30;21,038533;
2011-05-31;17,925134;
2011-06-30;16,196806;
2011-07-31;16,010618;
2011-08-31;18,656621;
2011-09-30;19,501111;
2011-10-31;21,071371;
2011-11-30;20,507222;
2011-12-31;21,745564;
2012-01-31;22,034274;
2012-02-29;22,684052;
2012-03-31;22,17164;
2012-04-30;21,107222;
2012-05-31;17,739113;
2012-06-30;17,794771;
2012-07-31;15,957661;
2012-08-31;16,574958;
2012-09-30;20,329306;
2012-10-31;22,002151;
2012-11-30;22,274861;
2012-12-31;24,240054;
2013-01-31;22,69207;
2013-02-28;23,397321;
2013-03-31;23,036494;
2013-04-30;19,940417;
2013-05-31;18,504839;
2013-06-30;17,797784;
2013-07-31;17,312634;
2013-08-31;17,801882;
2013-09-30;19,987639;
2013-10-31;20,656667;
2013-11-30;21,879028;
2013-12-31;22,817473;
2014-01-31;23,075941;
2014-02-28;22,943155;
2014-03-31;22,117742;
2014-04-30;21,104454;
2014-05-31;17,934812;
2014-06-30;17,095694;
2014-07-31;16,197715;
2014-08-31;17,313575;
2014-09-30;20,676111;
2014-10-31;21,872043;
2014-11-30;22,225972;
2014-12-31;22,814785;
2015-01-31;23,910618;
2015-02-28;22,768006;
2015-03-31;22,552151;
2015-04-30;21,0375;
2015-05-31;18,339113;
2015-06-30;17,041528;
2015-07-31;17,413575;
2015-08-31;18,283737;
2015-09-30;21,724444;
2015-10-31;23,887903;
2015-11-30;24,076944;
2015-12-31;23,8625;
2016-01-31;22,992876;
2016-02-29;24,248563;
2016-03-31;22,867608;
2016-04-30;21,652083;
2016-05-31;19,042473;
2016-06-30;16,723889;
2016-07-31;16,837366;
2016-08-31;18,493817;
2016-09-30;21,439444;
2016-10-31;22,684543;
2016-11-30;22,057639;
2016-12-31;22,688306;
2017-01-31;23,581586;
2017-02-28;22,504167;
2017-03-31;22,334409;
2017-04-30;21,198611;
2017-05-31;18,75914;
2017-06-30;17,125694;
2017-07-31;15,032527;
2017-08-31;18,17715;
2017-09-30;18,94061;
2017-10-31;22,807258;
2017-11-30;21,906111;
2017-12-31;23,101344;
2018-01-31;23,274194;
2018-02-28;22,399256;
2018-03-31;23,060887;
2018-04-30;20,663472;
2018-05-31;17,610484;
2018-06-30;17,488;
2018-07-31;16,481335;
2018-08-31;17,656159;
2018-09-30;20,863194;
2018-10-31;22,873253;
2018-11-30;21,651528;
2018-12-31;22,929301;
2019-01-31;23,968145;
2019-02-28;23,483333;
2019-03-31;22,927823;
2019-04-30;22,052355;
2019-05-31;20,001344;
2019-06-30;16,959861;
2019-07-31;15,350941;
2019-08-31;18,438038;
2019-09-30;21,592361;
2019-10-31;23,100538;
2019-11-30;23,090556;
2019-12-31;22,815188;
2020-01-31;23,819489;
2020-02-29;23,068103;
2020-03-31;22,063038;
2020-04-30;21,024306;
2020-05-31;17,004839;
2020-06-30;17,006806;
2020-07-31;17,23078;
2020-08-31;17,009274;
2020-09-30;20,732361;
2020-10-31;23,041398;
2020-11-30;22,285694;
2020-12-31;23,063441;
2021-01-31;23,248702;
2021-02-28;22,445685;
2021-03-31;22,50914;
2021-04-30;19,932083;
2021-05-31;null;
2021-06-30;null;
2021-07-31;14,923276;
2021-08-31;17,764785;
2021-09-30;22,424922;
2021-10-31;22,313038;
2021-11-30;21,741111;
2021-12-31;21,924462;
2022-01-31;22,655992;
2022-02-28;22,268155;
2022-03-31;22,847715;
2022-04-30;21,530694;
2022-05-31;16,934274;
2022-06-30;16,169306;
2022-07-31;15,885887;
2022-08-31;17,684409;
2022-09-30;20,378056;
2022-10-31;22,216801;
2022-11-30;21,010695;
2022-12-31;21,911828;
2023-01-31;22,221347;
2023-02-28;23,228954;
2023-03-31;22,984783;
2023-04-30;21,41625;
2023-05-31;17,644074;
2023-06-30;16,067361;
2023-07-31;17,070296;
2023-08-31;18,69422;
2023-09-30;22,379306;
2023-10-31;24,451344;
2023-11-30;24,59125;

