Nome: DORES DO INDAIA
Codigo Estacao: A536
Latitude: -19.48194443
Longitude: -45.59388888
Altitude: 721.09
Situacao: Operante
Data Inicial: 2007-05-31
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-05-31;null;
2007-06-30;19,657182;
2007-07-31;19,59427;
2007-08-31;20,609403;
2007-09-30;23,196945;
2007-10-31;24,928898;
2007-11-30;23,050892;
2007-12-31;23,972043;
2008-01-31;22,98965;
2008-02-29;23,567857;
2008-03-31;22,717602;
2008-04-30;22,650833;
2008-05-31;20,064583;
2008-06-30;19,92785;
2008-07-31;18,760484;
2008-08-31;21,581317;
2008-09-30;21,917349;
2008-10-31;24,215726;
2008-11-30;22,859444;
2008-12-31;22,674194;
2009-01-31;23,260459;
2009-02-28;23,960714;
2009-03-31;23,71922;
2009-04-30;21,91369;
2009-05-31;20,421774;
2009-06-30;18,357625;
2009-07-31;20,712097;
2009-08-31;20,650591;
2009-09-30;23,494167;
2009-10-31;23,143103;
2009-11-30;24,832778;
2009-12-31;23,200806;
2010-01-31;24,595556;
2010-02-28;25,257887;
2010-03-31;23,893405;
2010-04-30;22,235694;
2010-05-31;20,18535;
2010-06-30;18,034722;
2010-07-31;19,74664;
2010-08-31;20,35651;
2010-09-30;22,479861;
2010-10-31;22,999328;
2010-11-30;22,551806;
2010-12-31;24,17043;
2011-01-31;null;
2011-02-28;24,484683;
2011-03-31;22,491053;
2011-04-30;22,14125;
2011-05-31;20,191725;
2011-06-30;18,582778;
2011-07-31;19,470833;
2011-08-31;21,93594;
2011-09-30;null;
2011-10-31;22,096333;
2011-11-30;21,825833;
2011-12-31;22,279973;
2012-01-31;22,474194;
2012-02-29;23,860201;
2012-03-31;23,070161;
2012-04-30;22,782778;
2012-05-31;19,065995;
2012-06-30;19,921111;
2012-07-31;19,276198;
2012-08-31;19,615889;
2012-09-30;null;
2012-10-31;null;
2012-11-30;22,963056;
2012-12-31;24,862231;
2013-01-31;23,31745;
2013-02-28;24,367708;
2013-03-31;23,326774;
2013-04-30;21,246945;
2013-05-31;20,411092;
2013-06-30;20,171629;
2013-07-31;19,444898;
2013-08-31;20,527343;
2013-09-30;21,983056;
2013-10-31;22,382661;
2013-11-30;23,180417;
2013-12-31;23,700672;
2014-01-31;24,624462;
2014-02-28;25,178584;
2014-03-31;23,513462;
2014-04-30;22,441767;
2014-05-31;20,359274;
2014-06-30;20,094861;
2014-07-31;18,96475;
2014-08-31;21,021237;
2014-09-30;23,477838;
2014-10-31;24,225806;
2014-11-30;23,6925;
2014-12-31;23,829348;
2015-01-31;25,91087;
2015-02-28;23,507589;
2015-03-31;22,983737;
2015-04-30;22,527361;
2015-05-31;20,080511;
2015-06-30;19,41282;
2015-07-31;20,64422;
2015-08-31;21,59664;
2015-09-30;24,100278;
2015-10-31;26,519489;
2015-11-30;25,309306;
2015-12-31;24,295833;
2016-01-31;23,474638;
2016-02-29;25,293897;
2016-03-31;null;
2016-04-30;23,962667;
2016-05-31;21,480914;
2016-06-30;19,072639;
2016-07-31;20,439382;
2016-08-31;21,764247;
2016-09-30;24,018194;
2016-10-31;24,427419;
2016-11-30;22,912083;
2016-12-31;23,548656;
2017-01-31;24,915591;
2017-02-28;23,904613;
2017-03-31;24,04207;
2017-04-30;23,576667;
2017-05-31;21,035081;
2017-06-30;19,7675;
2017-07-31;17,822446;
2017-08-31;21,399731;
2017-09-30;22,359469;
2017-10-31;24,761559;
2017-11-30;23,063889;
2017-12-31;23,856855;
2018-01-31;24,484005;
2018-02-28;23,620368;
2018-03-31;24,213575;
2018-04-30;22,345833;
2018-05-31;20,294758;
2018-06-30;20,518889;
2018-07-31;20,243952;
2018-08-31;20,698925;
2018-09-30;null;
2018-10-31;null;
2018-11-30;22,475694;
2018-12-31;24,090591;
2019-01-31;25,595027;
2019-02-28;24,426786;
2019-03-31;23,622043;
2019-04-30;23,580139;
2019-05-31;21,830645;
2019-06-30;19,677518;
2019-07-31;18,657527;
2019-08-31;21,257527;
2019-09-30;24,912083;
2019-10-31;24,821371;
2019-11-30;24,162639;
2019-12-31;24,061486;
2020-01-31;24,500672;
2020-02-29;23,347414;
2020-03-31;23,054167;
2020-04-30;22,409444;
2020-05-31;19,197715;
2020-06-30;19,808611;
2020-07-31;20,490323;
2020-08-31;20,267608;
2020-09-30;24,440556;
2020-10-31;24,637366;
2020-11-30;23,489167;
2020-12-31;23,871505;
2021-01-31;24,300134;
2021-02-28;23,239137;
2021-03-31;24,021774;
2021-04-30;21,939167;
2021-05-31;21,504704;
2021-06-30;19,954444;
2021-07-31;18,374059;
2021-08-31;21,232527;
2021-09-30;25,782465;
2021-10-31;null;
2021-11-30;22,676214;
2021-12-31;22,963441;
2022-01-31;23,470833;
2022-02-28;23,001339;
2022-03-31;24,711425;
2022-04-30;23,653472;
2022-05-31;19,658871;
2022-06-30;19,482917;
2022-07-31;19,945161;
2022-08-31;20,896237;
2022-09-30;23,154242;
2022-10-31;24,032509;
2022-11-30;21,707639;
2022-12-31;22,691936;
2023-01-31;22,989919;
2023-02-28;24,131101;
2023-03-31;24,44207;
2023-04-30;22,487687;
2023-05-31;20,34422;
2023-06-30;19,216806;
2023-07-31;null;
2023-08-31;null;
2023-09-30;25,260972;
2023-10-31;25,701128;
2023-11-30;null;

