Nome: DIAMANTINA
Codigo Estacao: A537
Latitude: -18.231052
Longitude: -43.648269
Altitude: 1359.25
Situacao: Operante
Data Inicial: 2007-06-04
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-06-30;16,148928;
2007-07-31;16,031586;
2007-08-31;15,960887;
2007-09-30;17,438472;
2007-10-31;20,180154;
2007-11-30;20,56629;
2007-12-31;20,169758;
2008-01-31;19,352151;
2008-02-29;20,075744;
2008-03-31;19,190901;
2008-04-30;19,580417;
2008-05-31;16,817778;
2008-06-30;15,876326;
2008-07-31;14,87043;
2008-08-31;17,047984;
2008-09-30;18,173182;
2008-10-31;20,460215;
2008-11-30;19,004306;
2008-12-31;18,560484;
2009-01-31;19,813301;
2009-02-28;20,152381;
2009-03-31;20,638441;
2009-04-30;18,369722;
2009-05-31;16,826747;
2009-06-30;15,850833;
2009-07-31;16,902489;
2009-08-31;16,549731;
2009-09-30;19,333194;
2009-10-31;19,126006;
2009-11-30;20,533611;
2009-12-31;19,551747;
2010-01-31;20,744028;
2010-02-28;21,086458;
2010-03-31;20,425;
2010-04-30;18,351806;
2010-05-31;17,56371;
2010-06-30;14,959583;
2010-07-31;15,171111;
2010-08-31;15,659583;
2010-09-30;17,927917;
2010-10-31;19,365054;
2010-11-30;18,716528;
2010-12-31;20,478226;
2011-01-31;19,794355;
2011-02-28;20,614435;
2011-03-31;19,233624;
2011-04-30;18,413194;
2011-05-31;16,908696;
2011-06-30;null;
2011-07-31;15,368561;
2011-08-31;17,866935;
2011-09-30;17,525139;
2011-10-31;17,554676;
2011-11-30;17,147639;
2011-12-31;18,474194;
2012-01-31;18,831271;
2012-02-29;19,507184;
2012-03-31;19,24692;
2012-04-30;19,183333;
2012-05-31;16,468011;
2012-06-30;16,745054;
2012-07-31;15,997984;
2012-08-31;14,733261;
2012-09-30;18,263056;
2012-10-31;19,391532;
2012-11-30;18,813333;
2012-12-31;21,312366;
2013-01-31;19,805376;
2013-02-28;20,34494;
2013-03-31;20,137931;
2013-04-30;17,765278;
2013-05-31;17,294893;
2013-06-30;16,455694;
2013-07-31;16,393549;
2013-08-31;16,629704;
2013-09-30;17,869583;
2013-10-31;18,011021;
2013-11-30;19,2175;
2013-12-31;19,695161;
2014-01-31;20,124059;
2014-02-28;19,819494;
2014-03-31;19,17043;
2014-04-30;18,896932;
2014-05-31;17,301613;
2014-06-30;15,896667;
2014-07-31;15,086694;
2014-08-31;16,591801;
2014-09-30;18,517361;
2014-10-31;19,086425;
2014-11-30;19,162597;
2014-12-31;19,843823;
2015-01-31;21,533614;
2015-02-28;20,088341;
2015-03-31;20,104032;
2015-04-30;18,797639;
2015-05-31;16,55457;
2015-06-30;16,072222;
2015-07-31;16,053898;
2015-08-31;16,607124;
2015-09-30;21,045;
2015-10-31;21,738505;
2015-11-30;22,190833;
2015-12-31;21,364785;
2016-01-31;19,889919;
2016-02-29;21,549856;
2016-03-31;20,535215;
2016-04-30;20,091111;
2016-05-31;18,00336;
2016-06-30;16,743056;
2016-07-31;16,676075;
2016-08-31;17,566667;
2016-09-30;19,360417;
2016-10-31;20,334274;
2016-11-30;19,15;
2016-12-31;20,143683;
2017-01-31;20,863172;
2017-02-28;19,227381;
2017-03-31;19,879435;
2017-04-30;18,865417;
2017-05-31;17,084274;
2017-06-30;16,308056;
2017-07-31;13,683737;
2017-08-31;16,395161;
2017-09-30;16,610694;
2017-10-31;20,244624;
2017-11-30;18,818194;
2017-12-31;19,627016;
2018-01-31;20,756183;
2018-02-28;19,707143;
2018-03-31;null;
2018-04-30;16,952865;
2018-05-31;17,136458;
2018-06-30;16,272321;
2018-07-31;15,853091;
2018-08-31;17,026478;
2018-09-30;19,487302;
2018-10-31;20,016532;
2018-11-30;18,782639;
2018-12-31;20,062769;
2019-01-31;21,357661;
2019-02-28;21,381994;
2019-03-31;20,520699;
2019-04-30;20,056944;
2019-05-31;18,752823;
2019-06-30;16,422917;
2019-07-31;15,89664;
2019-08-31;16,483333;
2019-09-30;19,562917;
2019-10-31;20,026882;
2019-11-30;20,734583;
2019-12-31;20,356586;
2020-01-31;20,721237;
2020-02-29;20,643822;
2020-03-31;18,878816;
2020-04-30;18,443611;
2020-05-31;16,305511;
2020-06-30;16,319583;
2020-07-31;16,018011;
2020-08-31;15,421505;
2020-09-30;19,346806;
2020-10-31;20,146909;
2020-11-30;18,746389;
2020-12-31;20,220833;
2021-01-31;20,147312;
2021-02-28;19,26503;
2021-03-31;19,863978;
2021-04-30;18,522639;
2021-05-31;17,539113;
2021-06-30;16,188472;
2021-07-31;14,978226;
2021-08-31;15,690995;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;18,734722;
2022-01-31;19,938307;
2022-02-28;19,413988;
2022-03-31;20,120296;
2022-04-30;19,592361;
2022-05-31;16,560215;
2022-06-30;16,220278;
2022-07-31;15,711559;
2022-08-31;16,4625;
2022-09-30;18,173889;
2022-10-31;19,644892;
2022-11-30;18,269861;
2022-12-31;18,789516;
2023-01-31;19,445161;
2023-02-28;20,7715;
2023-03-31;null;
2023-04-30;19,102778;
2023-05-31;17,184812;
2023-06-30;15,727083;
2023-07-31;16,173253;
2023-08-31;18,130914;
2023-09-30;19,5625;
2023-10-31;21,057393;
2023-11-30;22,660139;

