Nome: CURVELO
Codigo Estacao: A538
Latitude: -18.747711
Longitude: -44.453785
Altitude: 669.48
Situacao: Operante
Data Inicial: 2006-12-17
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2006-12-31;null;
2007-01-31;23,205853;
2007-02-28;23,719802;
2007-03-31;24,554717;
2007-04-30;23,006389;
2007-05-31;20,441632;
2007-06-30;19,251437;
2007-07-31;19,84006;
2007-08-31;20,340837;
2007-09-30;23,073056;
2007-10-31;25,531802;
2007-11-30;25,069133;
2007-12-31;24,594758;
2008-01-31;23,48172;
2008-02-29;24,377381;
2008-03-31;23,431586;
2008-04-30;23,412083;
2008-05-31;20,004583;
2008-06-30;19,612015;
2008-07-31;18,268548;
2008-08-31;21,523253;
2008-09-30;22,84;
2008-10-31;25,772446;
2008-11-30;23,74125;
2008-12-31;23,126344;
2009-01-31;24,144892;
2009-02-28;24,526637;
2009-03-31;24,614247;
2009-04-30;22,431944;
2009-05-31;20,643952;
2009-06-30;19,18;
2009-07-31;20,513172;
2009-08-31;21,017608;
2009-09-30;24,423194;
2009-10-31;23,938362;
2009-11-30;25,313194;
2009-12-31;23,487769;
2010-01-31;24,787361;
2010-02-28;25,636607;
2010-03-31;24,381989;
2010-04-30;22,453055;
2010-05-31;21,064919;
2010-06-30;17,998707;
2010-07-31;19,64086;
2010-08-31;19,780739;
2010-09-30;23,074306;
2010-10-31;24,252285;
2010-11-30;22,896667;
2010-12-31;24,628629;
2011-01-31;24,369624;
2011-02-28;25,753869;
2011-03-31;23,275189;
2011-04-30;22,604432;
2011-05-31;20,536559;
2011-06-30;19,230278;
2011-07-31;19,275403;
2011-08-31;21,834046;
2011-09-30;22,668611;
2011-10-31;22,587231;
2011-11-30;22,277586;
2011-12-31;22,713095;
2012-01-31;23,295161;
2012-02-29;24,398994;
2012-03-31;23,790451;
2012-04-30;23,255139;
2012-05-31;20,185081;
2012-06-30;20,616727;
2012-07-31;19,61828;
2012-08-31;20,072361;
2012-09-30;23,425;
2012-10-31;25,241936;
2012-11-30;24,361787;
2012-12-31;25,714919;
2013-01-31;24,072446;
2013-02-28;24,693601;
2013-03-31;24,153736;
2013-04-30;21,925417;
2013-05-31;20,645699;
2013-06-30;20,436818;
2013-07-31;19,985753;
2013-08-31;20,869355;
2013-09-30;22,810833;
2013-10-31;23,482527;
2013-11-30;24,466944;
2013-12-31;23,874532;
2014-01-31;24,829301;
2014-02-28;25,508482;
2014-03-31;24,381989;
2014-04-30;23,524722;
2014-05-31;21,077957;
2014-06-30;20,1275;
2014-07-31;19,429032;
2014-08-31;21,004973;
2014-09-30;24,26125;
2014-10-31;24,853763;
2014-11-30;24,499722;
2014-12-31;24,729032;
2015-01-31;26,417339;
2015-02-28;24,360417;
2015-03-31;24,088978;
2015-04-30;23,274444;
2015-05-31;20,79422;
2015-06-30;20,026111;
2015-07-31;20,465054;
2015-08-31;21,808064;
2015-09-30;25,439306;
2015-10-31;27,440457;
2015-11-30;26,537047;
2015-12-31;25,247177;
2016-01-31;24,364247;
2016-02-29;25,856897;
2016-03-31;24,705242;
2016-04-30;24,181667;
2016-05-31;21,76828;
2016-06-30;19,897639;
2016-07-31;20,460081;
2016-08-31;21,966158;
2016-09-30;24,646111;
2016-10-31;25,570161;
2016-11-30;23,769722;
2016-12-31;24,3;
2017-01-31;25,912769;
2017-02-28;24,258631;
2017-03-31;24,313978;
2017-04-30;23,52588;
2017-05-31;21,550403;
2017-06-30;20,226806;
2017-07-31;18,316398;
2017-08-31;null;
2017-09-30;null;
2017-10-31;26,084876;
2017-11-30;23,671111;
2017-12-31;24,317876;
2018-01-31;24,975672;
2018-02-28;23,831101;
2018-03-31;24,330108;
2018-04-30;22,163889;
2018-05-31;20,160484;
2018-06-30;20,308611;
2018-07-31;19,59879;
2018-08-31;21,485349;
2018-09-30;23,719167;
2018-10-31;25,309677;
2018-11-30;23,286944;
2018-12-31;24,371909;
2019-01-31;26,207765;
2019-02-28;25,036553;
2019-03-31;24,302554;
2019-04-30;24,243472;
2019-05-31;22,44328;
2019-06-30;20,242778;
2019-07-31;18,993683;
2019-08-31;21,638575;
2019-09-30;24,968611;
2019-10-31;25,959274;
2019-11-30;25,687639;
2019-12-31;24,652151;
2020-01-31;25,024597;
2020-02-29;24,278161;
2020-03-31;23,457527;
2020-04-30;22,705833;
2020-05-31;19,211559;
2020-06-30;19,360556;
2020-07-31;19,805242;
2020-08-31;20,247043;
2020-09-30;24,130278;
2020-10-31;24,945833;
2020-11-30;23,932639;
2020-12-31;24,407258;
2021-01-31;24,956317;
2021-02-28;23,540179;
2021-03-31;24,034812;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;23,417204;
2022-01-31;24,28078;
2022-02-28;23,305784;
2022-03-31;24,842339;
2022-04-30;24,122222;
2022-05-31;19,788844;
2022-06-30;19,165833;
2022-07-31;19,405242;
2022-08-31;21,190054;
2022-09-30;23,577222;
2022-10-31;25,292742;
2022-11-30;23,02125;
2022-12-31;23,073253;
2023-01-31;23,359677;
2023-02-28;25,115476;
2023-03-31;25,11101;
2023-04-30;23,464028;
2023-05-31;20,894758;
2023-06-30;19,284028;
2023-07-31;20,205511;
2023-08-31;22,139113;
2023-09-30;25,341944;
2023-10-31;26,745699;
2023-11-30;27,05625;

