Nome: MOCAMBINHO
Codigo Estacao: A539
Latitude: -15.08583333
Longitude: -44.01611111
Altitude: 454
Situacao: Operante
Data Inicial: 2007-11-10
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-11-30;26,792892;
2007-12-31;25,392339;
2008-01-31;25,789382;
2008-02-29;25,68865;
2008-03-31;24,872849;
2008-04-30;24,860833;
2008-05-31;23,313382;
2008-06-30;22,328527;
2008-07-31;20,852554;
2008-08-31;23,124194;
2008-09-30;25,374306;
2008-10-31;27,934812;
2008-11-30;25,51718;
2008-12-31;24,430376;
2009-01-31;25,27784;
2009-02-28;26,023512;
2009-03-31;26,190188;
2009-04-30;24,272083;
2009-05-31;22,622312;
2009-06-30;22,434583;
2009-07-31;22,554301;
2009-08-31;23,844758;
2009-09-30;26,881703;
2009-10-31;26,748276;
2009-11-30;26,062639;
2009-12-31;25,177016;
2010-01-31;26,072238;
2010-02-28;26,642708;
2010-03-31;25,111559;
2010-04-30;24,204028;
2010-05-31;24,634677;
2010-06-30;22,006034;
2010-07-31;22,214651;
2010-08-31;21,972705;
2010-09-30;24,633333;
2010-10-31;27,71586;
2010-11-30;24,797361;
2010-12-31;24,906452;
2011-01-31;24,801479;
2011-02-28;25,587202;
2011-03-31;24,304479;
2011-04-30;24,145278;
2011-05-31;22,480645;
2011-06-30;21,809444;
2011-07-31;21,190323;
2011-08-31;23,236022;
2011-09-30;23,655694;
2011-10-31;25,214235;
2011-11-30;23,645417;
2011-12-31;24,248253;
2012-01-31;24,632527;
2012-02-29;25,410201;
2012-03-31;26,089247;
2012-04-30;25,901528;
2012-05-31;23,93293;
2012-06-30;25,688889;
2012-07-31;25,586559;
2012-08-31;24,528194;
2012-09-30;26,890694;
2012-10-31;27,883871;
2012-11-30;25,1875;
2012-12-31;26,870968;
2013-01-31;25,54879;
2013-02-28;26,416518;
2013-03-31;27,111207;
2013-04-30;24,538195;
2013-05-31;null;
2013-06-30;null;
2013-07-31;22,916369;
2013-08-31;23,629167;
2013-09-30;25,951806;
2013-10-31;null;
2013-11-30;null;
2013-12-31;24,010278;
2014-01-31;25,473925;
2014-02-28;25,828423;
2014-03-31;25,876344;
2014-04-30;25,420139;
2014-05-31;null;
2014-06-30;null;
2014-07-31;22,460081;
2014-08-31;22,963307;
2014-09-30;25,62875;
2014-10-31;26,575269;
2014-11-30;25,964444;
2014-12-31;25,187097;
2015-01-31;null;
2015-02-28;25,693659;
2015-03-31;26,465054;
2015-04-30;26,214306;
2015-05-31;23,969355;
2015-06-30;23,091111;
2015-07-31;23,032661;
2015-08-31;23,67043;
2015-09-30;27,695833;
2015-10-31;28,827688;
2015-11-30;28,849722;
2015-12-31;28,9875;
2016-01-31;25,450134;
2016-02-29;26,849713;
2016-03-31;26,891801;
2016-04-30;26,356389;
2016-05-31;24,703226;
2016-06-30;23,203472;
2016-07-31;22,780914;
2016-08-31;24,595027;
2016-09-30;26,201806;
2016-10-31;27,79328;
2016-11-30;26,216806;
2016-12-31;25,780511;
2017-01-31;27,183065;
2017-02-28;25,596131;
2017-03-31;26,150672;
2017-04-30;26,187778;
2017-05-31;24,760887;
2017-06-30;23,272361;
2017-07-31;21,129839;
2017-08-31;22,877554;
2017-09-30;24,31125;
2017-10-31;27,634946;
2017-11-30;25,990303;
2017-12-31;25,315054;
2018-01-31;26,4837;
2018-02-28;25,001503;
2018-03-31;25,402212;
2018-04-30;24,692639;
2018-05-31;23,656048;
2018-06-30;22,84878;
2018-07-31;22,120797;
2018-08-31;24,696377;
2018-09-30;26,044444;
2018-10-31;27,888194;
2018-11-30;24,90407;
2018-12-31;24,570027;
2019-01-31;26,725;
2019-02-28;26,866964;
2019-03-31;26,701747;
2019-04-30;26,118472;
2019-05-31;25,570161;
2019-06-30;23,330891;
2019-07-31;22,698679;
2019-08-31;24,123599;
2019-09-30;26,241304;
2019-10-31;27,550806;
2019-11-30;28,207917;
2019-12-31;27,730645;
2020-01-31;25,991263;
2020-02-29;26,062787;
2020-03-31;24,525111;
2020-04-30;24,321944;
2020-05-31;22,303763;
2020-06-30;21,636111;
2020-07-31;21,499194;
2020-08-31;23,090591;
2020-09-30;25,446111;
2020-10-31;26,916935;
2020-11-30;24,377083;
2020-12-31;25,558468;
2021-01-31;26,250403;
2021-02-28;24,862798;
2021-03-31;25,218414;
2021-04-30;24,965972;
2021-05-31;23,533199;
2021-06-30;22,689444;
2021-07-31;21,933871;
2021-08-31;22,769355;
2021-09-30;26,803889;
2021-10-31;27,210484;
2021-11-30;24,316414;
2021-12-31;24,153091;
2022-01-31;24,849866;
2022-02-28;24,996429;
2022-03-31;25,32164;
2022-04-30;25,020278;
2022-05-31;22,258737;
2022-06-30;20,885972;
2022-07-31;21,679435;
2022-08-31;22,95336;
2022-09-30;25,162639;
2022-10-31;27,554167;
2022-11-30;24,311945;
2022-12-31;24,031989;
2023-01-31;24,680242;
2023-02-28;25,985268;
2023-03-31;26,072984;
2023-04-30;25,763056;
2023-05-31;24,069355;
2023-06-30;22,625694;
2023-07-31;22,591936;
2023-08-31;24,279839;
2023-09-30;27,130694;
2023-10-31;29,238979;
2023-11-30;28,624306;

