Nome: MANTENA
Codigo Estacao: A540
Latitude: -18.78062
Longitude: -40.986505
Altitude: 254.91
Situacao: Operante
Data Inicial: 2007-07-31
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-07-31;null;
2007-08-31;21,369032;
2007-09-30;22,135;
2007-10-31;24,575456;
2007-11-30;26,286511;
2007-12-31;26,047177;
2008-01-31;25,260349;
2008-02-29;25,946577;
2008-03-31;25,514908;
2008-04-30;25,345278;
2008-05-31;22,445833;
2008-06-30;21,624448;
2008-07-31;20,210081;
2008-08-31;22,396102;
2008-09-30;22,842917;
2008-10-31;25,297446;
2008-11-30;24,226806;
2008-12-31;24,263979;
2009-01-31;25,174036;
2009-02-28;26,674405;
2009-03-31;26,740188;
2009-04-30;24,365417;
2009-05-31;22,149731;
2009-06-30;21,252639;
2009-07-31;21,357124;
2009-08-31;22,014785;
2009-09-30;24,592778;
2009-10-31;25,040805;
2009-11-30;26,123611;
2009-12-31;25,837366;
2010-01-31;27,156389;
2010-02-28;26,983036;
2010-03-31;26,377285;
2010-04-30;24,259444;
2010-05-31;null;
2010-06-30;null;
2010-07-31;21,02379;
2010-08-31;20,810414;
2010-09-30;23,056528;
2010-10-31;23,909946;
2010-11-30;24,203056;
2010-12-31;25,787903;
2011-01-31;25,948118;
2011-02-28;26,570122;
2011-03-31;25,07063;
2011-04-30;24,006528;
2011-05-31;21,658871;
2011-06-30;20,874028;
2011-07-31;20,712366;
2011-08-31;22,228226;
2011-09-30;21,795556;
2011-10-31;22,899462;
2011-11-30;22,622917;
2011-12-31;24,452554;
2012-01-31;24,916158;
2012-02-29;25,234626;
2012-03-31;25,732854;
2012-04-30;25,094028;
2012-05-31;22,154861;
2012-06-30;22,441045;
2012-07-31;21,330645;
2012-08-31;20,724444;
2012-09-30;22,522917;
2012-10-31;24,294758;
2012-11-30;23,94375;
2012-12-31;27,238038;
2013-01-31;26,020833;
2013-02-28;26,225;
2013-03-31;26,146552;
2013-04-30;23,815833;
2013-05-31;22,602151;
2013-06-30;22,211237;
2013-07-31;21,889919;
2013-08-31;21,800403;
2013-09-30;22,872639;
2013-10-31;null;
2013-11-30;null;
2013-12-31;25,209005;
2014-01-31;25,668817;
2014-02-28;25,47381;
2014-03-31;25,22957;
2014-04-30;24,687083;
2014-05-31;23,108871;
2014-06-30;21,595972;
2014-07-31;21,085349;
2014-08-31;21,407392;
2014-09-30;23,262639;
2014-10-31;23,763844;
2014-11-30;24,335694;
2014-12-31;25,328226;
2015-01-31;27,238306;
2015-02-28;26,682589;
2015-03-31;26,203226;
2015-04-30;24,793194;
2015-05-31;22,90561;
2015-06-30;22,256944;
2015-07-31;21,837634;
2015-08-31;21,74664;
2015-09-30;25,451389;
2015-10-31;26,027285;
2015-11-30;27,388333;
2015-12-31;27,88629;
2016-01-31;25,807796;
2016-02-29;27,910489;
2016-03-31;27,411559;
2016-04-30;26,456111;
2016-05-31;23,976344;
2016-06-30;22,043194;
2016-07-31;21,614382;
2016-08-31;22,885484;
2016-09-30;24,011667;
2016-10-31;24,497984;
2016-11-30;24,474167;
2016-12-31;25,655511;
2017-01-31;26,655376;
2017-02-28;25,326191;
2017-03-31;26,491678;
2017-04-30;null;
2017-05-31;22,503226;
2017-06-30;22,019306;
2017-07-31;19,36586;
2017-08-31;20,502285;
2017-09-30;21,444722;
2017-10-31;24,852285;
2017-11-30;23,795694;
2017-12-31;24,802151;
2018-01-31;26,628495;
2018-02-28;25,458036;
2018-03-31;25,944086;
2018-04-30;23,218333;
2018-05-31;22,045027;
2018-06-30;21,467917;
2018-07-31;21,239113;
2018-08-31;22,359677;
2018-09-30;23,4225;
2018-10-31;24,659005;
2018-11-30;24,312361;
2018-12-31;25,147581;
2019-01-31;26,831539;
2019-02-28;null;
2019-03-31;26,563307;
2019-04-30;25,990417;
2019-05-31;24,170161;
2019-06-30;22,222056;
2019-07-31;21,016532;
2019-08-31;21,624194;
2019-09-30;23,837778;
2019-10-31;25,043414;
2019-11-30;25,242917;
2019-12-31;25,756586;
2020-01-31;26,082527;
2020-02-29;26,580029;
2020-03-31;24,23965;
2020-04-30;23,635694;
2020-05-31;21,793952;
2020-06-30;21,365417;
2020-07-31;21,166107;
2020-08-31;21,438839;
2020-09-30;24,404306;
2020-10-31;24,757392;
2020-11-30;23,94625;
2020-12-31;26,158468;
2021-01-31;26,213575;
2021-02-28;25,077827;
2021-03-31;25,203495;
2021-04-30;24,049028;
2021-05-31;23,11707;
2021-06-30;21,445695;
2021-07-31;20,755107;
2021-08-31;21,722177;
2021-09-30;24,339583;
2021-10-31;24,065995;
2021-11-30;23,441806;
2021-12-31;24,025269;
2022-01-31;26,098387;
2022-02-28;25,383631;
2022-03-31;25,892473;
2022-04-30;25,089167;
2022-05-31;22,134409;
2022-06-30;20,624444;
2022-07-31;20,978763;
2022-08-31;21,506586;
2022-09-30;22,6675;
2022-10-31;25,166263;
2022-11-30;23,606111;
2022-12-31;23,91707;
2023-01-31;25,169624;
2023-02-28;26,76622;
2023-03-31;26,263454;
2023-04-30;24,130345;
2023-05-31;22,581586;
2023-06-30;21,430278;
2023-07-31;20,911746;
2023-08-31;22,597849;
2023-09-30;23,822361;
2023-10-31;25,597446;
2023-11-30;27,129722;

