Nome: CAPELINHA
Codigo Estacao: A541
Latitude: -17.70555555
Longitude: -42.38916666
Altitude: 932.06
Situacao: Operante
Data Inicial: 2007-08-30
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-08-31;null;
2007-09-30;18,646667;
2007-10-31;21,661793;
2007-11-30;22,366186;
2007-12-31;21,864516;
2008-01-31;21,116398;
2008-02-29;21,467385;
2008-03-31;20,935618;
2008-04-30;21,203333;
2008-05-31;18,078214;
2008-06-30;17,203345;
2008-07-31;15,872043;
2008-08-31;18,172043;
2008-09-30;19,448333;
2008-10-31;22,476531;
2008-11-30;21,036902;
2008-12-31;20,619489;
2009-01-31;21,483368;
2009-02-28;21,770536;
2009-03-31;21,886962;
2009-04-30;19,917222;
2009-05-31;17,864919;
2009-06-30;17,446806;
2009-07-31;17,677823;
2009-08-31;18,086962;
2009-09-30;20,853056;
2009-10-31;21,16092;
2009-11-30;21,814722;
2009-12-31;21,203629;
2010-01-31;22,333871;
2010-02-28;22,451042;
2010-03-31;21,954167;
2010-04-30;20,12125;
2010-05-31;19,097446;
2010-06-30;16,308472;
2010-07-31;17,053611;
2010-08-31;16,809831;
2010-09-30;19,178194;
2010-10-31;20,802151;
2010-11-30;20,506389;
2010-12-31;21,789785;
2011-01-31;21,436425;
2011-02-28;22,044792;
2011-03-31;21,275693;
2011-04-30;20,022083;
2011-05-31;17,648925;
2011-06-30;17,050694;
2011-07-31;16,716801;
2011-08-31;18,386694;
2011-09-30;18,228056;
2011-10-31;19,511828;
2011-11-30;18,975139;
2011-12-31;20,574731;
2012-01-31;20,812903;
2012-02-29;21,208046;
2012-03-31;21,344086;
2012-04-30;21,302222;
2012-05-31;18,173521;
2012-06-30;18,220833;
2012-07-31;17,376747;
2012-08-31;16,751945;
2012-09-30;19,772361;
2012-10-31;21,316936;
2012-11-30;20,732639;
2012-12-31;22,733333;
2013-01-31;22,004301;
2013-02-28;21,827827;
2013-03-31;22,107471;
2013-04-30;19,607917;
2013-05-31;18,518548;
2013-06-30;18,092803;
2013-07-31;17,622312;
2013-08-31;18,030242;
2013-09-30;19,740833;
2013-10-31;19,747984;
2013-11-30;21,079722;
2013-12-31;21,493011;
2014-01-31;21,480107;
2014-02-28;21,61756;
2014-03-31;20,969489;
2014-04-30;20,255417;
2014-05-31;18,629839;
2014-06-30;17,401389;
2014-07-31;16,807124;
2014-08-31;17,482392;
2014-09-30;19,759444;
2014-10-31;20,699866;
2014-11-30;20,872361;
2014-12-31;21,152823;
2015-01-31;22,593028;
2015-02-28;21,847619;
2015-03-31;21,795699;
2015-04-30;20,528611;
2015-05-31;18,39086;
2015-06-30;17,725833;
2015-07-31;17,769086;
2015-08-31;18,153226;
2015-09-30;22,397083;
2015-10-31;22,843817;
2015-11-30;23,800833;
2015-12-31;23,052823;
2016-01-31;21,832392;
2016-02-29;22,630029;
2016-03-31;22,173925;
2016-04-30;21,605139;
2016-05-31;19,14879;
2016-06-30;18,289674;
2016-07-31;null;
2016-08-31;null;
2016-09-30;21,245833;
2016-10-31;21,760846;
2016-11-30;21,097917;
2016-12-31;21,286559;
2017-01-31;22,111156;
2017-02-28;21,092262;
2017-03-31;21,121505;
2017-04-30;20,381389;
2017-05-31;18,71828;
2017-06-30;17,845695;
2017-07-31;15,29879;
2017-08-31;16,755645;
2017-09-30;18,130556;
2017-10-31;21,848118;
2017-11-30;20,493889;
2017-12-31;20,903763;
2018-01-31;21,825269;
2018-02-28;21,35;
2018-03-31;21,720699;
2018-04-30;19,404583;
2018-05-31;17,973387;
2018-06-30;17,660278;
2018-07-31;17,19879;
2018-08-31;18,62164;
2018-09-30;20,18625;
2018-10-31;21,620699;
2018-11-30;20,599444;
2018-12-31;21,142473;
2019-01-31;22,444086;
2019-02-28;22,885566;
2019-03-31;22,251344;
2019-04-30;21,656111;
2019-05-31;20,404167;
2019-06-30;18,006389;
2019-07-31;16,871102;
2019-08-31;17,698253;
2019-09-30;20,229028;
2019-10-31;21,784812;
2019-11-30;22,691806;
2019-12-31;22,142339;
2020-01-31;22,480645;
2020-02-29;22,285201;
2020-03-31;20,536828;
2020-04-30;19,910139;
2020-05-31;17,943011;
2020-06-30;17,242778;
2020-07-31;17,012366;
2020-08-31;16,808737;
2020-09-30;20,267917;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;21,571909;
2021-02-28;21,06131;
2021-03-31;21,152682;
2021-04-30;null;
2021-05-31;19,447135;
2021-06-30;17,184444;
2021-07-31;16,294086;
2021-08-31;17,108468;
2021-09-30;20,830972;
2021-10-31;21,284274;
2021-11-30;20,254167;
2021-12-31;20,670972;
2022-01-31;21,561135;
2022-02-28;21,232532;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;16,881894;
2022-07-31;17,270597;
2022-08-31;18,269249;
2022-09-30;19,657983;
2022-10-31;21,541398;
2022-11-30;20,184028;
2022-12-31;20,486676;
2023-01-31;21,100403;
2023-02-28;22,206845;
2023-03-31;21,976528;
2023-04-30;20,60375;
2023-05-31;18,308333;
2023-06-30;17,095716;
2023-07-31;17,05914;
2023-08-31;19,029475;
2023-09-30;19,969907;
2023-10-31;null;
2023-11-30;null;

