Nome: UNAI
Codigo Estacao: A542
Latitude: -16.55416666
Longitude: -46.88194443
Altitude: 640.85
Situacao: Operante
Data Inicial: 2007-06-15
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-06-30;null;
2007-07-31;21,81575;
2007-08-31;22,274532;
2007-09-30;25,159167;
2007-10-31;26,895465;
2007-11-30;25,244551;
2007-12-31;24,192339;
2008-01-31;24,064516;
2008-02-29;24,070259;
2008-03-31;23,512231;
2008-04-30;23,876667;
2008-05-31;21,354295;
2008-06-30;20,830115;
2008-07-31;20,028226;
2008-08-31;23,006048;
2008-09-30;25,069028;
2008-10-31;27,415188;
2008-11-30;24,597681;
2008-12-31;23,79879;
2009-01-31;24,158859;
2009-02-28;24,458631;
2009-03-31;24,739919;
2009-04-30;22,948472;
2009-05-31;21,514785;
2009-06-30;20,556806;
2009-07-31;21,664785;
2009-08-31;22,519355;
2009-09-30;25,546528;
2009-10-31;24,530216;
2009-11-30;24,948056;
2009-12-31;23,655511;
2010-01-31;24,642363;
2010-02-28;25,541369;
2010-03-31;24,412231;
2010-04-30;22,9975;
2010-05-31;22,523253;
2010-06-30;19,838056;
2010-07-31;21,134946;
2010-08-31;21,599704;
2010-09-30;24,881667;
2010-10-31;25,799462;
2010-11-30;null;
2010-12-31;null;
2011-01-31;null;
2011-02-28;25,094048;
2011-03-31;23,474373;
2011-04-30;23,02;
2011-05-31;21,346102;
2011-06-30;20,479861;
2011-07-31;20,889382;
2011-08-31;23,457527;
2011-09-30;24,856806;
2011-10-31;23,710349;
2011-11-30;23,343472;
2011-12-31;23,426478;
2012-01-31;23,203898;
2012-02-29;23,926006;
2012-03-31;24,299462;
2012-04-30;24,697222;
2012-05-31;21,688844;
2012-06-30;22,492917;
2012-07-31;21,475806;
2012-08-31;22,200694;
2012-09-30;25,360417;
2012-10-31;26,886694;
2012-11-30;24,173056;
2012-12-31;25,954012;
2013-01-31;null;
2013-02-28;null;
2013-03-31;24,906897;
2013-04-30;22,7125;
2013-05-31;21,841801;
2013-06-30;21,601439;
2013-07-31;21,369624;
2013-08-31;22,488172;
2013-09-30;24,698333;
2013-10-31;24,475806;
2013-11-30;24,291528;
2013-12-31;23,995699;
2014-01-31;24,363441;
2014-02-28;24,273661;
2014-03-31;23,797849;
2014-04-30;23,788611;
2014-05-31;21,49086;
2014-06-30;21,113889;
2014-07-31;20,699194;
2014-08-31;22,723522;
2014-09-30;26,196806;
2014-10-31;26,318145;
2014-11-30;24,888472;
2014-12-31;23,847312;
2015-01-31;26,010122;
2015-02-28;24,452827;
2015-03-31;23,508602;
2015-04-30;23,809028;
2015-05-31;21,45578;
2015-06-30;null;
2015-07-31;21,545833;
2015-08-31;22,684543;
2015-09-30;26,62875;
2015-10-31;28,171909;
2015-11-30;27,116528;
2015-12-31;25,903763;
2016-01-31;24,176747;
2016-02-29;26,160632;
2016-03-31;24,987097;
2016-04-30;24,904167;
2016-05-31;23,05914;
2016-06-30;21,699028;
2016-07-31;22,333333;
2016-08-31;23,708737;
2016-09-30;26,662778;
2016-10-31;26,893578;
2016-11-30;24,720417;
2016-12-31;24,984812;
2017-01-31;25,706048;
2017-02-28;24,204762;
2017-03-31;24,97957;
2017-04-30;24,870417;
2017-05-31;23,076882;
2017-06-30;21,90125;
2017-07-31;20,140995;
2017-08-31;23,562769;
2017-09-30;24,238194;
2017-10-31;27,279704;
2017-11-30;24,315972;
2017-12-31;24,157258;
2018-01-31;24,429839;
2018-02-28;23,963839;
2018-03-31;24,504762;
2018-04-30;22,907222;
2018-05-31;21,228629;
2018-06-30;21,124058;
2018-07-31;20,897984;
2018-08-31;23,781586;
2018-09-30;25,567601;
2018-10-31;26,730248;
2018-11-30;23,471411;
2018-12-31;24,409043;
2019-01-31;25,467742;
2019-02-28;24,952827;
2019-03-31;24,138172;
2019-04-30;23,980833;
2019-05-31;22,765188;
2019-06-30;20,72625;
2019-07-31;20,12164;
2019-08-31;22,883458;
2019-09-30;26,164861;
2019-10-31;27,196909;
2019-11-30;25,918056;
2019-12-31;25,042608;
2020-01-31;24,985349;
2020-02-29;24,463937;
2020-03-31;23,747043;
2020-04-30;23,269028;
2020-05-31;20,463441;
2020-06-30;20,345972;
2020-07-31;20,593011;
2020-08-31;21,75793;
2020-09-30;25,280695;
2020-10-31;26,405645;
2020-11-30;24,286806;
2020-12-31;24,985428;
2021-01-31;24,919108;
2021-02-28;23,767077;
2021-03-31;23,892816;
2021-04-30;22,931111;
2021-05-31;21,782258;
2021-06-30;21,145694;
2021-07-31;20,024194;
2021-08-31;22,665323;
2021-09-30;27,181134;
2021-10-31;26,123019;
2021-11-30;23,880666;
2021-12-31;23,840476;
2022-01-31;24,037356;
2022-02-28;23,77246;
2022-03-31;24,628116;
2022-04-30;24,694493;
2022-05-31;21,012634;
2022-06-30;20,66715;
2022-07-31;20,768333;
2022-08-31;22,960648;
2022-09-30;25,320603;
2022-10-31;25,953262;
2022-11-30;23,03698;
2022-12-31;23,453772;
2023-01-31;23,709327;
2023-02-28;25,630289;
2023-03-31;24,547136;
2023-04-30;23,76004;
2023-05-31;21,689028;
2023-06-30;null;
2023-07-31;null;
2023-08-31;null;
2023-09-30;26,901039;
2023-10-31;27,501312;
2023-11-30;27,603065;

