Nome: ESPINOSA
Codigo Estacao: A543
Latitude: -14.91222222
Longitude: -42.80861111
Altitude: 565.36
Situacao: Operante
Data Inicial: 2007-11-13
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-11-30;null;
2007-12-31;25,307393;
2008-01-31;25,527554;
2008-02-29;25,4125;
2008-03-31;24,687816;
2008-04-30;24,670296;
2008-05-31;23,85093;
2008-06-30;22,494973;
2008-07-31;21,662903;
2008-08-31;23,99207;
2008-09-30;25,735139;
2008-10-31;27,822446;
2008-11-30;25,660694;
2008-12-31;24,454839;
2009-01-31;24,943934;
2009-02-28;26,373512;
2009-03-31;26,413844;
2009-04-30;24,173472;
2009-05-31;22,807124;
2009-06-30;22,773889;
2009-07-31;23,204301;
2009-08-31;24,25;
2009-09-30;27,154028;
2009-10-31;26,5625;
2009-11-30;26,164722;
2009-12-31;25,594489;
2010-01-31;26,317339;
2010-02-28;27,143601;
2010-03-31;25,372265;
2010-04-30;24,950833;
2010-05-31;25,595699;
2010-06-30;22,606667;
2010-07-31;23,116801;
2010-08-31;23,162938;
2010-09-30;24,833166;
2010-10-31;28,038801;
2010-11-30;25,634444;
2010-12-31;24,985887;
2011-01-31;25,115591;
2011-02-28;26,842113;
2011-03-31;24,650265;
2011-04-30;24,50462;
2011-05-31;23,109274;
2011-06-30;22,569861;
2011-07-31;22,356048;
2011-08-31;24,409046;
2011-09-30;24,488472;
2011-10-31;25,508737;
2011-11-30;24,145;
2011-12-31;25,107661;
2012-01-31;25,359946;
2012-02-29;26,554741;
2012-03-31;27,268174;
2012-04-30;27,713056;
2012-05-31;24,793548;
2012-06-30;24,884994;
2012-07-31;23,571505;
2012-08-31;23,172917;
2012-09-30;26,166389;
2012-10-31;27,419489;
2012-11-30;24,488481;
2012-12-31;26,845296;
2013-01-31;26,412097;
2013-02-28;27,806399;
2013-03-31;null;
2013-04-30;null;
2013-05-31;25,319167;
2013-06-30;24,413119;
2013-07-31;24,049866;
2013-08-31;24,285215;
2013-09-30;26,304722;
2013-10-31;26,326747;
2013-11-30;26,622778;
2013-12-31;24,179032;
2014-01-31;25,68535;
2014-02-28;26,504911;
2014-03-31;26,457661;
2014-04-30;26,067083;
2014-05-31;24,977957;
2014-06-30;23,647951;
2014-07-31;23,290224;
2014-08-31;null;
2014-09-30;null;
2014-10-31;26,622312;
2014-11-30;26,045278;
2014-12-31;25,55457;
2015-01-31;27,297984;
2015-02-28;26,254167;
2015-03-31;27,457258;
2015-04-30;26,572917;
2015-05-31;24,342742;
2015-06-30;23,736667;
2015-07-31;23,779301;
2015-08-31;24,306183;
2015-09-30;27,968194;
2015-10-31;28,82836;
2015-11-30;28,955556;
2015-12-31;29,453629;
2016-01-31;25,546102;
2016-02-29;26,967816;
2016-03-31;27,620161;
2016-04-30;27,154167;
2016-05-31;25,245699;
2016-06-30;23,92625;
2016-07-31;23,608064;
2016-08-31;25,125532;
2016-09-30;26,428333;
2016-10-31;27,591263;
2016-11-30;26,322778;
2016-12-31;26,130645;
2017-01-31;28,169489;
2017-02-28;null;
2017-03-31;null;
2017-04-30;26,039028;
2017-05-31;24,939785;
2017-06-30;23,901389;
2017-07-31;21,623656;
2017-08-31;23,695833;
2017-09-30;24,432222;
2017-10-31;27,533602;
2017-11-30;26,583611;
2017-12-31;25,621505;
2018-01-31;26,840591;
2018-02-28;null;
2018-03-31;null;
2018-04-30;25,429861;
2018-05-31;24,626882;
2018-06-30;23,706806;
2018-07-31;23,067204;
2018-08-31;25,458333;
2018-09-30;26,82;
2018-10-31;27,540323;
2018-11-30;25,403333;
2018-12-31;24,965885;
2019-01-31;null;
2019-02-28;null;
2019-03-31;27,055511;
2019-04-30;26,100556;
2019-05-31;25,941667;
2019-06-30;24,042361;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;22,309209;
2022-07-31;22,798235;
2022-08-31;23,893163;
2022-09-30;25,709763;
2022-10-31;27,615697;
2022-11-30;24,268931;
2022-12-31;23,719775;
2023-01-31;25,175806;
2023-02-28;26,712565;
2023-03-31;27,455663;
2023-04-30;26,609374;
2023-05-31;25,217302;
2023-06-30;23,795302;
2023-07-31;23,751262;
2023-08-31;25,501868;
2023-09-30;27,439734;
2023-10-31;29,147838;
2023-11-30;29,822437;

