Nome: BURITIS
Codigo Estacao: A544
Latitude: -15.52416666
Longitude: -46.43555555
Altitude: 894
Situacao: Operante
Data Inicial: 2007-06-18
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-06-30;null;
2007-07-31;21,227126;
2007-08-31;21,10225;
2007-09-30;23,613297;
2007-10-31;25,574597;
2007-11-30;24,238301;
2007-12-31;22,82043;
2008-01-31;22,695699;
2008-02-29;22,50967;
2008-03-31;22,047312;
2008-04-30;22,644444;
2008-05-31;20,918472;
2008-06-30;20,380139;
2008-07-31;19,673925;
2008-08-31;22,323118;
2008-09-30;24,219444;
2008-10-31;25,957661;
2008-11-30;22,748273;
2008-12-31;22,282796;
2009-01-31;22,539382;
2009-02-28;null;
2009-03-31;null;
2009-04-30;21,566111;
2009-05-31;20,314651;
2009-06-30;19,935278;
2009-07-31;21,206317;
2009-08-31;21,57379;
2009-09-30;24,284167;
2009-10-31;23,136351;
2009-11-30;23,593611;
2009-12-31;22,240591;
2010-01-31;23,093891;
2010-02-28;23,827083;
2010-03-31;23,06586;
2010-04-30;22,058611;
2010-05-31;22,233468;
2010-06-30;19,946389;
2010-07-31;20,159409;
2010-08-31;21,011715;
2010-09-30;23,670556;
2010-10-31;24,852285;
2010-11-30;21,920694;
2010-12-31;22,922715;
2011-01-31;22,651344;
2011-02-28;23,064881;
2011-03-31;22,174987;
2011-04-30;21,895;
2011-05-31;20,613979;
2011-06-30;20,275417;
2011-07-31;20,469355;
2011-08-31;22,906989;
2011-09-30;23,724583;
2011-10-31;23,121489;
2011-11-30;22,009344;
2011-12-31;22,214063;
2012-01-31;null;
2012-02-29;22,788141;
2012-03-31;22,956668;
2012-04-30;23,341389;
2012-05-31;20,698521;
2012-06-30;21,705556;
2012-07-31;21,015995;
2012-08-31;20,734028;
2012-09-30;24,51625;
2012-10-31;24,423599;
2012-11-30;null;
2012-12-31;null;
2013-01-31;null;
2013-02-28;23,80503;
2013-03-31;23,25;
2013-04-30;21,33375;
2013-05-31;20,878495;
2013-06-30;20,775669;
2013-07-31;21,075958;
2013-08-31;21,855376;
2013-09-30;23,499583;
2013-10-31;23,121344;
2013-11-30;null;
2013-12-31;null;
2014-01-31;null;
2014-02-28;null;
2014-03-31;null;
2014-04-30;22,219583;
2014-05-31;20,748118;
2014-06-30;20,237361;
2014-07-31;20,011559;
2014-08-31;21,985753;
2014-09-30;24,610694;
2014-10-31;24,772312;
2014-11-30;23,444028;
2014-12-31;22,027688;
2015-01-31;23,816649;
2015-02-28;23,009821;
2015-03-31;22,285215;
2015-04-30;22,194722;
2015-05-31;20,048656;
2015-06-30;19,82625;
2015-07-31;20,550538;
2015-08-31;21,6375;
2015-09-30;25,993333;
2015-10-31;27,011559;
2015-11-30;25,627778;
2015-12-31;25,076613;
2016-01-31;22,394489;
2016-02-29;24,00158;
2016-03-31;23,59543;
2016-04-30;23,807639;
2016-05-31;22,643145;
2016-06-30;21,290417;
2016-07-31;21,862634;
2016-08-31;23,023925;
2016-09-30;24,979167;
2016-10-31;25,004973;
2016-11-30;23,059445;
2016-12-31;22,70914;
2017-01-31;23,06828;
2017-02-28;21,951823;
2017-03-31;null;
2017-04-30;null;
2017-05-31;null;
2017-06-30;20,737333;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;null;
2018-01-31;null;
2018-02-28;21,9205;
2018-03-31;23,281618;
2018-04-30;21,643333;
2018-05-31;20,53293;
2018-06-30;20,331389;
2018-07-31;20,286694;
2018-08-31;22,955242;
2018-09-30;24,594566;
2018-10-31;25,158199;
2018-11-30;22,258333;
2018-12-31;23,046774;
2019-01-31;23,713038;
2019-02-28;23,295146;
2019-03-31;22,473387;
2019-04-30;23,063194;
2019-05-31;22,265188;
2019-06-30;20,549028;
2019-07-31;20,061378;
2019-08-31;22,427016;
2019-09-30;24,852673;
2019-10-31;26,154437;
2019-11-30;24,70377;
2019-12-31;24,328649;
2020-01-31;23,218011;
2020-02-29;22,588649;
2020-03-31;22,185618;
2020-04-30;22,241806;
2020-05-31;20,230833;
2020-06-30;19,999722;
2020-07-31;19,826075;
2020-08-31;21,133064;
2020-09-30;24,40875;
2020-10-31;24,701344;
2020-11-30;22,953472;
2020-12-31;23,330376;
2021-01-31;22,872984;
2021-02-28;21,754464;
2021-03-31;22,998925;
2021-04-30;21,941111;
2021-05-31;20,905914;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;20,490799;
2022-08-31;22,287634;
2022-09-30;24,448472;
2022-10-31;24,976747;
2022-11-30;21,78;
2022-12-31;21,901075;
2023-01-31;21,969355;
2023-02-28;23,616667;
2023-03-31;22,817608;
2023-04-30;22,804444;
2023-05-31;21,596909;
2023-06-30;20,83375;
2023-07-31;21,250403;
2023-08-31;22,963172;
2023-09-30;25,890568;
2023-10-31;26,548118;
2023-11-30;26,564722;

