Nome: PIRAPORA
Codigo Estacao: A545
Latitude: -17.258064
Longitude: -44.835556
Altitude: 505.32
Situacao: Operante
Data Inicial: 2007-07-03
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-07-31;21,246766;
2007-08-31;22,019641;
2007-09-30;24,819849;
2007-10-31;27,576841;
2007-11-30;26,863141;
2007-12-31;25,280376;
2008-01-31;24,875806;
2008-02-29;24,74885;
2008-03-31;23,98414;
2008-04-30;24,165695;
2008-05-31;21,116205;
2008-06-30;20,794108;
2008-07-31;19,243683;
2008-08-31;22,659409;
2008-09-30;24,72375;
2008-10-31;28,20215;
2008-11-30;25,374535;
2008-12-31;24,148522;
2009-01-31;24,867222;
2009-02-28;25,537649;
2009-03-31;25,336828;
2009-04-30;23,407222;
2009-05-31;21,384543;
2009-06-30;20,670833;
2009-07-31;21,570565;
2009-08-31;22,543952;
2009-09-30;25,487361;
2009-10-31;25,095402;
2009-11-30;25,342222;
2009-12-31;23,571371;
2010-01-31;25,283358;
2010-02-28;26,197024;
2010-03-31;24,791263;
2010-04-30;22,874167;
2010-05-31;22,329301;
2010-06-30;19,224713;
2010-07-31;20,990457;
2010-08-31;20,905958;
2010-09-30;24,258025;
2010-10-31;null;
2010-11-30;23,944722;
2010-12-31;24,798521;
2011-01-31;24,525672;
2011-02-28;25,790476;
2011-03-31;23,741092;
2011-04-30;23,536667;
2011-05-31;20,949059;
2011-06-30;19,724583;
2011-07-31;19,403495;
2011-08-31;21,997043;
2011-09-30;23,36625;
2011-10-31;23,94207;
2011-11-30;23,049112;
2011-12-31;23,351075;
2012-01-31;24,205762;
2012-02-29;24,979451;
2012-03-31;24,387118;
2012-04-30;25,017892;
2012-05-31;21,570512;
2012-06-30;20,892222;
2012-07-31;20,339426;
2012-08-31;21,133406;
2012-09-30;23,918418;
2012-10-31;26,43629;
2012-11-30;24,505447;
2012-12-31;26,866363;
2013-01-31;24,773159;
2013-02-28;25,773771;
2013-03-31;25,423432;
2013-04-30;23,466389;
2013-05-31;21,644968;
2013-06-30;21,625037;
2013-07-31;20,975964;
2013-08-31;22,403091;
2013-09-30;24,399616;
2013-10-31;24,71401;
2013-11-30;25,406434;
2013-12-31;24,224583;
2014-01-31;25,054464;
2014-02-28;25,412232;
2014-03-31;24,967608;
2014-04-30;24,54096;
2014-05-31;21,848081;
2014-06-30;21,096536;
2014-07-31;20,771389;
2014-08-31;21,515651;
2014-09-30;25,071669;
2014-10-31;25,875251;
2014-11-30;25,230202;
2014-12-31;null;
2015-01-31;null;
2015-02-28;24,630697;
2015-03-31;25,132095;
2015-04-30;25,012238;
2015-05-31;22,61954;
2015-06-30;21,7391;
2015-07-31;21,905538;
2015-08-31;22,910465;
2015-09-30;null;
2015-10-31;28,676333;
2015-11-30;28,063194;
2015-12-31;26,915726;
2016-01-31;24,753226;
2016-02-29;26,224138;
2016-03-31;25,197715;
2016-04-30;25,014861;
2016-05-31;22,779032;
2016-06-30;20,969445;
2016-07-31;null;
2016-08-31;null;
2016-09-30;26,200735;
2016-10-31;27,282034;
2016-11-30;25,304726;
2016-12-31;25,5053;
2017-01-31;26,708785;
2017-02-28;null;
2017-03-31;null;
2017-04-30;25,464716;
2017-05-31;23,328495;
2017-06-30;21,581466;
2017-07-31;20,132258;
2017-08-31;22,496525;
2017-09-30;24,6541;
2017-10-31;27,245001;
2017-11-30;25,188914;
2017-12-31;24,900586;
2018-01-31;25,806306;
2018-02-28;24,814176;
2018-03-31;25,520406;
2018-04-30;23,573702;
2018-05-31;21,730797;
2018-06-30;21,399178;
2018-07-31;20,717742;
2018-08-31;23,170161;
2018-09-30;25,559414;
2018-10-31;27,2696;
2018-11-30;24,563276;
2018-12-31;24,80762;
2019-01-31;26,40793;
2019-02-28;25,796144;
2019-03-31;25,521961;
2019-04-30;25,1125;
2019-05-31;23,742339;
2019-06-30;21,624583;
2019-07-31;21,469928;
2019-08-31;23,139167;
2019-09-30;26,331944;
2019-10-31;27,615773;
2019-11-30;27,443484;
2019-12-31;26,333029;
2020-01-31;25,798276;
2020-02-29;25,647514;
2020-03-31;24,727367;
2020-04-30;24,265417;
2020-05-31;20,971909;
2020-06-30;20,639861;
2020-07-31;21,04207;
2020-08-31;22,403226;
2020-09-30;25,825417;
2020-10-31;26,589919;
2020-11-30;25,041862;
2020-12-31;25,688441;
2021-01-31;26,027151;
2021-02-28;24,502232;
2021-03-31;24,705914;
2021-04-30;23,623056;
2021-05-31;21,996909;
2021-06-30;21,131667;
2021-07-31;19,577823;
2021-08-31;22,470565;
2021-09-30;26,110268;
2021-10-31;26,457258;
2021-11-30;24,519826;
2021-12-31;24,713533;
2022-01-31;24,991576;
2022-02-28;24,649557;
2022-03-31;26,01117;
2022-04-30;25,195278;
2022-05-31;20,986962;
2022-06-30;19,753849;
2022-07-31;20,307864;
2022-08-31;22,777706;
2022-09-30;25,057412;
2022-10-31;26,45875;
2022-11-30;24,439125;
2022-12-31;24,542608;
2023-01-31;24,689397;
2023-02-28;26,49259;
2023-03-31;26,037939;
2023-04-30;25,166721;
2023-05-31;22,232609;
2023-06-30;20,696806;
2023-07-31;21,432796;
2023-08-31;23,518414;
2023-09-30;27,087397;
2023-10-31;27,814339;
2023-11-30;27,972474;

