Nome: GUARDA-MOR
Codigo Estacao: A546
Latitude: -17.56138888
Longitude: -47.19916666
Altitude: 997.01
Situacao: Operante
Data Inicial: 2007-07-10
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-07-31;19,483104;
2007-08-31;19,415749;
2007-09-30;22,043895;
2007-10-31;23,599655;
2007-11-30;22,394712;
2007-12-31;22,033199;
2008-01-31;21,503629;
2008-02-29;21,609483;
2008-03-31;21,099462;
2008-04-30;21,788333;
2008-05-31;19,304763;
2008-06-30;18,802989;
2008-07-31;17,747177;
2008-08-31;20,464785;
2008-09-30;22,207222;
2008-10-31;24,215054;
2008-11-30;22,031455;
2008-12-31;21,654839;
2009-01-31;21,795968;
2009-02-28;22,219345;
2009-03-31;22,577823;
2009-04-30;20,635;
2009-05-31;19,406586;
2009-06-30;18,155556;
2009-07-31;19,794624;
2009-08-31;19,919624;
2009-09-30;22,847639;
2009-10-31;21,851256;
2009-11-30;22,956111;
2009-12-31;21,49422;
2010-01-31;22,121017;
2010-02-28;22,650744;
2010-03-31;22,167742;
2010-04-30;20,944722;
2010-05-31;20,186425;
2010-06-30;17,732917;
2010-07-31;18,560215;
2010-08-31;19,443297;
2010-09-30;22,127222;
2010-10-31;22,983333;
2010-11-30;21,389444;
2010-12-31;22,484677;
2011-01-31;21,745968;
2011-02-28;22,592559;
2011-03-31;21,296149;
2011-04-30;20,783889;
2011-05-31;19,066667;
2011-06-30;18,051389;
2011-07-31;18,765995;
2011-08-31;21,132392;
2011-09-30;22,155972;
2011-10-31;21,048925;
2011-11-30;21,048889;
2011-12-31;21,090323;
2012-01-31;20,669893;
2012-02-29;21,685057;
2012-03-31;21,768952;
2012-04-30;22,156805;
2012-05-31;18,927688;
2012-06-30;19,608889;
2012-07-31;18,872312;
2012-08-31;18,91125;
2012-09-30;22,499167;
2012-10-31;23,791801;
2012-11-30;22,075833;
2012-12-31;23,32164;
2013-01-31;21,410618;
2013-02-28;22,405655;
2013-03-31;22,087787;
2013-04-30;20,471528;
2013-05-31;19,898656;
2013-06-30;19,684356;
2013-07-31;19,084005;
2013-08-31;19,747177;
2013-09-30;21,564583;
2013-10-31;21,695699;
2013-11-30;22,005278;
2013-12-31;21,768011;
2014-01-31;21,960484;
2014-02-28;22,19881;
2014-03-31;21,779704;
2014-04-30;21,470556;
2014-05-31;19,526613;
2014-06-30;18,768889;
2014-07-31;18,118817;
2014-08-31;20,649722;
2014-09-30;22,911805;
2014-10-31;23,648253;
2014-11-30;22,391389;
2014-12-31;21,53871;
2015-01-31;23,623761;
2015-02-28;22,036458;
2015-03-31;21,55121;
2015-04-30;21,840556;
2015-05-31;19,277957;
2015-06-30;18,5675;
2015-07-31;19,366667;
2015-08-31;20,643414;
2015-09-30;null;
2015-10-31;26,686957;
2015-11-30;null;
2015-12-31;null;
2016-01-31;null;
2016-02-29;null;
2016-03-31;23,810556;
2016-04-30;null;
2016-05-31;null;
2016-06-30;null;
2016-07-31;20,069489;
2016-08-31;21,253629;
2016-09-30;23,960833;
2016-10-31;23,943548;
2016-11-30;21,947361;
2016-12-31;22,284812;
2017-01-31;22,879704;
2017-02-28;21,657738;
2017-03-31;23,048387;
2017-04-30;22,593889;
2017-05-31;20,489651;
2017-06-30;19,026806;
2017-07-31;16,744355;
2017-08-31;20,931183;
2017-09-30;20,953889;
2017-10-31;24,186559;
2017-11-30;22,018472;
2017-12-31;22,057661;
2018-01-31;22,25336;
2018-02-28;21,909524;
2018-03-31;22,947984;
2018-04-30;20,654454;
2018-05-31;19,083333;
2018-06-30;19,511458;
2018-07-31;null;
2018-08-31;20,694271;
2018-09-30;22,888889;
2018-10-31;23,596371;
2018-11-30;21,360556;
2018-12-31;22,796236;
2019-01-31;23,259005;
2019-02-28;22,81503;
2019-03-31;22,089516;
2019-04-30;21,915556;
2019-05-31;20,845968;
2019-06-30;19,094444;
2019-07-31;18,474866;
2019-08-31;20,86707;
2019-09-30;24,364444;
2019-10-31;24,297177;
2019-11-30;23,337361;
2019-12-31;22,786004;
2020-01-31;23,033064;
2020-02-29;22,291667;
2020-03-31;22,042204;
2020-04-30;21,461945;
2020-05-31;18,747581;
2020-06-30;19,018472;
2020-07-31;19,310887;
2020-08-31;19,541129;
2020-09-30;23,667778;
2020-10-31;24,301478;
2020-11-30;22,295;
2020-12-31;22,870699;
2021-01-31;23,107124;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;null;
2022-01-31;null;
2022-02-28;null;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;19,176449;
2022-08-31;20,597177;
2022-09-30;22,595694;
2022-10-31;23,204021;
2022-11-30;21,157778;
2022-12-31;21,341801;
2023-01-31;21,431989;
2023-02-28;23,033036;
2023-03-31;22,953454;
2023-04-30;21,490278;
2023-05-31;20,203898;
2023-06-30;18,916389;
2023-07-31;20,049731;
2023-08-31;21,622917;
2023-09-30;24,763472;
2023-10-31;24,91586;
2023-11-30;25,338056;

