Nome: SAO ROMAO
Codigo Estacao: A547
Latitude: -16.36277777
Longitude: -45.12388888
Altitude: 490.29
Situacao: Operante
Data Inicial: 2007-06-29
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-06-30;null;
2007-07-31;20,788725;
2007-08-31;21,388564;
2007-09-30;24,377361;
2007-10-31;27,117987;
2007-11-30;26,938141;
2007-12-31;25,110081;
2008-01-31;25,080645;
2008-02-29;24,937787;
2008-03-31;24,068145;
2008-04-30;24,14625;
2008-05-31;21,118291;
2008-06-30;20,428265;
2008-07-31;19,324059;
2008-08-31;22,484274;
2008-09-30;24,779408;
2008-10-31;27,828495;
2008-11-30;25,357965;
2008-12-31;24,11922;
2009-01-31;24,742146;
2009-02-28;25,169196;
2009-03-31;25,326479;
2009-04-30;23,528889;
2009-05-31;21,283065;
2009-06-30;20,57;
2009-07-31;20,814382;
2009-08-31;22,546102;
2009-09-30;26,1025;
2009-10-31;26,415517;
2009-11-30;26,808611;
2009-12-31;25,014919;
2010-01-31;25,862928;
2010-02-28;25,835714;
2010-03-31;25,439113;
2010-04-30;23,436944;
2010-05-31;23,260215;
2010-06-30;20,070694;
2010-07-31;21,584812;
2010-08-31;21,552289;
2010-09-30;24,716333;
2010-10-31;26,498415;
2010-11-30;24,129861;
2010-12-31;24,87164;
2011-01-31;24,411022;
2011-02-28;25,19494;
2011-03-31;24,16075;
2011-04-30;23,20875;
2011-05-31;21,218952;
2011-06-30;20,253611;
2011-07-31;19,90578;
2011-08-31;22,647446;
2011-09-30;24,036111;
2011-10-31;24,841129;
2011-11-30;23,572083;
2011-12-31;23,823253;
2012-01-31;24,035215;
2012-02-29;24,91681;
2012-03-31;25,026882;
2012-04-30;24,652917;
2012-05-31;22,216532;
2012-06-30;22,508472;
2012-07-31;21,396371;
2012-08-31;22,339028;
2012-09-30;25,432222;
2012-10-31;27,627554;
2012-11-30;24,852917;
2012-12-31;27,315323;
2013-01-31;25,00793;
2013-02-28;25,667708;
2013-03-31;null;
2013-04-30;23,598599;
2013-05-31;22,215457;
2013-06-30;22,306629;
2013-07-31;22,056124;
2013-08-31;23,456452;
2013-09-30;25,665;
2013-10-31;25,104704;
2013-11-30;25,756667;
2013-12-31;24,996324;
2014-01-31;25,008025;
2014-02-28;25,273661;
2014-03-31;24,96129;
2014-04-30;24,915417;
2014-05-31;22,619892;
2014-06-30;21,71125;
2014-07-31;21,465188;
2014-08-31;22,653495;
2014-09-30;26,167083;
2014-10-31;27,065188;
2014-11-30;26,584028;
2014-12-31;26,002917;
2015-01-31;26,565773;
2015-02-28;25,241964;
2015-03-31;25,008737;
2015-04-30;25,036111;
2015-05-31;22,728226;
2015-06-30;22,056806;
2015-07-31;22,384274;
2015-08-31;23,27715;
2015-09-30;27,528889;
2015-10-31;null;
2015-11-30;null;
2015-12-31;27,407662;
2016-01-31;25,591299;
2016-02-29;null;
2016-03-31;25,529529;
2016-04-30;25,070417;
2016-05-31;23,478898;
2016-06-30;21,60125;
2016-07-31;21,929032;
2016-08-31;24,029435;
2016-09-30;26,886111;
2016-10-31;27,539113;
2016-11-30;25,991389;
2016-12-31;25,479301;
2017-01-31;26,566935;
2017-02-28;25,165476;
2017-03-31;25,690188;
2017-04-30;25,589861;
2017-05-31;24,097984;
2017-06-30;22,740556;
2017-07-31;21,175134;
2017-08-31;23,083737;
2017-09-30;25,255278;
2017-10-31;28,287097;
2017-11-30;25,665411;
2017-12-31;25,116532;
2018-01-31;25,778091;
2018-02-28;24,630242;
2018-03-31;25,376981;
2018-04-30;23,503182;
2018-05-31;21,945699;
2018-06-30;21,759167;
2018-07-31;20,928226;
2018-08-31;24,166667;
2018-09-30;25,903194;
2018-10-31;28,065726;
2018-11-30;25,121111;
2018-12-31;24,960349;
2019-01-31;26,145833;
2019-02-28;26,23244;
2019-03-31;25,964919;
2019-04-30;25,155556;
2019-05-31;23,933871;
2019-06-30;22,004444;
2019-07-31;21,05672;
2019-08-31;23,690323;
2019-09-30;26,874861;
2019-10-31;28,662097;
2019-11-30;28,765;
2019-12-31;27,394624;
2020-01-31;26,104167;
2020-02-29;25,962069;
2020-03-31;24,546875;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;27,110333;
2020-11-30;25,227917;
2020-12-31;25,601479;
2021-01-31;27,01707;
2021-02-28;27,212054;
2021-03-31;26,888844;
2021-04-30;26,079861;
2021-05-31;23,131855;
2021-06-30;21,481806;
2021-07-31;20,86586;
2021-08-31;23,159543;
2021-09-30;27,099712;
2021-10-31;28,135349;
2021-11-30;27,590278;
2021-12-31;27,378629;
2022-01-31;26,822043;
2022-02-28;26,185863;
2022-03-31;26,403495;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;20,9395;
2022-08-31;23,335215;
2022-09-30;25,961528;
2022-10-31;27,441263;
2022-11-30;24,988889;
2022-12-31;24,954704;
2023-01-31;24,920161;
2023-02-28;26,312946;
2023-03-31;25,870565;
2023-04-30;25,765556;
2023-05-31;22,923387;
2023-06-30;21,746528;
2023-07-31;22,344758;
2023-08-31;24,487365;
2023-09-30;28,196528;
2023-10-31;29,201344;
2023-11-30;28,761528;

