Nome: CHAPADA GAUCHA
Codigo Estacao: A548
Latitude: -15.30027777
Longitude: -45.61749999
Altitude: 873.2
Situacao: Operante
Data Inicial: 2007-06-21
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-06-30;null;
2007-07-31;20,915872;
2007-08-31;20,62209;
2007-09-30;23,259722;
2007-10-31;25,735314;
2007-11-30;25,019231;
2007-12-31;23,427419;
2008-01-31;23,20793;
2008-02-29;22,929167;
2008-03-31;22,302688;
2008-04-30;22,989722;
2008-05-31;21,178758;
2008-06-30;20,528995;
2008-07-31;19,378226;
2008-08-31;22,226613;
2008-09-30;24,135556;
2008-10-31;26,10457;
2008-11-30;23,110399;
2008-12-31;22,446102;
2009-01-31;23,213388;
2009-02-28;23,297768;
2009-03-31;23,802957;
2009-04-30;22,094722;
2009-05-31;20,688979;
2009-06-30;20,357639;
2009-07-31;21,469489;
2009-08-31;21,980914;
2009-09-30;24,905139;
2009-10-31;23,711494;
2009-11-30;24,219167;
2009-12-31;22,699731;
2010-01-31;23,885142;
2010-02-28;24,359524;
2010-03-31;23,186021;
2010-04-30;22,32375;
2010-05-31;22,391129;
2010-06-30;20,013611;
2010-07-31;20,243145;
2010-08-31;21,02433;
2010-09-30;23,643056;
2010-10-31;25,147715;
2010-11-30;21,934583;
2010-12-31;null;
2011-01-31;null;
2011-02-28;23,868006;
2011-03-31;22,400853;
2011-04-30;22,299722;
2011-05-31;20,778629;
2011-06-30;20,428472;
2011-07-31;20,398118;
2011-08-31;22,892608;
2011-09-30;23,578056;
2011-10-31;22,602151;
2011-11-30;21,693889;
2011-12-31;22,310887;
2012-01-31;22,27379;
2012-02-29;23,218534;
2012-03-31;23,316129;
2012-04-30;23,797222;
2012-05-31;21,166263;
2012-06-30;21,856944;
2012-07-31;21,138038;
2012-08-31;20,598472;
2012-09-30;24,394583;
2012-10-31;25,692204;
2012-11-30;22,399167;
2012-12-31;25,561962;
2013-01-31;22,99664;
2013-02-28;24,458631;
2013-03-31;24,197126;
2013-04-30;22,052083;
2013-05-31;21,845161;
2013-06-30;21,433535;
2013-07-31;21,396237;
2013-08-31;22,213258;
2013-09-30;23,954306;
2013-10-31;23,873387;
2013-11-30;23,844167;
2013-12-31;22,908871;
2014-01-31;23,827823;
2014-02-28;23,386905;
2014-03-31;22,884946;
2014-04-30;23,093333;
2014-05-31;21,772061;
2014-06-30;null;
2014-07-31;null;
2014-08-31;null;
2014-09-30;24,514444;
2014-10-31;24,778226;
2014-11-30;23,730972;
2014-12-31;23,075941;
2015-01-31;25,2937;
2015-02-28;23,365476;
2015-03-31;22,896909;
2015-04-30;22,898889;
2015-05-31;21,142473;
2015-06-30;20,843194;
2015-07-31;21,477554;
2015-08-31;22,417742;
2015-09-30;26,618611;
2015-10-31;27,15457;
2015-11-30;25,974306;
2015-12-31;25,759274;
2016-01-31;23,02164;
2016-02-29;25,356178;
2016-03-31;24,283602;
2016-04-30;24,802235;
2016-05-31;null;
2016-06-30;null;
2016-07-31;null;
2016-08-31;null;
2016-09-30;null;
2016-10-31;null;
2016-11-30;23,801698;
2016-12-31;24,037613;
2017-01-31;25,153477;
2017-02-28;22,845305;
2017-03-31;23,925455;
2017-04-30;23,937083;
2017-05-31;22,498974;
2017-06-30;21,474425;
2017-07-31;19,222581;
2017-08-31;22,752494;
2017-09-30;23,070237;
2017-10-31;26,193707;
2017-11-30;23,300913;
2017-12-31;23,549453;
2018-01-31;23,672078;
2018-02-28;22,62269;
2018-03-31;23,791496;
2018-04-30;21,918146;
2018-05-31;21,157946;
2018-06-30;21,09277;
2018-07-31;20,996505;
2018-08-31;23,160887;
2018-09-30;24,693104;
2018-10-31;25,785215;
2018-11-30;22,652554;
2018-12-31;23,416912;
2019-01-31;24,838084;
2019-02-28;24,135941;
2019-03-31;23,320173;
2019-04-30;23,487897;
2019-05-31;23,074328;
2019-06-30;21,191667;
2019-07-31;20,582796;
2019-08-31;22,698925;
2019-09-30;25,214028;
2019-10-31;26,150538;
2019-11-30;26,058576;
2019-12-31;25,337824;
2020-01-31;24,118344;
2020-02-29;23,448657;
2020-03-31;22,38412;
2020-04-30;22,532222;
2020-05-31;20,583064;
2020-06-30;20,486944;
2020-07-31;20,52164;
2020-08-31;21,35793;
2020-09-30;24,841667;
2020-10-31;25,58625;
2020-11-30;23,288313;
2020-12-31;24,301119;
2021-01-31;24,137137;
2021-02-28;22,523399;
2021-03-31;23,269372;
2021-04-30;22,551528;
2021-05-31;21,713844;
2021-06-30;20,949722;
2021-07-31;20,329973;
2021-08-31;21,845296;
2021-09-30;26,289861;
2021-10-31;25,073118;
2021-11-30;22,679722;
2021-12-31;22,130914;
2022-01-31;22,935215;
2022-02-28;22,412351;
2022-03-31;24,186528;
2022-04-30;23,94599;
2022-05-31;21,255376;
2022-06-30;20,690767;
2022-07-31;20,675789;
2022-08-31;22,364247;
2022-09-30;24,376082;
2022-10-31;25,250661;
2022-11-30;22,157979;
2022-12-31;22,394471;
2023-01-31;22,956477;
2023-02-28;25,053049;
2023-03-31;24,17215;
2023-04-30;23,638056;
2023-05-31;22,232772;
2023-06-30;21,260139;
2023-07-31;21,725134;
2023-08-31;23,463984;
2023-09-30;26,009514;
2023-10-31;27,214578;
2023-11-30;27,330104;

