Nome: AGUAS VERMELHAS
Codigo Estacao: A549
Latitude: -15.751536
Longitude: -41.457787
Altitude: 754.07
Situacao: Operante
Data Inicial: 2007-09-08
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-09-30;19,985417;
2007-10-31;22,241637;
2007-11-30;23,267628;
2007-12-31;22,576613;
2008-01-31;22,188038;
2008-02-29;22,499569;
2008-03-31;21,899866;
2008-04-30;22,1425;
2008-05-31;19,278331;
2008-06-30;18,085409;
2008-07-31;16,234005;
2008-08-31;18,71828;
2008-09-30;20,651667;
2008-10-31;22,617204;
2008-11-30;22,712548;
2008-12-31;22,215995;
2009-01-31;22,470103;
2009-02-28;23,063542;
2009-03-31;23,556183;
2009-04-30;21,625278;
2009-05-31;19,197446;
2009-06-30;18,76375;
2009-07-31;18,320699;
2009-08-31;19,244355;
2009-09-30;22,119167;
2009-10-31;22,886638;
2009-11-30;22,690556;
2009-12-31;22,961694;
2010-01-31;23,933272;
2010-02-28;24,272917;
2010-03-31;22,891263;
2010-04-30;21,381389;
2010-05-31;20,82621;
2010-06-30;17,257222;
2010-07-31;17,834946;
2010-08-31;17,956824;
2010-09-30;20,172639;
2010-10-31;23,036962;
2010-11-30;22,308333;
2010-12-31;22,288979;
2011-01-31;22,15914;
2011-02-28;22,718155;
2011-03-31;22,75064;
2011-04-30;21,124444;
2011-05-31;18,878226;
2011-06-30;18,054885;
2011-07-31;null;
2011-08-31;19,167204;
2011-09-30;19,088333;
2011-10-31;21,475672;
2011-11-30;20,577361;
2011-12-31;22,048656;
2012-01-31;21,975403;
2012-02-29;22,122414;
2012-03-31;22,855914;
2012-04-30;22,663889;
2012-05-31;19,841532;
2012-06-30;20,093391;
2012-07-31;18,066532;
2012-08-31;17,844722;
2012-09-30;20,719028;
2012-10-31;22,457392;
2012-11-30;22,045;
2012-12-31;23,266398;
2013-01-31;23,341532;
2013-02-28;23,033185;
2013-03-31;23,904454;
2013-04-30;21,300417;
2013-05-31;20,412097;
2013-06-30;19,361174;
2013-07-31;18,399306;
2013-08-31;18,756452;
2013-09-30;20,858611;
2013-10-31;21,550269;
2013-11-30;22,425972;
2013-12-31;21,973253;
2014-01-31;22,11828;
2014-02-28;22,197768;
2014-03-31;22,864919;
2014-04-30;21,9075;
2014-05-31;20,220565;
2014-06-30;18,895833;
2014-07-31;17,768414;
2014-08-31;18,033418;
2014-09-30;null;
2014-10-31;21,75;
2014-11-30;null;
2014-12-31;22,3035;
2015-01-31;23,358398;
2015-02-28;22,755952;
2015-03-31;22,699059;
2015-04-30;21,662639;
2015-05-31;20,017339;
2015-06-30;18,780556;
2015-07-31;18,541935;
2015-08-31;null;
2015-09-30;22,855556;
2015-10-31;23,815323;
2015-11-30;24,754583;
2015-12-31;25,291801;
2016-01-31;23,736833;
2016-02-29;null;
2016-03-31;22,856167;
2016-04-30;21,954861;
2016-05-31;19,852957;
2016-06-30;18,810556;
2016-07-31;18,285887;
2016-08-31;19,982392;
2016-09-30;21,199306;
2016-10-31;22,392362;
2016-11-30;22,314167;
2016-12-31;22,322984;
2017-01-31;23,757527;
2017-02-28;22,820387;
2017-03-31;23,254435;
2017-04-30;21,818889;
2017-05-31;19,970685;
2017-06-30;18,533611;
2017-07-31;16,776868;
2017-08-31;17,662416;
2017-09-30;19,753425;
2017-10-31;null;
2017-11-30;23,3875;
2017-12-31;22,643683;
2018-01-31;23,262903;
2018-02-28;22,682589;
2018-03-31;22,860215;
2018-04-30;21,385833;
2018-05-31;19,993535;
2018-06-30;19,026111;
2018-07-31;18,191827;
2018-08-31;20,424431;
2018-09-30;21,633889;
2018-10-31;23,492753;
2018-11-30;22,237361;
2018-12-31;22,240591;
2019-01-31;23,149059;
2019-02-28;24,73006;
2019-03-31;23,382765;
2019-04-30;22,530972;
2019-05-31;21,376736;
2019-06-30;19,044565;
2019-07-31;17,261403;
2019-08-31;18,971909;
2019-09-30;21,350167;
2019-10-31;23,305914;
2019-11-30;24,038056;
2019-12-31;23,634409;
2020-01-31;23,672984;
2020-02-29;24,041667;
2020-03-31;22,282392;
2020-04-30;21,467917;
2020-05-31;19,7375;
2020-06-30;18,065556;
2020-07-31;17,466228;
2020-08-31;null;
2020-09-30;null;
2020-10-31;23,065799;
2020-11-30;21,297778;
2020-12-31;22,701613;
2021-01-31;23,10793;
2021-02-28;22,632441;
2021-03-31;22,049194;
2021-04-30;21,391806;
2021-05-31;18,917339;
2021-06-30;18,239861;
2021-07-31;17,476613;
2021-08-31;18,195161;
2021-09-30;21,774856;
2021-10-31;23,270296;
2021-11-30;21,925321;
2021-12-31;null;
2022-01-31;null;
2022-02-28;22,935556;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;16,364655;
2022-07-31;17,715054;
2022-08-31;18,236559;
2022-09-30;20,801442;
2022-10-31;22,918011;
2022-11-30;21,534722;
2022-12-31;21,627957;
2023-01-31;22,419355;
2023-02-28;22,669196;
2023-03-31;22,380376;
2023-04-30;21,87125;
2023-05-31;19,717742;
2023-06-30;17,810417;
2023-07-31;17,871505;
2023-08-31;19,535887;
2023-09-30;21,425139;
2023-10-31;23,313167;
2023-11-30;25,068472;

