Nome: ITAOBIM
Codigo Estacao: A550
Latitude: -16.57555554
Longitude: -41.48555555
Altitude: 271.63
Situacao: Operante
Data Inicial: 2007-09-04
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-09-30;24,484833;
2007-10-31;26,90523;
2007-11-30;27,511762;
2007-12-31;26,298522;
2008-01-31;25,591263;
2008-02-29;25,856994;
2008-03-31;25,131381;
2008-04-30;25,617083;
2008-05-31;23,205556;
2008-06-30;22,426492;
2008-07-31;21,113038;
2008-08-31;23,687097;
2008-09-30;24,905417;
2008-10-31;27,441532;
2008-11-30;26,370417;
2008-12-31;25,109812;
2009-01-31;25,689335;
2009-02-28;26,884226;
2009-03-31;27,562366;
2009-04-30;24,443472;
2009-05-31;22,403226;
2009-06-30;22,626667;
2009-07-31;22,715457;
2009-08-31;23,851075;
2009-09-30;27,025556;
2009-10-31;26,448495;
2009-11-30;26,490139;
2009-12-31;26,633064;
2010-01-31;29,038465;
2010-02-28;28,571875;
2010-03-31;25,877554;
2010-04-30;24,802639;
2010-05-31;24,261694;
2010-06-30;21,668611;
2010-07-31;22,58293;
2010-08-31;22,80104;
2010-09-30;25,089028;
2010-10-31;26,73871;
2010-11-30;25,684583;
2010-12-31;25,793548;
2011-01-31;26,053495;
2011-02-28;27,491667;
2011-03-31;26,188903;
2011-04-30;24,53;
2011-05-31;23,064113;
2011-06-30;22,852778;
2011-07-31;22,566263;
2011-08-31;24,423082;
2011-09-30;24,207886;
2011-10-31;25,677138;
2011-11-30;24,444722;
2011-12-31;25,479658;
2012-01-31;25,523387;
2012-02-29;26,719301;
2012-03-31;27,596979;
2012-04-30;27,782699;
2012-05-31;24,001315;
2012-06-30;24,436612;
2012-07-31;23,159683;
2012-08-31;22,751012;
2012-09-30;25,534119;
2012-10-31;26,935069;
2012-11-30;25,60708;
2012-12-31;27,695968;
2013-01-31;27,027957;
2013-02-28;27,812798;
2013-03-31;28,526006;
2013-04-30;25,897917;
2013-05-31;24,976344;
2013-06-30;24,148409;
2013-07-31;23,442548;
2013-08-31;23,84207;
2013-09-30;25,25125;
2013-10-31;25,436828;
2013-11-30;26,578056;
2013-12-31;25,751344;
2014-01-31;26,19207;
2014-02-28;27,175893;
2014-03-31;27,51465;
2014-04-30;27,234722;
2014-05-31;25,315054;
2014-06-30;23,60875;
2014-07-31;23,040995;
2014-08-31;23,506855;
2014-09-30;25,80625;
2014-10-31;26,322581;
2014-11-30;26,080616;
2014-12-31;null;
2015-01-31;null;
2015-02-28;null;
2015-03-31;null;
2015-04-30;null;
2015-05-31;24,127957;
2015-06-30;23,138056;
2015-07-31;23,414382;
2015-08-31;23,65516;
2015-09-30;27,737917;
2015-10-31;28,548253;
2015-11-30;29,435556;
2015-12-31;30,08217;
2016-01-31;27,246371;
2016-02-29;28,663937;
2016-03-31;29,091801;
2016-04-30;28,074167;
2016-05-31;25,396102;
2016-06-30;23,807778;
2016-07-31;23,042339;
2016-08-31;24,627951;
2016-09-30;26,330972;
2016-10-31;26,937903;
2016-11-30;25,951389;
2016-12-31;26,040591;
2017-01-31;28,565995;
2017-02-28;26,327679;
2017-03-31;27,242339;
2017-04-30;25,876667;
2017-05-31;24,451075;
2017-06-30;23,727361;
2017-07-31;21,395296;
2017-08-31;22,977688;
2017-09-30;24,362222;
2017-10-31;27,677823;
2017-11-30;26,347361;
2017-12-31;25,907796;
2018-01-31;28,060349;
2018-02-28;26,31369;
2018-03-31;26,435484;
2018-04-30;24,857083;
2018-05-31;24,585285;
2018-06-30;23,632997;
2018-07-31;22,824328;
2018-08-31;25,257796;
2018-09-30;26,692917;
2018-10-31;27,443414;
2018-11-30;26,076528;
2018-12-31;25,60672;
2019-01-31;28,281183;
2019-02-28;29,26994;
2019-03-31;28,419355;
2019-04-30;27,151667;
2019-05-31;26,249731;
2019-06-30;23,865;
2019-07-31;22,735215;
2019-08-31;23,743414;
2019-09-30;26,037639;
2019-10-31;27,792204;
2019-11-30;28,9;
2019-12-31;28,613038;
2020-01-31;28,056452;
2020-02-29;28,20273;
2020-03-31;25,471774;
2020-04-30;25,08125;
2020-05-31;23,297715;
2020-06-30;22,4125;
2020-07-31;22,200134;
2020-08-31;23,107796;
2020-09-30;26,432222;
2020-10-31;27,575134;
2020-11-30;24,893472;
2020-12-31;27,675;
2021-01-31;28,470699;
2021-02-28;26,451042;
2021-03-31;26,572446;
2021-04-30;25,352614;
2021-05-31;24,019062;
2021-06-30;23,387644;
2021-07-31;22,985139;
2021-08-31;23,503763;
2021-09-30;26,974167;
2021-10-31;27,60914;
2021-11-30;25,285833;
2021-12-31;24,858386;
2022-01-31;25,951747;
2022-02-28;26,220982;
2022-03-31;26,583333;
2022-04-30;26,4305;
2022-05-31;23,704669;
2022-06-30;21,640833;
2022-07-31;23,049866;
2022-08-31;23,383468;
2022-09-30;25,194028;
2022-10-31;27,444773;
2022-11-30;25,652292;
2022-12-31;24,604839;
2023-01-31;26,052688;
2023-02-28;27,326935;
2023-03-31;27,540323;
2023-04-30;26,335139;
2023-05-31;24,081586;
2023-06-30;22,669167;
2023-07-31;22,897178;
2023-08-31;25,221371;
2023-09-30;26,613056;
2023-10-31;28,497177;
2023-11-30;29,466162;

