Nome: RIO PARDO DE MINAS
Codigo Estacao: A551
Latitude: -15.72305554
Longitude: -42.43583333
Altitude: 850.06
Situacao: Operante
Data Inicial: 2007-11-16
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-11-30;null;
2007-12-31;22,598118;
2008-01-31;22,390001;
2008-02-29;22,607887;
2008-03-31;22,049515;
2008-04-30;21,664861;
2008-05-31;19,181667;
2008-06-30;18,125211;
2008-07-31;16,778629;
2008-08-31;19,463739;
2008-09-30;21,324167;
2008-10-31;23,360349;
2008-11-30;22,436806;
2008-12-31;21,814516;
2009-01-31;22,485274;
2009-02-28;23,041071;
2009-03-31;23,580107;
2009-04-30;21,371111;
2009-05-31;18,997581;
2009-06-30;19,189861;
2009-07-31;19,020296;
2009-08-31;19,759812;
2009-09-30;22,763333;
2009-10-31;22,844915;
2009-11-30;23,147222;
2009-12-31;22,92285;
2010-01-31;23,695429;
2010-02-28;23,847917;
2010-03-31;22,972043;
2010-04-30;21,16625;
2010-05-31;20,746505;
2010-06-30;17,816999;
2010-07-31;18,260887;
2010-08-31;18,625269;
2010-09-30;20,773056;
2010-10-31;23,370968;
2010-11-30;22,022083;
2010-12-31;22,493548;
2011-01-31;22,275672;
2011-02-28;23,053423;
2011-03-31;22,176856;
2011-04-30;21,181528;
2011-05-31;18,887069;
2011-06-30;18,244469;
2011-07-31;18,086312;
2011-08-31;19,769795;
2011-09-30;19,885175;
2011-10-31;21,639908;
2011-11-30;null;
2011-12-31;21,930716;
2012-01-31;21,906505;
2012-02-29;22,357253;
2012-03-31;22,80793;
2012-04-30;22,949028;
2012-05-31;null;
2012-06-30;null;
2012-07-31;19,062634;
2012-08-31;18,450556;
2012-09-30;21,465833;
2012-10-31;22,931989;
2012-11-30;21,695152;
2012-12-31;23,774194;
2013-01-31;23,215323;
2013-02-28;23,434077;
2013-03-31;23,846983;
2013-04-30;21,526806;
2013-05-31;20,482527;
2013-06-30;19,627879;
2013-07-31;18,818333;
2013-08-31;19,540457;
2013-09-30;21,382361;
2013-10-31;21,617608;
2013-11-30;22,296389;
2013-12-31;21,966264;
2014-01-31;22,334543;
2014-02-28;22,566816;
2014-03-31;22,252151;
2014-04-30;21,993611;
2014-05-31;20,376747;
2014-06-30;18,983056;
2014-07-31;18,408737;
2014-08-31;19,032796;
2014-09-30;21,248611;
2014-10-31;22,247312;
2014-11-30;22,204293;
2014-12-31;22,134409;
2015-01-31;23,365328;
2015-02-28;22,664435;
2015-03-31;22,849194;
2015-04-30;21,898056;
2015-05-31;19,85914;
2015-06-30;18,839028;
2015-07-31;18,937366;
2015-08-31;19,21371;
2015-09-30;23,303611;
2015-10-31;24,237769;
2015-11-30;24,750694;
2015-12-31;24,753898;
2016-01-31;22,834005;
2016-02-29;23,637213;
2016-03-31;23,218145;
2016-04-30;22,402639;
2016-05-31;20,258468;
2016-06-30;19,022083;
2016-07-31;18,623925;
2016-08-31;20,704839;
2016-09-30;22,032778;
2016-10-31;23,197931;
2016-11-30;22,563056;
2016-12-31;22,696505;
2017-01-31;23,498118;
2017-02-28;22,372024;
2017-03-31;23,194489;
2017-04-30;21,848333;
2017-05-31;20,080108;
2017-06-30;19,107778;
2017-07-31;16,971624;
2017-08-31;18,507639;
2017-09-30;20,089167;
2017-10-31;23,194263;
2017-11-30;23,153009;
2017-12-31;22,399328;
2018-01-31;23,065726;
2018-02-28;22,344643;
2018-03-31;22,864855;
2018-04-30;21,075278;
2018-05-31;19,756048;
2018-06-30;19,022222;
2018-07-31;18,258199;
2018-08-31;20,945027;
2018-09-30;22,369306;
2018-10-31;23,509005;
2018-11-30;21,929306;
2018-12-31;22,081452;
2019-01-31;23,172312;
2019-02-28;24,191369;
2019-03-31;23,73871;
2019-04-30;22,766945;
2019-05-31;21,504032;
2019-06-30;19,1375;
2019-07-31;17,991532;
2019-08-31;19,158468;
2019-09-30;21,507083;
2019-10-31;23,393683;
2019-11-30;23,9275;
2019-12-31;23,592607;
2020-01-31;23,368952;
2020-02-29;23,743678;
2020-03-31;21,960618;
2020-04-30;21,315972;
2020-05-31;19,667339;
2020-06-30;18,209861;
2020-07-31;17,980108;
2020-08-31;18,885081;
2020-09-30;21,639861;
2020-10-31;23,888978;
2020-11-30;21,402222;
2020-12-31;22,742473;
2021-01-31;23,361021;
2021-02-28;22,269196;
2021-03-31;22,195161;
2021-04-30;21,161528;
2021-05-31;19,582392;
2021-06-30;18,500556;
2021-07-31;17,575403;
2021-08-31;18,674194;
2021-09-30;22,179367;
2021-10-31;23,415457;
2021-11-30;21,60273;
2021-12-31;21,785215;
2022-01-31;22,618611;
2022-02-28;22,559375;
2022-03-31;22,431667;
2022-04-30;null;
2022-05-31;null;
2022-06-30;16,921944;
2022-07-31;18,1;
2022-08-31;18,908468;
2022-09-30;20,746389;
2022-10-31;22,932258;
2022-11-30;21,155;
2022-12-31;21,769273;
2023-01-31;22,505645;
2023-02-28;23,148512;
2023-03-31;22,690603;
2023-04-30;22,095;
2023-05-31;19,878629;
2023-06-30;18,165139;
2023-07-31;18,530511;
2023-08-31;20,37164;
2023-09-30;22,252778;
2023-10-31;23,755639;
2023-11-30;25,286667;

