Nome: SALINAS
Codigo Estacao: A552
Latitude: -16.16027777
Longitude: -42.31027777
Altitude: 487.14
Situacao: Operante
Data Inicial: 2007-09-13
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-09-30;23,366422;
2007-10-31;25,831872;
2007-11-30;26,445652;
2007-12-31;24,652285;
2008-01-31;24,246505;
2008-02-29;24,213244;
2008-03-31;24,626519;
2008-04-30;23,843056;
2008-05-31;21,2275;
2008-06-30;20,542083;
2008-07-31;18,985753;
2008-08-31;21,963978;
2008-09-30;23,801528;
2008-10-31;26,483064;
2008-11-30;25,033472;
2008-12-31;23,773253;
2009-01-31;24,404915;
2009-02-28;24,991072;
2009-03-31;25,107527;
2009-04-30;23,21875;
2009-05-31;20,368011;
2009-06-30;20,341111;
2009-07-31;20,086828;
2009-08-31;21,913038;
2009-09-30;25,098056;
2009-10-31;25,184339;
2009-11-30;24,243611;
2009-12-31;24,462903;
2010-01-31;25,575555;
2010-02-28;25,999851;
2010-03-31;24,492134;
2010-04-30;22,824167;
2010-05-31;22,164247;
2010-06-30;19,338889;
2010-07-31;20,707124;
2010-08-31;20,453226;
2010-09-30;23,534444;
2010-10-31;26,019489;
2010-11-30;24,284167;
2010-12-31;24,334271;
2011-01-31;null;
2011-02-28;null;
2011-03-31;null;
2011-04-30;23,385833;
2011-05-31;21,528717;
2011-06-30;20,684028;
2011-07-31;20,359274;
2011-08-31;22,308064;
2011-09-30;22,560972;
2011-10-31;24,152554;
2011-11-30;22,9275;
2011-12-31;23,851478;
2012-01-31;23,781528;
2012-02-29;25,064224;
2012-03-31;25,352209;
2012-04-30;25,519722;
2012-05-31;22,335887;
2012-06-30;22,14181;
2012-07-31;21,32074;
2012-08-31;21,398194;
2012-09-30;24,634028;
2012-10-31;26,205108;
2012-11-30;24,111477;
2012-12-31;25,51707;
2013-01-31;25,66669;
2013-02-28;25,532208;
2013-03-31;26,54727;
2013-04-30;24,513611;
2013-05-31;23,186425;
2013-06-30;22,608876;
2013-07-31;21,929283;
2013-08-31;22,838312;
2013-09-30;24,760211;
2013-10-31;25,077823;
2013-11-30;25,53875;
2013-12-31;23,970833;
2014-01-31;25,64058;
2014-02-28;26,254315;
2014-03-31;24,946667;
2014-04-30;25,770365;
2014-05-31;24,118683;
2014-06-30;22,811806;
2014-07-31;21,799597;
2014-08-31;21,878091;
2014-09-30;24,606667;
2014-10-31;25,703658;
2014-11-30;24,929444;
2014-12-31;24,625;
2015-01-31;26,235618;
2015-02-28;25,859822;
2015-03-31;26,591275;
2015-04-30;25,747222;
2015-05-31;23,860215;
2015-06-30;22,570556;
2015-07-31;22,914785;
2015-08-31;22,660349;
2015-09-30;26,972083;
2015-10-31;27,901964;
2015-11-30;27,847361;
2015-12-31;27,838844;
2016-01-31;26,195465;
2016-02-29;26,436782;
2016-03-31;27,393011;
2016-04-30;27,065217;
2016-05-31;24,256989;
2016-06-30;22,828889;
2016-07-31;22,934812;
2016-08-31;25,184543;
2016-09-30;26,346667;
2016-10-31;27,278185;
2016-11-30;26,317769;
2016-12-31;24,854466;
2017-01-31;26,79891;
2017-02-28;null;
2017-03-31;25,821371;
2017-04-30;24,6775;
2017-05-31;23,07043;
2017-06-30;22,249028;
2017-07-31;20,201882;
2017-08-31;21,380645;
2017-09-30;23,846806;
2017-10-31;26,747838;
2017-11-30;24,832361;
2017-12-31;24,222177;
2018-01-31;25,364516;
2018-02-28;24,39122;
2018-03-31;24,461962;
2018-04-30;23,735417;
2018-05-31;22,542473;
2018-06-30;21,580972;
2018-07-31;21,13996;
2018-08-31;24,100538;
2018-09-30;25,389167;
2018-10-31;26,503091;
2018-11-30;24,364861;
2018-12-31;23,945296;
2019-01-31;25,489382;
2019-02-28;26,835268;
2019-03-31;26,390591;
2019-04-30;25,192083;
2019-05-31;24,159689;
2019-06-30;22,329468;
2019-07-31;21,034005;
2019-08-31;22,418011;
2019-09-30;25,049921;
2019-10-31;27,050538;
2019-11-30;27,716111;
2019-12-31;26,698247;
2020-01-31;26,413441;
2020-02-29;25,934339;
2020-03-31;24,001613;
2020-04-30;23,477083;
2020-05-31;21,789215;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;25,955242;
2021-02-28;24,295387;
2021-03-31;23,699597;
2021-04-30;23,344583;
2021-05-31;21,722849;
2021-06-30;20,754861;
2021-07-31;20,051882;
2021-08-31;20,935208;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;23,678226;
2022-01-31;24,124194;
2022-02-28;24,552381;
2022-03-31;24,633333;
2022-04-30;24,049583;
2022-05-31;21,252016;
2022-06-30;19,264881;
2022-07-31;null;
2022-08-31;21,891667;
2022-09-30;23,71625;
2022-10-31;26,495833;
2022-11-30;23,576528;
2022-12-31;23,62836;
2023-01-31;24,560887;
2023-02-28;24,878468;
2023-03-31;24,608065;
2023-04-30;24,285576;
2023-05-31;21,264663;
2023-06-30;null;
2023-07-31;null;
2023-08-31;23,721825;
2023-09-30;25,414592;
2023-10-31;null;
2023-11-30;27,36676;

