Nome: JOAO PINHEIRO
Codigo Estacao: A553
Latitude: -17.78444444
Longitude: -46.11944443
Altitude: 877.05
Situacao: Operante
Data Inicial: 2007-07-06
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-07-31;20,890602;
2007-08-31;20,89058;
2007-09-30;23,350187;
2007-10-31;25,202279;
2007-11-30;23,888141;
2007-12-31;23,092608;
2008-01-31;22,777823;
2008-02-29;23,333539;
2008-03-31;22,185753;
2008-04-30;23,190417;
2008-05-31;21,008883;
2008-06-30;20,498865;
2008-07-31;19,433602;
2008-08-31;22,050672;
2008-09-30;23,352778;
2008-10-31;25,692204;
2008-11-30;23,010284;
2008-12-31;22,441935;
2009-01-31;23,139078;
2009-02-28;23,687798;
2009-03-31;23,915054;
2009-04-30;21,880139;
2009-05-31;20,813978;
2009-06-30;19,592361;
2009-07-31;21,378763;
2009-08-31;21,20121;
2009-09-30;24,13125;
2009-10-31;23,183146;
2009-11-30;24,239028;
2009-12-31;22,339113;
2010-01-31;24,06773;
2010-02-28;24,71994;
2010-03-31;23,230645;
2010-04-30;22,16875;
2010-05-31;21,571237;
2010-06-30;19,125694;
2010-07-31;19,612634;
2010-08-31;20,958431;
2010-09-30;23,084583;
2010-10-31;24,247984;
2010-11-30;21,658429;
2010-12-31;null;
2011-01-31;null;
2011-02-28;null;
2011-03-31;22,177895;
2011-04-30;22,298056;
2011-05-31;20,991801;
2011-06-30;19,738889;
2011-07-31;20,273925;
2011-08-31;22,795296;
2011-09-30;23,304028;
2011-10-31;22,111156;
2011-11-30;21,558611;
2011-12-31;21,753629;
2012-01-31;22,155511;
2012-02-29;23,575862;
2012-03-31;23,177554;
2012-04-30;23,219722;
2012-05-31;20,245296;
2012-06-30;21,083472;
2012-07-31;20,397581;
2012-08-31;19,937361;
2012-09-30;23,553472;
2012-10-31;25,057661;
2012-11-30;22,599445;
2012-12-31;24,943548;
2013-01-31;22,700134;
2013-02-28;24,286905;
2013-03-31;23,433046;
2013-04-30;21,479028;
2013-05-31;21,195296;
2013-06-30;20,784129;
2013-07-31;20,686156;
2013-08-31;21,365621;
2013-09-30;22,916389;
2013-10-31;23,08078;
2013-11-30;23,354445;
2013-12-31;22,987634;
2014-01-31;23,722043;
2014-02-28;24,072768;
2014-03-31;23,022446;
2014-04-30;22,645556;
2014-05-31;21,483602;
2014-06-30;20,597361;
2014-07-31;19,495833;
2014-08-31;21,915726;
2014-09-30;24,020556;
2014-10-31;24,496371;
2014-11-30;23,336528;
2014-12-31;22,773118;
2015-01-31;25,279459;
2015-02-28;23,18244;
2015-03-31;22,752016;
2015-04-30;22,70875;
2015-05-31;20,305645;
2015-06-30;19,936667;
2015-07-31;20,518011;
2015-08-31;21,695027;
2015-09-30;25,685417;
2015-10-31;26,788575;
2015-11-30;25,581667;
2015-12-31;24,660349;
2016-01-31;22,865995;
2016-02-29;25,05431;
2016-03-31;24,038575;
2016-04-30;24,277222;
2016-05-31;22,280376;
2016-06-30;20,787361;
2016-07-31;21,348333;
2016-08-31;null;
2016-09-30;null;
2016-10-31;24,880376;
2016-11-30;22,595139;
2016-12-31;23,430242;
2017-01-31;25,537778;
2017-02-28;23,130345;
2017-03-31;23,872177;
2017-04-30;23,395278;
2017-05-31;21,545296;
2017-06-30;20,443611;
2017-07-31;17,984946;
2017-08-31;21,855242;
2017-09-30;21,959028;
2017-10-31;25,076613;
2017-11-30;22,649167;
2017-12-31;23,077957;
2018-01-31;23,715323;
2018-02-28;22,854167;
2018-03-31;23,772236;
2018-04-30;21,762778;
2018-05-31;20,423522;
2018-06-30;20,818889;
2018-07-31;20,508064;
2018-08-31;21,925538;
2018-09-30;23,736944;
2018-10-31;24,80578;
2018-11-30;22,093194;
2018-12-31;23,364113;
2019-01-31;25,039131;
2019-02-28;24,320089;
2019-03-31;23,607661;
2019-04-30;23,545417;
2019-05-31;22,401344;
2019-06-30;20,298611;
2019-07-31;19,743548;
2019-08-31;21,740591;
2019-09-30;25,066111;
2019-10-31;25,470207;
2019-11-30;null;
2019-12-31;23,674194;
2020-01-31;24,154032;
2020-02-29;23,136351;
2020-03-31;22,584005;
2020-04-30;22,280833;
2020-05-31;20,390972;
2020-06-30;20,154028;
2020-07-31;20,545679;
2020-08-31;20,28078;
2020-09-30;24,408056;
2020-10-31;25,029167;
2020-11-30;23,165;
2020-12-31;23,748925;
2021-01-31;23,88965;
2021-02-28;22,343601;
2021-03-31;23,608871;
2021-04-30;22,823718;
2021-05-31;null;
2021-06-30;20,72875;
2021-07-31;null;
2021-08-31;null;
2021-09-30;26,369363;
2021-10-31;24,003764;
2021-11-30;null;
2021-12-31;22,204654;
2022-01-31;22,755995;
2022-02-28;22,398009;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;20,139744;
2022-08-31;21,358602;
2022-09-30;23,420833;
2022-10-31;24,077285;
2022-11-30;21,807083;
2022-12-31;21,876478;
2023-01-31;22,301478;
2023-02-28;24,362351;
2023-03-31;23,98172;
2023-04-30;22,582917;
2023-05-31;21,25457;
2023-06-30;19,864167;
2023-07-31;20,779704;
2023-08-31;22,654301;
2023-09-30;25,411944;
2023-10-31;25,881317;
2023-11-30;26,406667;

