Nome: CARATINGA
Codigo Estacao: A554
Latitude: -19.73583333
Longitude: -42.13722221
Altitude: 609.25
Situacao: Operante
Data Inicial: 2007-05-23
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2007-05-31;null;
2007-06-30;18,165886;
2007-07-31;18,60303;
2007-08-31;19,350754;
2007-09-30;20,718194;
2007-10-31;23,266585;
2007-11-30;23,716611;
2007-12-31;23,773253;
2008-01-31;22,816935;
2008-02-29;23,391815;
2008-03-31;23,054973;
2008-04-30;22,454444;
2008-05-31;19,352361;
2008-06-30;18,429075;
2008-07-31;17,544355;
2008-08-31;20,37382;
2008-09-30;20,569167;
2008-10-31;23,468145;
2008-11-30;22,3675;
2008-12-31;22,501479;
2009-01-31;23,365486;
2009-02-28;24,205357;
2009-03-31;23,868011;
2009-04-30;21,659167;
2009-05-31;19,424328;
2009-06-30;18,329028;
2009-07-31;18,910081;
2009-08-31;19,778764;
2009-09-30;22,237222;
2009-10-31;22,502299;
2009-11-30;23,655972;
2009-12-31;23,439247;
2010-01-31;24,935833;
2010-02-28;25,465625;
2010-03-31;23,982153;
2010-04-30;21,707917;
2010-05-31;19,599731;
2010-06-30;16,970556;
2010-07-31;18,928665;
2010-08-31;19,44017;
2010-09-30;22,219341;
2010-10-31;23,109677;
2010-11-30;23,842222;
2010-12-31;25,484812;
2011-01-31;25,895968;
2011-02-28;26,623958;
2011-03-31;24,654728;
2011-04-30;23,930139;
2011-05-31;20,658333;
2011-06-30;19,876528;
2011-07-31;19,74086;
2011-08-31;22,534005;
2011-09-30;22,14564;
2011-10-31;23,158333;
2011-11-30;23,036944;
2011-12-31;24,309677;
2012-01-31;24,569758;
2012-02-29;25,627686;
2012-03-31;24,690813;
2012-04-30;24,078611;
2012-05-31;21,250134;
2012-06-30;21,005694;
2012-07-31;20,194489;
2012-08-31;20,868699;
2012-09-30;23,0125;
2012-10-31;25,136022;
2012-11-30;24,463889;
2012-12-31;27,01586;
2013-01-31;25,863306;
2013-02-28;25,579167;
2013-03-31;null;
2013-04-30;21,5875;
2013-05-31;21,187634;
2013-06-30;20,628005;
2013-07-31;20,626157;
2013-08-31;20,962634;
2013-09-30;22,537917;
2013-10-31;22,838441;
2013-11-30;24,188889;
2013-12-31;25,020629;
2014-01-31;25,970296;
2014-02-28;26,099702;
2014-03-31;25,117473;
2014-04-30;23,712917;
2014-05-31;21,450941;
2014-06-30;20,957083;
2014-07-31;21,231855;
2014-08-31;20,704301;
2014-09-30;23,799569;
2014-10-31;25,136962;
2014-11-30;25,147639;
2014-12-31;25,877823;
2015-01-31;28,176882;
2015-02-28;26,344345;
2015-03-31;26,130645;
2015-04-30;24,3675;
2015-05-31;21,659812;
2015-06-30;20,971667;
2015-07-31;21,336559;
2015-08-31;21,46922;
2015-09-30;25,659722;
2015-10-31;26,313172;
2015-11-30;27,075694;
2015-12-31;26,54328;
2016-01-31;25,5875;
2016-02-29;26,795546;
2016-03-31;25,758871;
2016-04-30;25,269167;
2016-05-31;22,081855;
2016-06-30;20,3475;
2016-07-31;20,750538;
2016-08-31;22,071909;
2016-09-30;23,677222;
2016-10-31;24,335349;
2016-11-30;24,131111;
2016-12-31;25,021371;
2017-01-31;25,893145;
2017-02-28;25,006994;
2017-03-31;24,684543;
2017-04-30;23,659705;
2017-05-31;22,648522;
2017-06-30;22,284028;
2017-07-31;20,504973;
2017-08-31;21,829032;
2017-09-30;24,000556;
2017-10-31;26,559677;
2017-11-30;25,492222;
2017-12-31;26,722446;
2018-01-31;27,706183;
2018-02-28;26,636458;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;21,037903;
2018-08-31;22,425538;
2018-09-30;23,986806;
2018-10-31;25,914919;
2018-11-30;25,417639;
2018-12-31;25,935484;
2019-01-31;27,436425;
2019-02-28;26,947917;
2019-03-31;26,72836;
2019-04-30;25,718611;
2019-05-31;23,595699;
2019-06-30;22,125;
2019-07-31;20,604301;
2019-08-31;22,103898;
2019-09-30;24,3625;
2019-10-31;26,008602;
2019-11-30;25,909028;
2019-12-31;25,835753;
2020-01-31;26,589064;
2020-02-29;26,149138;
2020-03-31;24,93053;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;24,314167;
2020-10-31;25,246601;
2020-11-30;null;
2020-12-31;null;
2021-01-31;26,024059;
2021-02-28;25,164732;
2021-03-31;25,429704;
2021-04-30;23,200556;
2021-05-31;21,839651;
2021-06-30;20,05875;
2021-07-31;19,596371;
2021-08-31;21,173253;
2021-09-30;24,6775;
2021-10-31;24,524193;
2021-11-30;24,0175;
2021-12-31;24,520296;
2022-01-31;26,114247;
2022-02-28;25,257441;
2022-03-31;25,683333;
2022-04-30;24,560556;
2022-05-31;21,452419;
2022-06-30;19,937778;
2022-07-31;20,979973;
2022-08-31;21,353898;
2022-09-30;22,972619;
2022-10-31;25,169086;
2022-11-30;23,695278;
2022-12-31;24,54207;
2023-01-31;25,029301;
2023-02-28;26,225893;
2023-03-31;26,391078;
2023-04-30;24,286745;
2023-05-31;21,429839;
2023-06-30;20,253472;
2023-07-31;20,676075;
2023-08-31;21,751449;
2023-09-30;23,660608;
2023-10-31;26,362333;
2023-11-30;26,809167;

