Nome: IBIRITE (ROLA MOCA)
Codigo Estacao: A555
Latitude: -20.03138888
Longitude: -44.01111111
Altitude: 1198.82
Situacao: Operante
Data Inicial: 2008-06-05
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2008-06-30;17,629514;
2008-07-31;16,946371;
2008-08-31;19,05;
2008-09-30;19,218194;
2008-10-31;21,534409;
2008-11-30;20,084281;
2008-12-31;19,719792;
2009-01-31;21,023654;
2009-02-28;21,441816;
2009-03-31;21,673253;
2009-04-30;19,886111;
2009-05-31;18,335178;
2009-06-30;17,010833;
2009-07-31;18,563038;
2009-08-31;18,223118;
2009-09-30;21,018333;
2009-10-31;20,463362;
2009-11-30;21,848056;
2009-12-31;20,195565;
2010-01-31;22,008611;
2010-02-28;22,534524;
2010-03-31;21,481586;
2010-04-30;19,945556;
2010-05-31;18,403898;
2010-06-30;16,484306;
2010-07-31;17,562097;
2010-08-31;17,964197;
2010-09-30;19,487778;
2010-10-31;20,316263;
2010-11-30;19,695833;
2010-12-31;21,499462;
2011-01-31;21,120694;
2011-02-28;22,529911;
2011-03-31;20,43053;
2011-04-30;20,262639;
2011-05-31;18,229167;
2011-06-30;17,04625;
2011-07-31;17,409543;
2011-08-31;19,918683;
2011-09-30;19,575694;
2011-10-31;19,243683;
2011-11-30;18,571944;
2011-12-31;19,610803;
2012-01-31;20,147312;
2012-02-29;21,184052;
2012-03-31;20,713978;
2012-04-30;20,402083;
2012-05-31;17,355645;
2012-06-30;18,317917;
2012-07-31;17,715323;
2012-08-31;16,823472;
2012-09-30;20,241667;
2012-10-31;21,312231;
2012-11-30;20,076667;
2012-12-31;22,628226;
2013-01-31;20,752285;
2013-02-28;21,938095;
2013-03-31;21,138506;
2013-04-30;18,984861;
2013-05-31;18,305242;
2013-06-30;18,283245;
2013-07-31;18,00578;
2013-08-31;18,332392;
2013-09-30;19,179454;
2013-10-31;19,130376;
2013-11-30;20,234583;
2013-12-31;20,730108;
2014-01-31;22,141398;
2014-02-28;21,948214;
2014-03-31;20,810887;
2014-04-30;20,265694;
2014-05-31;18,570699;
2014-06-30;18,051944;
2014-07-31;16,799193;
2014-08-31;18,612769;
2014-09-30;20,279445;
2014-10-31;20,64785;
2014-11-30;20,51527;
2014-12-31;21,357685;
2015-01-31;23,030476;
2015-02-28;21,29375;
2015-03-31;21,219892;
2015-04-30;20,23375;
2015-05-31;17,855108;
2015-06-30;17,527265;
2015-07-31;18,050841;
2015-08-31;18,64201;
2015-09-30;22,1125;
2015-10-31;23,319892;
2015-11-30;22,905278;
2015-12-31;22,229839;
2016-01-31;21,232527;
2016-02-29;23,001006;
2016-03-31;21,748387;
2016-04-30;21,794046;
2016-05-31;19,29183;
2016-06-30;17,407186;
2016-07-31;18,471049;
2016-08-31;19,110782;
2016-09-30;20,773472;
2016-10-31;20,980914;
2016-11-30;19,980399;
2016-12-31;21,075205;
2017-01-31;22,332124;
2017-02-28;20,967411;
2017-03-31;21,436693;
2017-04-30;20,375417;
2017-05-31;18,504722;
2017-06-30;18,001129;
2017-07-31;15,395272;
2017-08-31;18,682505;
2017-09-30;18,566781;
2017-10-31;21,650833;
2017-11-30;19,928611;
2017-12-31;21,125807;
2018-01-31;21,944489;
2018-02-28;20,683068;
2018-03-31;21,584116;
2018-04-30;19,681709;
2018-05-31;18,274368;
2018-06-30;18,331944;
2018-07-31;18,104745;
2018-08-31;18,193128;
2018-09-30;19,953611;
2018-10-31;21,139621;
2018-11-30;19,860972;
2018-12-31;21,325672;
2019-01-31;22,909812;
2019-02-28;22,182292;
2019-03-31;21,742876;
2019-04-30;21,331208;
2019-05-31;19,954511;
2019-06-30;17,849475;
2019-07-31;17,076153;
2019-08-31;18,46991;
2019-09-30;21,529306;
2019-10-31;21,896774;
2019-11-30;21,370694;
2019-12-31;21,079704;
2020-01-31;21,681183;
2020-02-29;21,144103;
2020-03-31;20,449597;
2020-04-30;19,768786;
2020-05-31;17,098089;
2020-06-30;17,951053;
2020-07-31;17,878962;
2020-08-31;17,453497;
2020-09-30;21,778345;
2020-10-31;21,577285;
2020-11-30;20,387295;
2020-12-31;21,409479;
2021-01-31;21,728495;
2021-02-28;20,518899;
2021-03-31;21,314382;
2021-04-30;19,82273;
2021-05-31;19,07012;
2021-06-30;17,773533;
2021-07-31;16,671022;
2021-08-31;17,987183;
2021-09-30;22,267005;
2021-10-31;20,414317;
2021-11-30;20,159451;
2021-12-31;20,005382;
2022-01-31;20,79543;
2022-02-28;20,513535;
2022-03-31;21,909677;
2022-04-30;21,141812;
2022-05-31;17,669481;
2022-06-30;17,577018;
2022-07-31;17,428863;
2022-08-31;18,163422;
2022-09-30;19,547681;
2022-10-31;21,096505;
2022-11-30;19,338454;
2022-12-31;19,908611;
2023-01-31;20,631042;
2023-02-28;22,095684;
2023-03-31;22,034409;
2023-04-30;20,248771;
2023-05-31;19,39617;
2023-06-30;null;
2023-07-31;null;
2023-08-31;null;
2023-09-30;21,921328;
2023-10-31;22,65852;
2023-11-30;23,825121;

