Nome: MANHUACU
Codigo Estacao: A556
Latitude: -20.26333333
Longitude: -42.18277777
Altitude: 819.47
Situacao: Operante
Data Inicial: 2010-09-24
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2010-09-30;null;
2010-10-31;19,881452;
2010-11-30;20,524672;
2010-12-31;22,168426;
2011-01-31;22,629938;
2011-02-28;22,73497;
2011-03-31;21,160607;
2011-04-30;20,658185;
2011-05-31;null;
2011-06-30;null;
2011-07-31;null;
2011-08-31;18,346667;
2011-09-30;18,219861;
2011-10-31;19,653261;
2011-11-30;19,81947;
2011-12-31;null;
2012-01-31;21,673055;
2012-02-29;22,031609;
2012-03-31;21,153898;
2012-04-30;20,469499;
2012-05-31;17,69879;
2012-06-30;17,869167;
2012-07-31;16,568548;
2012-08-31;17,005278;
2012-09-30;19,49;
2012-10-31;21,076344;
2012-11-30;20,508472;
2012-12-31;23,247715;
2013-01-31;21,819355;
2013-02-28;22,070982;
2013-03-31;21,805316;
2013-04-30;19,346389;
2013-05-31;17,826882;
2013-06-30;17,482533;
2013-07-31;17,041374;
2013-08-31;17,515591;
2013-09-30;17,724231;
2013-10-31;19,918542;
2013-11-30;20,690417;
2013-12-31;21,757661;
2014-01-31;22,50672;
2014-02-28;22,620089;
2014-03-31;21,495027;
2014-04-30;20,363333;
2014-05-31;18,045699;
2014-06-30;17,246667;
2014-07-31;16,547715;
2014-08-31;17,170565;
2014-09-30;19,509306;
2014-10-31;20,327957;
2014-11-30;21,149028;
2014-12-31;22,049866;
2015-01-31;23,401741;
2015-02-28;22,381548;
2015-03-31;22,23078;
2015-04-30;20,457639;
2015-05-31;17,815995;
2015-06-30;16,923195;
2015-07-31;17,126344;
2015-08-31;17,840591;
2015-09-30;21,063194;
2015-10-31;22,350672;
2015-11-30;23,385695;
2015-12-31;22,907796;
2016-01-31;22,133871;
2016-02-29;23,436063;
2016-03-31;22,416801;
2016-04-30;21,840694;
2016-05-31;18,56558;
2016-06-30;16,586806;
2016-07-31;16,964972;
2016-08-31;18,390054;
2016-09-30;20,012361;
2016-10-31;20,543209;
2016-11-30;20,698611;
2016-12-31;21,661828;
2017-01-31;22,530376;
2017-02-28;21,767411;
2017-03-31;21,589113;
2017-04-30;20,074028;
2017-05-31;17,833333;
2017-06-30;17,360339;
2017-07-31;null;
2017-08-31;null;
2017-09-30;null;
2017-10-31;null;
2017-11-30;null;
2017-12-31;21,682527;
2018-01-31;null;
2018-02-28;null;
2018-03-31;22,387325;
2018-04-30;20,160069;
2018-05-31;17,756452;
2018-06-30;17,620278;
2018-07-31;16,596371;
2018-08-31;17,530242;
2018-09-30;19,05875;
2018-10-31;20,793145;
2018-11-30;20,690417;
2018-12-31;21,679704;
2019-01-31;23,227151;
2019-02-28;22,824702;
2019-03-31;22,420027;
2019-04-30;21,647222;
2019-05-31;19,657184;
2019-06-30;17,779583;
2019-07-31;16,455167;
2019-08-31;17,484549;
2019-09-30;20,10125;
2019-10-31;21,662097;
2019-11-30;21,68625;
2019-12-31;21,902285;
2020-01-31;22,757392;
2020-02-29;22,062644;
2020-03-31;20,967473;
2020-04-30;20,482727;
2020-05-31;17,202462;
2020-06-30;17,280278;
2020-07-31;17,326888;
2020-08-31;17,185753;
2020-09-30;20,791667;
2020-10-31;21,543091;
2020-11-30;21,81289;
2020-12-31;null;
2021-01-31;null;
2021-02-28;21,448512;
2021-03-31;21,860484;
2021-04-30;19,893333;
2021-05-31;18,577419;
2021-06-30;16,720694;
2021-07-31;16,252957;
2021-08-31;17,438172;
2021-09-30;20,392022;
2021-10-31;20,586979;
2021-11-30;20,579638;
2021-12-31;21,024808;
2022-01-31;22,488895;
2022-02-28;21,732602;
2022-03-31;22,146131;
2022-04-30;20,969306;
2022-05-31;17,68584;
2022-06-30;16,308158;
2022-07-31;17,086851;
2022-08-31;17,593256;
2022-09-30;18,859094;
2022-10-31;21,199077;
2022-11-30;19,974252;
2022-12-31;21,042959;
2023-01-31;21,601708;
2023-02-28;22,573848;
2023-03-31;22,401934;
2023-04-30;20,770695;
2023-05-31;17,993011;
2023-06-30;16,512917;
2023-07-31;16,966398;
2023-08-31;18,484543;
2023-09-30;20,547905;
2023-10-31;22,627139;
2023-11-30;23,533678;

