Nome: CORONEL PACHECO
Codigo Estacao: A557
Latitude: -21.54666666
Longitude: -43.26111111
Altitude: 411.14
Situacao: Operante
Data Inicial: 2012-10-16
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2012-10-31;null;
2012-11-30;22,157639;
2012-12-31;25,001747;
2013-01-31;23,441935;
2013-02-28;24,252679;
2013-03-31;23,297414;
2013-04-30;20,938056;
2013-05-31;18,534543;
2013-06-30;18,751878;
2013-07-31;17,233737;
2013-08-31;18,234946;
2013-09-30;19,900417;
2013-10-31;21,184812;
2013-11-30;22,199167;
2013-12-31;23,704704;
2014-01-31;24,851075;
2014-02-28;24,510119;
2014-03-31;23,216398;
2014-04-30;22,044444;
2014-05-31;19,031989;
2014-06-30;18,467778;
2014-07-31;17,667742;
2014-08-31;18,17164;
2014-09-30;21,095;
2014-10-31;22,452151;
2014-11-30;23,261528;
2014-12-31;24,010349;
2015-01-31;25,260098;
2015-02-28;23,988393;
2015-03-31;23,523387;
2015-04-30;21,91875;
2015-05-31;19,296774;
2015-06-30;18,084722;
2015-07-31;18,488172;
2015-08-31;18,920833;
2015-09-30;21,680695;
2015-10-31;23,459812;
2015-11-30;24,349861;
2015-12-31;24,697177;
2016-01-31;24,001075;
2016-02-29;24,7875;
2016-03-31;24,203898;
2016-04-30;23,034167;
2016-05-31;19,95914;
2016-06-30;17,28125;
2016-07-31;17,96129;
2016-08-31;19,365054;
2016-09-30;21,352361;
2016-10-31;22,44886;
2016-11-30;22,667917;
2016-12-31;23,979607;
2017-01-31;null;
2017-02-28;27,058889;
2017-03-31;26,417473;
2017-04-30;24,489028;
2017-05-31;21,614382;
2017-06-30;20,978194;
2017-07-31;19,333199;
2017-08-31;20,535081;
2017-09-30;22,575139;
2017-10-31;25,767473;
2017-11-30;24,949722;
2017-12-31;26,383064;
2018-01-31;26,999328;
2018-02-28;null;
2018-03-31;26,878448;
2018-04-30;23,976111;
2018-05-31;21,77836;
2018-06-30;21,405;
2018-07-31;20,102688;
2018-08-31;20,727823;
2018-09-30;23,275;
2018-10-31;24,774059;
2018-11-30;24,954604;
2018-12-31;26,424462;
2019-01-31;28,388575;
2019-02-28;27,160268;
2019-03-31;26,594758;
2019-04-30;25,8175;
2019-05-31;23,733064;
2019-06-30;21,246111;
2019-07-31;19,321505;
2019-08-31;20,731183;
2019-09-30;24,159167;
2019-10-31;25,502412;
2019-11-30;25,588288;
2019-12-31;25,910753;
2020-01-31;26,510215;
2020-02-29;26,228017;
2020-03-31;25,469086;
2020-04-30;23,649444;
2020-05-31;20,814516;
2020-06-30;21,133219;
2020-07-31;21,268548;
2020-08-31;21,230314;
2020-09-30;25,037229;
2020-10-31;25,682635;
2020-11-30;25,276475;
2020-12-31;26,347273;
2021-01-31;26,761559;
2021-02-28;26,03631;
2021-03-31;26,554032;
2021-04-30;23,258889;
2021-05-31;21,963172;
2021-06-30;20,17375;
2021-07-31;18,38293;
2021-08-31;21,251882;
2021-09-30;24,876337;
2021-10-31;24,067155;
2021-11-30;24,669697;
2021-12-31;25,248094;
2022-01-31;26,76349;
2022-02-28;26,119916;
2022-03-31;26,768414;
2022-04-30;24,785139;
2022-05-31;21,14664;
2022-06-30;20,0475;
2022-07-31;20,281048;
2022-08-31;20,979435;
2022-09-30;22,310556;
2022-10-31;25,244758;
2022-11-30;24,322361;
2022-12-31;25,100862;
2023-01-31;26,078763;
2023-02-28;26,956696;
2023-03-31;26,778898;
2023-04-30;24,32;
2023-05-31;21,741801;
2023-06-30;20,143055;
2023-07-31;20,492876;
2023-08-31;22,34664;
2023-09-30;24,780833;
2023-10-31;26,20336;
2023-11-30;27,780139;

