Nome: JANUARIA
Codigo Estacao: A559
Latitude: -15.44805555
Longitude: -44.36638888
Altitude: 468
Situacao: Operante
Data Inicial: 2016-06-22
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2016-06-30;null;
2016-07-31;23,157796;
2016-08-31;24,911087;
2016-09-30;26,999378;
2016-10-31;28,49576;
2016-11-30;26,488217;
2016-12-31;25,483766;
2017-01-31;27,254996;
2017-02-28;25,438446;
2017-03-31;25,940234;
2017-04-30;26,342917;
2017-05-31;25,035004;
2017-06-30;23,79842;
2017-07-31;21,958064;
2017-08-31;23,668498;
2017-09-30;25,199476;
2017-10-31;null;
2017-11-30;26,151487;
2017-12-31;24,917554;
2018-01-31;25,977513;
2018-02-28;24,606088;
2018-03-31;25,272756;
2018-04-30;24,051636;
2018-05-31;22,923066;
2018-06-30;22,115177;
2018-07-31;21,417876;
2018-08-31;24,727419;
2018-09-30;26,151775;
2018-10-31;28,137629;
2018-11-30;25,148208;
2018-12-31;24,492327;
2019-01-31;26,84664;
2019-02-28;26,315741;
2019-03-31;26,093811;
2019-04-30;25,774583;
2019-05-31;25,376934;
2019-06-30;23,6805;
2019-07-31;null;
2019-08-31;null;
2019-09-30;27,217105;
2019-10-31;28,166035;
2019-11-30;28,599619;
2019-12-31;27,372107;
2020-01-31;25,661863;
2020-02-29;25,57525;
2020-03-31;24,281335;
2020-04-30;24,109022;
2020-05-31;21,977151;
2020-06-30;21,598333;
2020-07-31;21,404167;
2020-08-31;23,414247;
2020-09-30;26,147778;
2020-10-31;27,53809;
2020-11-30;24,633814;
2020-12-31;25,066263;
2021-01-31;26,024282;
2021-02-28;24,719643;
2021-03-31;24,783236;
2021-04-30;24,768188;
2021-05-31;23,289313;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;24,00821;
2022-01-31;24,506969;
2022-02-28;24,672379;
2022-03-31;25,295308;
2022-04-30;24,945417;
2022-05-31;22,163762;
2022-06-30;21,094179;
2022-07-31;21,418457;
2022-08-31;23,269425;
2022-09-30;25,533827;
2022-10-31;27,74143;
2022-11-30;24,126103;
2022-12-31;24,099329;
2023-01-31;24,266854;
2023-02-28;26,051797;
2023-03-31;26,267798;
2023-04-30;25,949638;
2023-05-31;23,767778;
2023-06-30;22,427627;
2023-07-31;22,277315;
2023-08-31;24,578091;
2023-09-30;27,661783;
2023-10-31;29,667306;
2023-11-30;null;

