Nome: POMPEU
Codigo Estacao: A560
Latitude: -19.23249999
Longitude: -44.96416666
Altitude: 705
Situacao: Operante
Data Inicial: 2015-08-20
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-08-31;null;
2015-09-30;24,456806;
2015-10-31;26,772177;
2015-11-30;25,963333;
2015-12-31;24,63871;
2016-01-31;23,928898;
2016-02-29;25,300775;
2016-03-31;24,189651;
2016-04-30;23,59;
2016-05-31;21,174328;
2016-06-30;19,199722;
2016-07-31;20,449731;
2016-08-31;21,904436;
2016-09-30;24,430139;
2016-10-31;25,010642;
2016-11-30;23,194028;
2016-12-31;23,878495;
2017-01-31;25,009409;
2017-02-28;23,880655;
2017-03-31;23,799597;
2017-04-30;23,288169;
2017-05-31;20,820027;
2017-06-30;19,376389;
2017-07-31;17,777232;
2017-08-31;null;
2017-09-30;null;
2017-10-31;25,988959;
2017-11-30;23,193031;
2017-12-31;24,075269;
2018-01-31;null;
2018-02-28;null;
2018-03-31;null;
2018-04-30;null;
2018-05-31;null;
2018-06-30;null;
2018-07-31;null;
2018-08-31;null;
2018-09-30;null;
2018-10-31;null;
2018-11-30;null;
2018-12-31;null;
2019-01-31;null;
2019-02-28;null;
2019-03-31;null;
2019-04-30;null;
2019-05-31;null;
2019-06-30;null;
2019-07-31;null;
2019-08-31;null;
2019-09-30;null;
2019-10-31;null;
2019-11-30;null;
2019-12-31;null;
2020-01-31;null;
2020-02-29;null;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;23,842082;
2021-11-30;23,435556;
2021-12-31;23,230511;
2022-01-31;23,803898;
2022-02-28;23,231696;
2022-03-31;24,409911;
2022-04-30;23,345447;
2022-05-31;18,838698;
2022-06-30;18,066498;
2022-07-31;19,329798;
2022-08-31;20,786547;
2022-09-30;23,085107;
2022-10-31;24,971102;
2022-11-30;22,73471;
2022-12-31;23,090621;
2023-01-31;23,421225;
2023-02-28;24,472179;
2023-03-31;24,360274;
2023-04-30;22,6682;
2023-05-31;19,975034;
2023-06-30;18,59433;
2023-07-31;19,915517;
2023-08-31;21,693472;
2023-09-30;null;
2023-10-31;null;
2023-11-30;26,896296;

