Nome: SAO SEBASTIAO DO PARAISO
Codigo Estacao: A561
Latitude: -20.91
Longitude: -47.11416666
Altitude: 845
Situacao: Operante
Data Inicial: 2015-08-16
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2015-08-31;null;
2015-09-30;21,872361;
2015-10-31;24,538441;
2015-11-30;22,74625;
2015-12-31;22,673925;
2016-01-31;22,839113;
2016-02-29;22,871695;
2016-03-31;22,46828;
2016-04-30;21,471528;
2016-05-31;18,723387;
2016-06-30;16,559722;
2016-07-31;17,622715;
2016-08-31;19,23078;
2016-09-30;21,600972;
2016-10-31;22,284286;
2016-11-30;21,889861;
2016-12-31;22,649328;
2017-01-31;22,160753;
2017-02-28;22,759673;
2017-03-31;22,426747;
2017-04-30;21,158611;
2017-05-31;19,182387;
2017-06-30;17,095556;
2017-07-31;14,976882;
2017-08-31;19,261791;
2017-09-30;21,475417;
2017-10-31;null;
2017-11-30;null;
2017-12-31;22,916379;
2018-01-31;22,340457;
2018-02-28;22,047024;
2018-03-31;22,94086;
2018-04-30;20,455694;
2018-05-31;18,033871;
2018-06-30;18,526389;
2018-07-31;17,195161;
2018-08-31;18,50121;
2018-09-30;21,213889;
2018-10-31;22,54422;
2018-11-30;21,775278;
2018-12-31;22,87164;
2019-01-31;23,486962;
2019-02-28;22,580804;
2019-03-31;21,912366;
2019-04-30;21,590767;
2019-05-31;19,592204;
2019-06-30;17,388472;
2019-07-31;16,527823;
2019-08-31;18,893952;
2019-09-30;23,167917;
2019-10-31;23,5875;
2019-11-30;22,824861;
2019-12-31;22,766667;
2020-01-31;23,012231;
2020-02-29;22,295546;
2020-03-31;21,923118;
2020-04-30;20,252361;
2020-05-31;16,922446;
2020-06-30;18,597917;
2020-07-31;18,425269;
2020-08-31;19,332258;
2020-09-30;23,608472;
2020-10-31;23,921371;
2020-11-30;22,889167;
2020-12-31;22,286425;
2021-01-31;null;
2021-02-28;null;
2021-03-31;null;
2021-04-30;null;
2021-05-31;null;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;22,551732;
2021-12-31;22,341496;
2022-01-31;22,171554;
2022-02-28;21,761364;
2022-03-31;null;
2022-04-30;null;
2022-05-31;null;
2022-06-30;null;
2022-07-31;18,374866;
2022-08-31;19,320161;
2022-09-30;21,427361;
2022-10-31;22,300269;
2022-11-30;20,912639;
2022-12-31;21,996371;
2023-01-31;21,512769;
2023-02-28;22,170387;
2023-03-31;22,198703;
2023-04-30;20,2375;
2023-05-31;17,569624;
2023-06-30;16,383333;
2023-07-31;17,915054;
2023-08-31;20,094892;
2023-09-30;24,031944;
2023-10-31;23,75578;
2023-11-30;24,005556;

