Nome: PATOS DE MINAS
Codigo Estacao: A562
Latitude: -18.52055554
Longitude: -46.44055555
Altitude: 950
Situacao: Operante
Data Inicial: 2017-05-11
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2017-05-31;20,608267;
2017-06-30;19,718678;
2017-07-31;18,071102;
2017-08-31;21,81025;
2017-09-30;22,264038;
2017-10-31;24,640706;
2017-11-30;22,109314;
2017-12-31;22,672946;
2018-01-31;23,024988;
2018-02-28;22,529464;
2018-03-31;23,303641;
2018-04-30;21,202192;
2018-05-31;19,592794;
2018-06-30;20,17128;
2018-07-31;20,122581;
2018-08-31;21,27043;
2018-09-30;23,311443;
2018-10-31;23,763973;
2018-11-30;21,7169;
2018-12-31;22,873685;
2019-01-31;24,096698;
2019-02-28;23,445956;
2019-03-31;22,679739;
2019-04-30;22,409456;
2019-05-31;21,245536;
2019-06-30;19,531178;
2019-07-31;18,880914;
2019-08-31;21,258199;
2019-09-30;25,266116;
2019-10-31;24,488399;
2019-11-30;23,784583;
2019-12-31;23,099795;
2020-01-31;23,440591;
2020-02-29;22,461494;
2020-03-31;null;
2020-04-30;null;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;20,589815;
2020-09-30;24,442917;
2020-10-31;24,673118;
2020-11-30;22,694444;
2020-12-31;22,927361;
2021-01-31;23,272984;
2021-02-28;22,12381;
2021-03-31;22,738306;
2021-04-30;21,482778;
2021-05-31;20,807124;
2021-06-30;20,112917;
2021-07-31;18,529032;
2021-08-31;21,166435;
2021-09-30;null;
2021-10-31;null;
2021-11-30;21,997292;
2021-12-31;22,120161;
2022-01-31;22,38;
2022-02-28;21,991072;
2022-03-31;23,376478;
2022-04-30;22,628889;
2022-05-31;18,994086;
2022-06-30;19,259445;
2022-07-31;19,663889;
2022-08-31;21,122984;
2022-09-30;22,979722;
2022-10-31;23,758333;
2022-11-30;21,284445;
2022-12-31;21,758602;
2023-01-31;21,844624;
2023-02-28;23,254316;
2023-03-31;23,23629;
2023-04-30;21,623889;
2023-05-31;20,14879;
2023-06-30;19,144306;
2023-07-31;20,199731;
2023-08-31;22,051479;
2023-09-30;25,12875;
2023-10-31;25,139785;
2023-11-30;25,445417;

