Nome: NOVA PORTEIRINHA (JANAUBA)
Codigo Estacao: A563
Latitude: -15.80277777
Longitude: -43.29694444
Altitude: 532
Situacao: Operante
Data Inicial: 2016-11-18
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2016-11-30;null;
2016-12-31;26,492169;
2017-01-31;28,528629;
2017-02-28;26,4417;
2017-03-31;27,360238;
2017-04-30;26,73625;
2017-05-31;25,059222;
2017-06-30;24,025144;
2017-07-31;21,85457;
2017-08-31;23,921397;
2017-09-30;25,256309;
2017-10-31;28,45664;
2017-11-30;26,21364;
2017-12-31;25,408804;
2018-01-31;26,868414;
2018-02-28;25,023823;
2018-03-31;25,523431;
2018-04-30;25,324481;
2018-05-31;24,439042;
2018-06-30;23,836912;
2018-07-31;23,31371;
2018-08-31;25,488575;
2018-09-30;26,77976;
2018-10-31;null;
2018-11-30;25,611187;
2018-12-31;24,563949;
2019-01-31;27,875444;
2019-02-28;27,163723;
2019-03-31;27,207873;
2019-04-30;25,905537;
2019-05-31;26,013172;
2019-06-30;24,084571;
2019-07-31;22,787634;
2019-08-31;24,192222;
2019-09-30;26,702361;
2019-10-31;28,033322;
2019-11-30;28,325272;
2019-12-31;28,061559;
2020-01-31;25,974141;
2020-02-29;26,323301;
2020-03-31;24,909354;
2020-04-30;24,690278;
2020-05-31;22,885139;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;26,901923;
2020-10-31;27,502688;
2020-11-30;24,76625;
2020-12-31;25,987366;
2021-01-31;26,978898;
2021-02-28;24,854762;
2021-03-31;25,636828;
2021-04-30;24,930833;
2021-05-31;24,006989;
2021-06-30;23,831356;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;24,292136;
2022-01-31;25,111226;
2022-02-28;25,245094;
2022-03-31;26,373138;
2022-04-30;25,785779;
2022-05-31;23,073165;
2022-06-30;22,191473;
2022-07-31;22,678973;
2022-08-31;23,712507;
2022-09-30;25,431186;
2022-10-31;27,749332;
2022-11-30;24,398836;
2022-12-31;24,389163;
2023-01-31;25,287398;
2023-02-28;26,974514;
2023-03-31;27,258146;
2023-04-30;26,321577;
2023-05-31;24,8025;
2023-06-30;23,541196;
2023-07-31;23,373112;
2023-08-31;25,17379;
2023-09-30;27,319256;
2023-10-31;28,999342;
2023-11-30;29,756619;

