Nome: DIVINOPOLIS
Codigo Estacao: A564
Latitude: -20.17333332
Longitude: -44.87499999
Altitude: 796
Situacao: Operante
Data Inicial: 2017-10-25
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2017-10-31;null;
2017-11-30;22,765972;
2017-12-31;23,584677;
2018-01-31;23,87957;
2018-02-28;23,254762;
2018-03-31;23,984274;
2018-04-30;21,694722;
2018-05-31;18,970027;
2018-06-30;19,213195;
2018-07-31;18,455645;
2018-08-31;19,366532;
2018-09-30;22,147778;
2018-10-31;23,588441;
2018-11-30;22,360139;
2018-12-31;23,639598;
2019-01-31;25,20457;
2019-02-28;24,017708;
2019-03-31;23,384812;
2019-04-30;22,862222;
2019-05-31;20,990054;
2019-06-30;18,635833;
2019-07-31;17,449866;
2019-08-31;20,063441;
2019-09-30;23,917083;
2019-10-31;24,322715;
2019-11-30;23,445139;
2019-12-31;23,715995;
2020-01-31;24,10537;
2020-02-29;23,395546;
2020-03-31;22,628763;
2020-04-30;21,714686;
2020-05-31;18,157661;
2020-06-30;18,736528;
2020-07-31;19,31901;
2020-08-31;19,349059;
2020-09-30;23,512017;
2020-10-31;24,069489;
2020-11-30;23,349583;
2020-12-31;23,717742;
2021-01-31;24,115457;
2021-02-28;22,954762;
2021-03-31;23,656855;
2021-04-30;21,358333;
2021-05-31;20,116129;
2021-06-30;18,546667;
2021-07-31;17,012097;
2021-08-31;20,091532;
2021-09-30;24,687639;
2021-10-31;22,840591;
2021-11-30;22,946667;
2021-12-31;22,85914;
2022-01-31;23,178898;
2022-02-28;22,927789;
2022-03-31;24,470296;
2022-04-30;22,624722;
2022-05-31;18,36371;
2022-06-30;18,071944;
2022-07-31;18,516642;
2022-08-31;19,831989;
2022-09-30;21,971667;
2022-10-31;23,792473;
2022-11-30;21,746528;
2022-12-31;22,304167;
2023-01-31;22,711694;
2023-02-28;24,15372;
2023-03-31;23,959005;
2023-04-30;21,971111;
2023-05-31;19,141801;
2023-06-30;17,799595;
2023-07-31;18,788844;
2023-08-31;20,824603;
2023-09-30;24,866944;
2023-10-31;25,551613;
2023-11-30;25,484167;

