Nome: BAMBUI
Codigo Estacao: A565
Latitude: -20.0311111
Longitude: -46.00888888
Altitude: 697
Situacao: Operante
Data Inicial: 2016-11-22
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2016-11-30;null;
2016-12-31;23,134225;
2017-01-31;23,986886;
2017-02-28;23,243203;
2017-03-31;22,795296;
2017-04-30;22,054366;
2017-05-31;19,388271;
2017-06-30;17,306178;
2017-07-31;15,140591;
2017-08-31;18,51315;
2017-09-30;19,473935;
2017-10-31;22,899546;
2017-11-30;22,761721;
2017-12-31;23,476899;
2018-01-31;23,507796;
2018-02-28;23,167275;
2018-03-31;23,816856;
2018-04-30;21,106981;
2018-05-31;18,066338;
2018-06-30;18,292596;
2018-07-31;16,789651;
2018-08-31;18,510887;
2018-09-30;21,123569;
2018-10-31;23,461314;
2018-11-30;22,10875;
2018-12-31;23,487301;
2019-01-31;24,416263;
2019-02-28;23,563975;
2019-03-31;23,015025;
2019-04-30;22,598931;
2019-05-31;21,435606;
2019-06-30;16,998958;
2019-07-31;15,730108;
2019-08-31;18,635435;
2019-09-30;22,575694;
2019-10-31;23,263575;
2019-11-30;23,732879;
2019-12-31;23,368741;
2020-01-31;24,047446;
2020-02-29;23,118809;
2020-03-31;22,755779;
2020-04-30;21,454306;
2020-05-31;17,244489;
2020-06-30;17,633889;
2020-07-31;17,798521;
2020-08-31;17,662231;
2020-09-30;21,476806;
2020-10-31;23,677285;
2020-11-30;22,733264;
2020-12-31;23,43688;
2021-01-31;23,45579;
2021-02-28;22,974554;
2021-03-31;22,883532;
2021-04-30;20,47125;
2021-05-31;19,165591;
2021-06-30;17,412083;
2021-07-31;14,738038;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;null;
2021-12-31;22,720179;
2022-01-31;23,034741;
2022-02-28;22,886538;
2022-03-31;23,617553;
2022-04-30;22,305912;
2022-05-31;17,637903;
2022-06-30;16,827923;
2022-07-31;16,545246;
2022-08-31;18,403086;
2022-09-30;21,215787;
2022-10-31;22,716125;
2022-11-30;21,006202;
2022-12-31;22,663251;
2023-01-31;22,941572;
2023-02-28;23,741473;
2023-03-31;23,554039;
2023-04-30;21,575284;
2023-05-31;18,072971;
2023-06-30;16,431111;
2023-07-31;17,412938;
2023-08-31;19,37043;
2023-09-30;23,825656;
2023-10-31;24,639082;
2023-11-30;24,755813;

