Nome: ARACUAI
Codigo Estacao: A566
Latitude: -16.84888888
Longitude: -42.03527777
Altitude: 308
Situacao: Operante
Data Inicial: 2017-05-18
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2017-05-31;null;
2017-06-30;22,823563;
2017-07-31;20,651344;
2017-08-31;21,474358;
2017-09-30;24,232036;
2017-10-31;27,601409;
2017-11-30;25,665272;
2017-12-31;24,822138;
2018-01-31;27,191199;
2018-02-28;25,54355;
2018-03-31;25,476127;
2018-04-30;23,94247;
2018-05-31;22,794939;
2018-06-30;22,303819;
2018-07-31;21,583333;
2018-08-31;24,557258;
2018-09-30;25,992162;
2018-10-31;27,206586;
2018-11-30;25,280385;
2018-12-31;24,853068;
2019-01-31;27,335677;
2019-02-28;27,631192;
2019-03-31;27,545699;
2019-04-30;26,651528;
2019-05-31;25,439516;
2019-06-30;23,284167;
2019-07-31;21,604973;
2019-08-31;23,097201;
2019-09-30;25,604583;
2019-10-31;27,666007;
2019-11-30;28,280393;
2019-12-31;27,711559;
2020-01-31;26,902823;
2020-02-29;27,033521;
2020-03-31;24,667542;
2020-04-30;23,890417;
2020-05-31;22,034896;
2020-06-30;null;
2020-07-31;null;
2020-08-31;null;
2020-09-30;null;
2020-10-31;null;
2020-11-30;null;
2020-12-31;null;
2021-01-31;27,605376;
2021-02-28;25,58125;
2021-03-31;24,880108;
2021-04-30;24,285556;
2021-05-31;22,463844;
2021-06-30;21,469583;
2021-07-31;20,966936;
2021-08-31;22,608065;
2021-09-30;26,230139;
2021-10-31;27,172312;
2021-11-30;24,359444;
2021-12-31;24,563474;
2022-01-31;24,999743;
2022-02-28;25,553165;
2022-03-31;25,48773;
2022-04-30;25,0025;
2022-05-31;22,085618;
2022-06-30;19,633986;
2022-07-31;21,963229;
2022-08-31;22,524866;
2022-09-30;24,506944;
2022-10-31;27,527331;
2022-11-30;24,661978;
2022-12-31;24,272718;
2023-01-31;25,370548;
2023-02-28;25,992742;
2023-03-31;26,305807;
2023-04-30;25,423895;
2023-05-31;22,133382;
2023-06-30;20,620992;
2023-07-31;21,329687;
2023-08-31;24,057013;
2023-09-30;25,335703;
2023-10-31;null;
2023-11-30;null;

