Nome: MACHADO
Codigo Estacao: A567
Latitude: -21.680722
Longitude: -45.944389
Altitude: 969
Situacao: Operante
Data Inicial: 2017-07-20
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2017-07-31;null;
2017-08-31;18,708956;
2017-09-30;21,501974;
2017-10-31;22,153496;
2017-11-30;20,866806;
2017-12-31;21,86371;
2018-01-31;22,212366;
2018-02-28;21,775149;
2018-03-31;22,809274;
2018-04-30;20,653333;
2018-05-31;18,601613;
2018-06-30;18,622361;
2018-07-31;18,377285;
2018-08-31;17,788575;
2018-09-30;20,409773;
2018-10-31;null;
2018-11-30;null;
2018-12-31;22,358602;
2019-01-31;23,623253;
2019-02-28;22,335566;
2019-03-31;21,815188;
2019-04-30;21,840284;
2019-05-31;19,934946;
2019-06-30;18,155833;
2019-07-31;16,873118;
2019-08-31;17,965505;
2019-09-30;21,944722;
2019-10-31;22,737366;
2019-11-30;21,676214;
2019-12-31;22,142473;
2020-01-31;22,084274;
2020-02-29;21,291991;
2020-03-31;21,266239;
2020-04-30;20,184444;
2020-05-31;17,309946;
2020-06-30;18,379167;
2020-07-31;18,709005;
2020-08-31;18,50793;
2020-09-30;23,138056;
2020-10-31;22,528898;
2020-11-30;21,503971;
2020-12-31;21,558827;
2021-01-31;23,07288;
2021-02-28;21,532143;
2021-03-31;22,348522;
2021-04-30;19,865833;
2021-05-31;18,887634;
2021-06-30;17,257778;
2021-07-31;16,115457;
2021-08-31;19,329436;
2021-09-30;23,212083;
2021-10-31;19,911828;
2021-11-30;21,314722;
2021-12-31;21,288622;
2022-01-31;21,239049;
2022-02-28;null;
2022-03-31;null;
2022-04-30;21,111944;
2022-05-31;17,249597;
2022-06-30;17,712482;
2022-07-31;18,607644;
2022-08-31;18,401455;
2022-09-30;19,760429;
2022-10-31;21,58563;
2022-11-30;19,668178;
2022-12-31;20,846992;
2023-01-31;21,064082;
2023-02-28;21,787823;
2023-03-31;22,226415;
2023-04-30;20,057754;
2023-05-31;18,190242;
2023-06-30;17,029444;
2023-07-31;17,641129;
2023-08-31;19,971774;
2023-09-30;23,128992;
2023-10-31;22,615208;
2023-11-30;23,869246;

