Nome: UBERABA
Codigo Estacao: A568
Latitude: -19.71
Longitude: -47.96194444
Altitude: 778
Situacao: Operante
Data Inicial: 2017-05-18
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2017-05-31;null;
2017-06-30;19,225144;
2017-07-31;17,622446;
2017-08-31;21,731846;
2017-09-30;23,72766;
2017-10-31;24,982293;
2017-11-30;23,363359;
2017-12-31;23,497252;
2018-01-31;23,54325;
2018-02-28;23,466897;
2018-03-31;24,557392;
2018-04-30;22,087355;
2018-05-31;19,995481;
2018-06-30;20,61246;
2018-07-31;19,839651;
2018-08-31;20,855645;
2018-09-30;23,164094;
2018-10-31;24,313394;
2018-11-30;22,930344;
2018-12-31;24,077016;
2019-01-31;24,9946;
2019-02-28;23,933929;
2019-03-31;23,397312;
2019-04-30;23,408642;
2019-05-31;21,553629;
2019-06-30;19,575833;
2019-07-31;19,320833;
2019-08-31;21,20121;
2019-09-30;25,509028;
2019-10-31;25,080139;
2019-11-30;24,212778;
2019-12-31;23,72382;
2020-01-31;23,903898;
2020-02-29;23,353448;
2020-03-31;23,544245;
2020-04-30;22,480278;
2020-05-31;18,646505;
2020-06-30;20,035833;
2020-07-31;20,089113;
2020-08-31;21,061425;
2020-09-30;25,253017;
2020-10-31;25,563172;
2020-11-30;24,000649;
2020-12-31;23,437725;
2021-01-31;24,446685;
2021-02-28;23,217986;
2021-03-31;23,754932;
2021-04-30;22,060299;
2021-05-31;21,044269;
2021-06-30;null;
2021-07-31;null;
2021-08-31;null;
2021-09-30;null;
2021-10-31;null;
2021-11-30;23,963571;
2021-12-31;23,760414;
2022-01-31;23,285205;
2022-02-28;23,486526;
2022-03-31;24,178663;
2022-04-30;23,275;
2022-05-31;18,940054;
2022-06-30;19,377639;
2022-07-31;20,286406;
2022-08-31;21,298101;
2022-09-30;23,288904;
2022-10-31;24,182516;
2022-11-30;22,75454;
2022-12-31;23,050252;
2023-01-31;22,760119;
2023-02-28;23,59936;
2023-03-31;23,733656;
2023-04-30;22,148478;
2023-05-31;19,752609;
2023-06-30;18,364583;
2023-07-31;20,156831;
2023-08-31;22,45793;
2023-09-30;25,626302;
2023-10-31;null;
2023-11-30;26,108486;

