Nome: SETE LAGOAS
Codigo Estacao: A569
Latitude: -19.45527777
Longitude: -44.17333332
Altitude: 719
Situacao: Operante
Data Inicial: 2016-06-09
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2016-06-30;17,457917;
2016-07-31;18,908737;
2016-08-31;20,450403;
2016-09-30;23,070417;
2016-10-31;24,113038;
2016-11-30;22,787917;
2016-12-31;23,249731;
2017-01-31;24,492742;
2017-02-28;23,074405;
2017-03-31;22,914247;
2017-04-30;22,11125;
2017-05-31;20,136694;
2017-06-30;18,758194;
2017-07-31;16,600269;
2017-08-31;19,802688;
2017-09-30;21,056667;
2017-10-31;24,680729;
2017-11-30;22,610833;
2017-12-31;23,678234;
2018-01-31;23,879167;
2018-02-28;22,957292;
2018-03-31;23,366601;
2018-04-30;21,197514;
2018-05-31;18,82836;
2018-06-30;19,079028;
2018-07-31;17,974597;
2018-08-31;19,764247;
2018-09-30;22,100556;
2018-10-31;23,757258;
2018-11-30;22,39;
2018-12-31;23,476344;
2019-01-31;24,779167;
2019-02-28;24,260565;
2019-03-31;23,638043;
2019-04-30;22,761111;
2019-05-31;20,821237;
2019-06-30;18,404861;
2019-07-31;17,184999;
2019-08-31;20,284677;
2019-09-30;23,321111;
2019-10-31;24,800672;
2019-11-30;24,475694;
2019-12-31;23,634409;
2020-01-31;24,218145;
2020-02-29;23,464511;
2020-03-31;22,666954;
2020-04-30;22,269587;
2020-05-31;null;
2020-06-30;null;
2020-07-31;null;
2020-08-31;18,897849;
2020-09-30;22,02468;
2020-10-31;null;
2020-11-30;null;
2020-12-31;23,790258;
2021-01-31;23,703898;
2021-02-28;22,590179;
2021-03-31;22,960665;
2021-04-30;21,171111;
2021-05-31;19,933468;
2021-06-30;18,786667;
2021-07-31;null;
2021-08-31;null;
2021-09-30;23,878472;
2021-10-31;23,510349;
2021-11-30;22,322047;
2021-12-31;22,490855;
2022-01-31;23,271985;
2022-02-28;22,574139;
2022-03-31;23,668957;
2022-04-30;22,797971;
2022-05-31;18,346446;
2022-06-30;17,660725;
2022-07-31;17,473744;
2022-08-31;19,640878;
2022-09-30;21,901425;
2022-10-31;23,766445;
2022-11-30;21,749209;
2022-12-31;22,270296;
2023-01-31;22,509011;
2023-02-28;23,800053;
2023-03-31;23,722037;
2023-04-30;22,208219;
2023-05-31;19,107252;
2023-06-30;17,376212;
2023-07-31;18,44444;
2023-08-31;20,167315;
2023-09-30;23,772492;
2023-10-31;25,138119;
2023-11-30;null;

