Nome: OLIVEIRA
Codigo Estacao: A570
Latitude: -20.715
Longitude: -44.86444444
Altitude: 1025
Situacao: Operante
Data Inicial: 2017-10-18
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2017-10-31;null;
2017-11-30;null;
2017-12-31;21,679167;
2018-01-31;22,202361;
2018-02-28;21,733819;
2018-03-31;22,516532;
2018-04-30;19,985139;
2018-05-31;18,138306;
2018-06-30;18,37625;
2018-07-31;18,152419;
2018-08-31;18,048656;
2018-09-30;20,171528;
2018-10-31;21,342608;
2018-11-30;20,608333;
2018-12-31;21,992637;
2019-01-31;23,700403;
2019-02-28;22,50372;
2019-03-31;21,702378;
2019-04-30;21,3825;
2019-05-31;20,078763;
2019-06-30;17,942778;
2019-07-31;16,974386;
2019-08-31;18,550672;
2019-09-30;22,321667;
2019-10-31;22,275941;
2019-11-30;21,399583;
2019-12-31;21,992339;
2020-01-31;22,244893;
2020-02-29;21,659339;
2020-03-31;20,893011;
2020-04-30;20,060417;
2020-05-31;17,238306;
2020-06-30;18,314583;
2020-07-31;18,529436;
2020-08-31;18,111828;
2020-09-30;null;
2020-10-31;null;
2020-11-30;21,347361;
2020-12-31;21,919355;
2021-01-31;22,577823;
2021-02-28;21,139583;
2021-03-31;22,05121;
2021-04-30;19,74625;
2021-05-31;18,883333;
2021-06-30;17,392361;
2021-07-31;16,241801;
2021-08-31;18,925;
2021-09-30;22,953472;
2021-10-31;20,675134;
2021-11-30;20,990972;
2021-12-31;20,743683;
2022-01-31;21,507796;
2022-02-28;21,189881;
2022-03-31;22,792876;
2022-04-30;21,157917;
2022-05-31;17,47043;
2022-06-30;17,474167;
2022-07-31;18,213979;
2022-08-31;18,148253;
2022-09-30;19,847917;
2022-10-31;21,841801;
2022-11-30;19,737361;
2022-12-31;20,496371;
2023-01-31;21,000134;
2023-02-28;22,433283;
2023-03-31;22,22957;
2023-04-30;20,182222;
2023-05-31;18,091398;
2023-06-30;17,259444;
2023-07-31;17,781183;
2023-08-31;19,77164;
2023-09-30;22,947361;
2023-10-31;23,389516;
2023-11-30;null;

