Nome: PARACATU
Codigo Estacao: A571
Latitude: -17.24444444
Longitude: -46.88166666
Altitude: 705
Situacao: Operante
Data Inicial: 2018-03-15
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2018-03-31;24,772135;
2018-04-30;22,977083;
2018-05-31;21,624462;
2018-06-30;21,724722;
2018-07-31;21,333199;
2018-08-31;23,541935;
2018-09-30;25,218889;
2018-10-31;26,390054;
2018-11-30;23,446806;
2018-12-31;24,742339;
2019-01-31;26,186156;
2019-02-28;25,15506;
2019-03-31;24,477554;
2019-04-30;24,385972;
2019-05-31;23,246102;
2019-06-30;21,287917;
2019-07-31;20,556633;
2019-08-31;23,213575;
2019-09-30;26,475694;
2019-10-31;27,204973;
2019-11-30;25,935972;
2019-12-31;24,948118;
2020-01-31;25,047674;
2020-02-29;24,371264;
2020-03-31;23,799462;
2020-04-30;23,416528;
2020-05-31;20,690726;
2020-06-30;20,858889;
2020-07-31;21,204067;
2020-08-31;21,846909;
2020-09-30;24,975968;
2020-10-31;null;
2020-11-30;null;
2020-12-31;24,569543;
2021-01-31;25,264651;
2021-02-28;23,722024;
2021-03-31;24,317473;
2021-04-30;23,530972;
2021-05-31;22,490457;
2021-06-30;21,59;
2021-07-31;20,261244;
2021-08-31;22,679973;
2021-09-30;27,291576;
2021-10-31;25,579973;
2021-11-30;23,803472;
2021-12-31;23,658468;
2022-01-31;24,177151;
2022-02-28;23,631994;
2022-03-31;24,972575;
2022-04-30;24,803194;
2022-05-31;20,901747;
2022-06-30;20,933829;
2022-07-31;20,92604;
2022-08-31;22,813815;
2022-09-30;24,934318;
2022-10-31;25,442703;
2022-11-30;23,297639;
2022-12-31;23,19079;
2023-01-31;23,445529;
2023-02-28;25,362649;
2023-03-31;25,13775;
2023-04-30;23,791673;
2023-05-31;22,260712;
2023-06-30;20,863231;
2023-07-31;21,78849;
2023-08-31;null;
2023-09-30;27,019306;
2023-10-31;27,748048;
2023-11-30;27,652774;

