Nome: BELO HORIZONTE - CERCADINHO
Codigo Estacao: F501
Latitude: -19.97999999
Longitude: -43.95861111
Altitude: 1199.55
Situacao: Operante
Data Inicial: 2013-12-26
Data Final: 2023-11-30
Periodicidade da Medicao: Mensal

Data Medicao;TEMPERATURA MEDIA, MENSAL (AUT)(°C);
2013-12-31;null;
2014-01-31;null;
2014-02-28;21,651587;
2014-03-31;20,268414;
2014-04-30;19,764583;
2014-05-31;18,237447;
2014-06-30;17,481111;
2014-07-31;16,336022;
2014-08-31;18,319624;
2014-09-30;19,949306;
2014-10-31;20,152016;
2014-11-30;20,20006;
2014-12-31;21,258199;
2015-01-31;22,796698;
2015-02-28;21,058929;
2015-03-31;20,934677;
2015-04-30;19,620556;
2015-05-31;17,41922;
2015-06-30;17,108508;
2015-07-31;17,573136;
2015-08-31;18,233871;
2015-09-30;21,650833;
2015-10-31;22,891667;
2015-11-30;22,530694;
2015-12-31;21,97;
2016-01-31;20,939516;
2016-02-29;22,750862;
2016-03-31;21,36745;
2016-04-30;21,307778;
2016-05-31;19,016801;
2016-06-30;16,941945;
2016-07-31;18,146102;
2016-08-31;18,816821;
2016-09-30;20,304722;
2016-10-31;20,711962;
2016-11-30;19,668194;
2016-12-31;20,91371;
2017-01-31;22,033736;
2017-02-28;20,631101;
2017-03-31;21,028763;
2017-04-30;19,788056;
2017-05-31;18,018414;
2017-06-30;17,693194;
2017-07-31;15,020565;
2017-08-31;18,170401;
2017-09-30;18,254215;
2017-10-31;21,161962;
2017-11-30;19,652361;
2017-12-31;20,944086;
2018-01-31;21,789785;
2018-02-28;20,363393;
2018-03-31;21,374556;
2018-04-30;19,204861;
2018-05-31;17,839113;
2018-06-30;18,0425;
2018-07-31;17,693145;
2018-08-31;17,81697;
2018-09-30;19,652361;
2018-10-31;20,747043;
2018-11-30;19,527361;
2018-12-31;21,081989;
2019-01-31;22,786425;
2019-02-28;22,046131;
2019-03-31;21,395027;
2019-04-30;21,133569;
2019-05-31;19,911109;
2019-06-30;17,641667;
2019-07-31;16,995565;
2019-08-31;17,928091;
2019-09-30;21,000743;
2019-10-31;21,522096;
2019-11-30;20,974583;
2019-12-31;20,899462;
2020-01-31;21,526613;
2020-02-29;20,916523;
2020-03-31;19,995833;
2020-04-30;19,404722;
2020-05-31;17,008602;
2020-06-30;17,87875;
2020-07-31;17,751149;
2020-08-31;16,971774;
2020-09-30;21,417784;
2020-10-31;21,199731;
2020-11-30;20,262083;
2020-12-31;21,514516;
2021-01-31;21,621875;
2021-02-28;20,45997;
2021-03-31;21,234005;
2021-04-30;19,78875;
2021-05-31;19,203495;
2021-06-30;17,557222;
2021-07-31;16,387634;
2021-08-31;17,659409;
2021-09-30;21,954861;
2021-10-31;20,162634;
2021-11-30;20,032917;
2021-12-31;19,823118;
2022-01-31;20,995968;
2022-02-28;20,463988;
2022-03-31;21,865188;
2022-04-30;20,839444;
2022-05-31;17,348212;
2022-06-30;17,574306;
2022-07-31;17,37836;
2022-08-31;17,687903;
2022-09-30;19,220139;
2022-10-31;20,848152;
2022-11-30;18,99875;
2022-12-31;19,756183;
2023-01-31;20,19086;
2023-02-28;22,020982;
2023-03-31;21,884409;
2023-04-30;19,920833;
2023-05-31;18,171774;
2023-06-30;17,130833;
2023-07-31;17,810484;
2023-08-31;19,514247;
2023-09-30;21,462639;
2023-10-31;22,546102;
2023-11-30;23,71;

